# {"t_start": 1582060418.2217538, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,8.538757
-49.0,50,10.040667
-49.0,50,12.656173
-48.0,50,15.164932
-48.0,50,19.029915
-48.0,50,22.677821
-48.0,50,26.374316
-48.0,50,30.000902
-9.0,50,33.638212
-48.0,50,37.279206
-48.0,50,40.975005
-8.0,50,44.688211
-48.0,50,48.373941
-49.0,50,52.01427
-48.0,50,55.654476
-48.0,50,59.3199
-48.0,50,62.980893
-48.0,50,66.672137
-15.0,50,70.388668
-48.0,50,74.153955
-48.0,50,78.00479
-48.0,50,78.12785
-48.0,50,78.251012
-48.0,50,78.3741
-48.0,50,78.50151
-48.0,50,78.620919
-48.0,50,78.742895
-48.0,50,78.865713
-48.0,50,78.991529
-48.0,50,79.118972
-48.0,50,79.593383
-48.0,50,83.308506
-48.0,50,87.010171
-48.0,50,90.717402
-49.0,50,94.488836
-44.0,50,98.253381
-48.0,50,101.98535
-46.0,50,105.727662
-48.0,50,109.48424
-43.0,50,113.250523
-48.0,50,117.044513
-49.0,50,120.837885
-46.0,50,124.620431
-48.0,50,128.362534
-48.0,50,132.168966
-48.0,50,135.947775
-31.0,50,139.726268
-48.0,50,143.522982
-48.0,50,147.316954
-48.0,50,151.13119
-48.0,50,154.946072
-49.0,50,155.070823
-48.0,50,155.195575
-48.0,50,155.316909
-18.0,50,155.449352
-48.0,50,155.576197
-48.0,50,155.701064
-23.0,50,155.826945
-48.0,50,155.955874
-48.0,50,156.087549
-48.0,50,156.215509
-48.0,50,160.073903
-48.0,50,163.93274
-48.0,50,167.773538
-48.0,50,171.636424
-48.0,50,175.495984
-48.0,50,179.248412
-48.0,50,182.949076
-47.0,50,186.639254
-48.0,50,190.348651
-48.0,50,194.0825
-48.0,50,197.799397
-48.0,50,201.545018
-49.0,50,205.30801
-48.0,50,209.046118
-44.0,50,212.781176
-48.0,50,216.662657
-48.0,50,220.559917
-48.0,50,224.47998
-49.0,50,228.367108
-40.0,50,232.303196
-18.0,50,232.442394
-48.0,50,232.57281
-24.0,50,232.698498
-49.0,50,232.818278
-43.0,50,232.94388
-19.0,50,233.093772
-48.0,50,233.22273
-19.0,50,233.359276
-11.0,50,233.486923
-48.0,50,233.616847
-48.0,50,237.553009
-48.0,50,241.48193
-48.0,50,245.420446
-48.0,50,249.356778
-48.0,50,253.283787
-48.0,50,257.192928
-48.0,50,261.124972
-44.0,50,265.092819
-39.0,50,269.047096
-48.0,50,273.017039
-49.0,50,277.013039
-48.0,50,281.002838
-48.0,50,284.99496
-49.0,50,289.074709
-48.0,50,293.054041
-34.0,50,297.052778
-48.0,50,301.070605
-49.0,50,305.062986
-48.0,50,309.041553
-48.0,50,313.104845
-48.0,50,313.248489
-48.0,50,313.38274
-49.0,50,313.508388
-49.0,50,313.631129
-48.0,50,313.755696
-48.0,50,313.888699
-48.0,50,314.023517
-48.0,50,314.148823
-48.0,50,314.27471
-49.0,50,314.409989
-48.0,50,318.480924
-45.0,50,322.508516
-48.0,50,326.683026
-35.0,50,330.693913
-48.0,50,334.768528
-48.0,50,338.785309
-48.0,50,342.838012
-48.0,50,346.914186
-49.0,50,351.001767
-48.0,50,355.099607
-48.0,50,359.290576
-48.0,50,363.499372
-48.0,50,367.780367
-48.0,50,372.42213
-48.0,50,377.330859
-48.0,50,381.415472
-48.0,50,385.482668
-48.0,50,389.514834
-49.0,50,393.613441
-48.0,50,397.63329
-48.0,50,397.759264
-48.0,50,397.884401
-41.0,50,398.016452
-48.0,50,398.150872
-26.0,50,398.282279
-48.0,50,398.416906
-48.0,50,398.540743
-46.0,50,398.670958
-48.0,50,398.793789
-28.0,50,398.921404
-47.0,50,402.983914
-46.0,50,407.053859
-48.0,50,411.075764
-48.0,50,415.123967
-48.0,50,419.208539
-48.0,50,423.285666
-48.0,50,427.330416
-48.0,50,431.446389
-48.0,50,435.50696
-48.0,50,439.590871
-48.0,50,443.652815
-48.0,50,447.716315
-48.0,50,451.808488
-44.0,50,455.925851
-48.0,50,460.022633
-48.0,50,464.079802
-48.0,50,468.201664
-48.0,50,472.304333
-48.0,50,476.588053
-43.0,50,481.050036
-23.0,50,481.205639
-48.0,50,481.334044
-48.0,50,481.469414
-48.0,50,481.607382
-48.0,50,481.734661
-48.0,50,481.862288
-23.0,50,482.014138
-27.0,50,482.151167
-26.0,50,482.280087
-48.0,50,482.411938
-48.0,50,487.048639
-48.0,50,491.233297
-48.0,50,495.360161
-48.0,50,499.563103
-49.0,50,503.728745
-48.0,50,508.035726
-37.0,50,512.200856
-48.0,50,516.485188
-48.0,50,520.745978
-48.0,50,524.953488
-48.0,50,529.114991
-48.0,50,533.361009
-48.0,50,537.564506
-48.0,50,542.005789
-48.0,50,546.381659
-48.0,50,551.659279
-48.0,50,556.992566
-48.0,50,562.037205
-48.0,50,566.913508
-37.0,50,571.92254
-48.0,50,572.105707
-30.0,50,572.297849
-21.0,50,572.481243
-42.0,50,572.657184
-24.0,50,572.827216
-24.0,50,573.006082
-48.0,50,573.170555
-48.0,50,573.329587
-31.0,50,573.500807
-48.0,50,573.662189
