epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8641514,0.09950746,0.20631094,0.033087064,0.8629407,0.10304308,0.20657367,0.04044342,0.86396784,0.10676589,0.20646498,0.06122702,10.0,-1.5392354,0.0,20.0,0.15
1,0.8621817,0.09637938,0.20583329,0.03316475,0.85980815,0.101448216,0.20546722,0.049243268,0.8609967,0.10591037,0.20629479,0.06601873,20.0,-1.6293142,0.2,40.0,0.1
2,0.8622205,0.09348816,0.20577149,0.03304184,0.85908407,0.099648714,0.20602486,0.05197902,0.8599238,0.10643187,0.20595069,0.067978576,30.0,-1.3373722,0.5,60.0,0.05
3,0.8616374,0.09077393,0.2055541,0.032920666,0.85834885,0.09932663,0.20579499,0.059299685,0.85732156,0.10539681,0.20618992,0.072574556,40.0,-3.2088573,0.0,80.0,0.05
4,0.86038905,0.08844143,0.20511554,0.032704435,0.8566304,0.097805895,0.20524514,0.059112344,0.855625,0.10451379,0.20676817,0.07566327,50.0,-3.5885234,0.3,100.0,0.1
5,0.8598718,0.086338855,0.20500019,0.032440815,0.855928,0.09577333,0.20524263,0.059925184,0.8545561,0.10883299,0.20602241,0.0819057,60.0,-3.382222,0.4,120.0,0.05
6,0.8603056,0.08435913,0.20512791,0.03224497,0.8562684,0.09398764,0.20558356,0.059732303,0.8524947,0.11146957,0.20605178,0.08600691,70.0,-3.1438203,0.6,140.0,0.05
7,0.8597081,0.082731776,0.20497347,0.032340758,0.85555005,0.092343755,0.2053587,0.058626022,0.8501413,0.11781943,0.20520829,0.093050264,80.0,-4.4737577,0.3,160.0,0.0
8,0.8593752,0.081318416,0.20480905,0.032153532,0.8550572,0.090898626,0.2051474,0.059300445,0.8479845,0.12609573,0.20545076,0.10272193,90.0,-4.0350757,0.4,180.0,0.05
9,0.85962915,0.08035166,0.20498179,0.03201774,0.8553417,0.0897159,0.20529619,0.058335423,0.8487411,0.12679942,0.20531245,0.10273296,100.0,-4.6664505,0.2,200.0,0.0
10,0.8592761,0.07940353,0.20486069,0.03192566,0.85494393,0.0887273,0.20518479,0.057530254,0.84841347,0.1294748,0.20488125,0.10231673,110.0,-4.901356,0.3,220.0,0.0
11,0.8581476,0.07839041,0.20449407,0.032245893,0.8538837,0.08765167,0.20482437,0.05675255,0.8467713,0.13014357,0.20473787,0.10155903,120.0,-4.9889708,0.4,240.0,0.05
12,0.858247,0.07759363,0.20461293,0.036876675,0.8543338,0.086537,0.20506757,0.056493912,0.84639305,0.13211732,0.20516595,0.10246414,130.0,-6.942726,0.1,260.0,0.0
13,0.8580325,0.07731361,0.20459421,0.03669742,0.8542302,0.08609251,0.2047084,0.05928014,0.8463137,0.13334374,0.20479544,0.10207932,140.0,-4.3928514,0.7,280.0,0.0
14,0.85794836,0.07651103,0.20452437,0.03687843,0.8539598,0.085319676,0.20461518,0.05941219,0.8459696,0.13204004,0.20463194,0.101688854,150.0,-5.5266695,0.1,300.0,0.0
15,0.85854906,0.0759261,0.20471288,0.036584195,0.85449106,0.08470524,0.20504779,0.061184853,0.8464806,0.13286719,0.20477334,0.10470922,160.0,-3.1143656,0.8,320.0,0.0
16,0.85809094,0.075681485,0.20451255,0.03723066,0.8538859,0.08398879,0.20460619,0.06430864,0.8463654,0.13409029,0.20433527,0.10558315,170.0,-5.115709,0.6,340.0,0.05
17,0.8584078,0.07498384,0.20458764,0.03693043,0.8541418,0.08488952,0.2046791,0.06970132,0.8461397,0.13588034,0.20468104,0.107350424,180.0,-6.0509367,0.5,360.0,0.05
18,0.857939,0.07514533,0.20430475,0.043687,0.8535232,0.085277766,0.20450567,0.072413534,0.84526426,0.13856056,0.20416613,0.10903722,190.0,-7.000956,0.1,380.0,0.0
19,0.85771704,0.07491607,0.20425272,0.043886833,0.8532007,0.084891014,0.20403346,0.07353455,0.8452975,0.13754392,0.20405084,0.10920267,200.0,-4.9029655,0.6,400.0,0.05
