# {"t_start": 1582092296.3172257, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,18.746218
-49.0,50,20.935754
-49.0,50,24.269821
-48.0,50,27.555096
-49.0,50,32.362957
-48.0,50,37.079946
-48.0,50,42.008981
-49.0,50,46.627204
-48.0,50,51.302551
-48.0,50,55.987646
-48.0,50,60.628833
-49.0,50,65.284863
-48.0,50,70.016867
-49.0,50,74.700786
-48.0,50,79.343019
-45.0,50,84.01482
-49.0,50,88.664649
-49.0,50,93.293527
-48.0,50,97.979644
-48.0,50,102.648338
-48.0,50,107.475181
-48.0,50,107.656919
-48.0,50,107.835433
-48.0,50,108.012028
-48.0,50,108.192627
-48.0,50,108.382922
-48.0,50,108.551337
-48.0,50,108.74064
-48.0,50,108.932898
-48.0,50,109.126085
-48.0,50,109.757938
-48.0,50,114.483662
-48.0,50,119.244786
-48.0,50,124.025064
-48.0,50,128.814809
-49.0,50,133.526299
-48.0,50,138.189111
-48.0,50,142.931359
-16.0,50,147.759154
-49.0,50,152.529901
-48.0,50,157.374718
-29.0,50,162.173974
-49.0,50,166.944338
-49.0,50,171.741118
-48.0,50,176.561114
-48.0,50,181.429712
-48.0,50,186.319874
-48.0,50,191.199049
-43.0,50,196.032217
-48.0,50,200.912627
-48.0,50,205.840892
-48.0,50,206.013654
-48.0,50,206.199643
-48.0,50,206.375979
-48.0,50,206.561718
-48.0,50,206.743819
-48.0,50,206.918636
-48.0,50,207.087918
-48.0,50,207.273226
-48.0,50,207.45351
-49.0,50,207.626761
-48.0,50,212.554593
-48.0,50,217.546921
-49.0,50,222.408993
-48.0,50,227.336158
-48.0,50,232.194453
-48.0,50,237.093952
-49.0,50,241.986045
-48.0,50,246.936641
-48.0,50,251.830652
-49.0,50,256.715972
-48.0,50,261.620639
-49.0,50,266.546126
-48.0,50,271.454885
-48.0,50,276.363708
-49.0,50,281.302699
-49.0,50,286.221787
-48.0,50,291.134906
-49.0,50,296.068269
-47.0,50,301.026256
-48.0,50,306.011131
-48.0,50,306.192097
-48.0,50,306.383229
-48.0,50,306.578662
-48.0,50,306.75616
-48.0,50,306.937738
-48.0,50,307.113204
-48.0,50,307.308907
-48.0,50,307.4932
-9.0,50,307.672828
-49.0,50,307.84154
-48.0,50,312.855002
-48.0,50,317.828597
-48.0,50,322.832697
-48.0,50,327.793766
-49.0,50,332.779986
-48.0,50,337.736571
-48.0,50,342.739211
-48.0,50,347.728564
-48.0,50,352.715454
-48.0,50,357.701601
-26.0,50,362.746161
-45.0,50,367.758303
-48.0,50,372.768981
-48.0,50,377.85162
-48.0,50,383.004486
-48.0,50,388.088699
-48.0,50,393.148293
-48.0,50,398.22845
-48.0,50,403.313423
-48.0,50,408.445118
-48.0,50,408.625651
-48.0,50,408.81833
-48.0,50,408.996081
-48.0,50,409.179273
-48.0,50,409.375815
-48.0,50,409.56309
-48.0,50,409.751235
-48.0,50,409.947396
-48.0,50,410.126508
-48.0,50,410.303264
-48.0,50,415.462925
-48.0,50,420.549682
-48.0,50,425.666392
-48.0,50,430.799699
-48.0,50,435.927714
-48.0,50,441.13643
-48.0,50,446.290968
-48.0,50,451.383708
-48.0,50,456.525867
-48.0,50,461.638752
-15.0,50,466.766758
-48.0,50,471.900216
-49.0,50,477.053459
-48.0,50,482.201108
-48.0,50,487.294394
-48.0,50,492.472602
-48.0,50,497.631711
-48.0,50,502.819917
-48.0,50,507.988167
-34.0,50,513.198085
-48.0,50,513.371121
-48.0,50,513.550465
-48.0,50,513.726854
-48.0,50,513.89676
-24.0,50,514.071121
-24.0,50,514.255248
-48.0,50,514.437656
-48.0,50,514.621549
-48.0,50,514.800565
-48.0,50,514.979904
-48.0,50,520.184187
-49.0,50,525.361924
-48.0,50,530.53003
-48.0,50,535.748326
-48.0,50,540.976341
-48.0,50,546.239821
-48.0,50,551.4856
-48.0,50,556.709545
-48.0,50,561.963491
-48.0,50,567.210454
-48.0,50,572.531954
-48.0,50,577.823445
-48.0,50,583.058136
-48.0,50,588.295379
-48.0,50,593.597342
-48.0,50,598.87663
-48.0,50,604.153703
-48.0,50,609.442657
-48.0,50,614.756322
-48.0,50,620.081515
-48.0,50,620.262356
-48.0,50,620.443343
-48.0,50,620.620869
-21.0,50,620.820531
-48.0,50,621.004465
-48.0,50,621.181947
-48.0,50,621.359937
-48.0,50,621.550159
-48.0,50,621.758057
-48.0,50,621.93127
-48.0,50,627.277524
-48.0,50,632.632269
-48.0,50,637.955255
-48.0,50,643.252852
-49.0,50,648.616126
-48.0,50,653.924695
-49.0,50,659.244752
-48.0,50,664.600277
-48.0,50,669.935567
-48.0,50,675.23128
-48.0,50,680.586591
-48.0,50,685.981823
-48.0,50,691.351265
-48.0,50,696.772264
-48.0,50,702.150754
-48.0,50,707.525151
-48.0,50,712.878286
-45.0,50,718.293581
-48.0,50,723.736444
-48.0,50,729.165642
-48.0,50,729.364818
-19.0,50,729.563405
-48.0,50,729.74964
-48.0,50,729.926079
-18.0,50,730.108981
-18.0,50,730.300517
-48.0,50,730.4928
-48.0,50,730.672322
-48.0,50,730.860112
-10.0,50,731.078713
-48.0,50,736.476128
-48.0,50,741.878134
-47.0,50,747.35573
-48.0,50,752.854213
-48.0,50,758.31167
-48.0,50,763.786078
-48.0,50,769.249295
-48.0,50,774.722773
-48.0,50,780.150381
-40.0,50,785.583047
-48.0,50,791.121782
-48.0,50,796.594926
-49.0,50,802.101971
-34.0,50,807.600692
-48.0,50,813.091549
-48.0,50,818.646929
-48.0,50,824.182615
-48.0,50,829.696607
-14.0,50,835.210031
-18.0,50,840.79857
-16.0,50,840.991056
-14.0,50,841.178693
-48.0,50,841.360554
-48.0,50,841.543308
-40.0,50,841.718722
-19.0,50,841.919754
-22.0,50,842.113456
-25.0,50,842.30345
-20.0,50,842.494986
-48.0,50,842.661217
-48.0,50,848.290633
-48.0,50,853.889173
-48.0,50,859.42295
-48.0,50,865.008614
-48.0,50,870.568048
-48.0,50,876.167553
-48.0,50,881.787185
-48.0,50,887.411866
-48.0,50,892.996317
-48.0,50,898.619328
-48.0,50,904.197232
-48.0,50,909.846386
-48.0,50,915.490934
-48.0,50,921.139776
-48.0,50,926.778771
-48.0,50,932.433548
-48.0,50,938.113184
-48.0,50,943.78861
-48.0,50,949.465684
-48.0,50,955.102722
-48.0,50,955.286208
-26.0,50,955.47468
-30.0,50,955.660809
-19.0,50,955.854098
-48.0,50,956.04839
-48.0,50,956.240599
-12.0,50,956.441421
-48.0,50,956.636423
-48.0,50,956.816127
-48.0,50,956.987658
-48.0,50,962.685709
-47.0,50,968.401515
-48.0,50,974.088246
-48.0,50,979.78668
-48.0,50,985.495338
-48.0,50,991.172493
-48.0,50,996.860598
-48.0,50,1002.537815
-48.0,50,1008.275456
-48.0,50,1014.009754
-48.0,50,1019.736674
-48.0,50,1025.481343
-48.0,50,1031.279599
-48.0,50,1037.006818
-48.0,50,1042.777148
-48.0,50,1048.569752
-48.0,50,1054.36484
-49.0,50,1060.182672
-48.0,50,1065.959657
-26.0,50,1071.794492
-25.0,50,1071.977854
-48.0,50,1072.161227
-23.0,50,1072.351684
-19.0,50,1072.542429
-48.0,50,1072.73997
-21.0,50,1072.944463
-20.0,50,1073.137609
-48.0,50,1073.305356
-19.0,50,1073.491352
-48.0,50,1073.669377
-48.0,50,1079.506765
-48.0,50,1085.273124
-49.0,50,1091.095822
-48.0,50,1096.910993
-50.0,50,1102.708293
-48.0,50,1108.513279
-48.0,50,1114.440989
-48.0,50,1120.33353
-48.0,50,1126.211948
-48.0,50,1132.039705
-48.0,50,1137.831144
-48.0,50,1143.661628
-48.0,50,1149.606445
-48.0,50,1155.457539
-48.0,50,1161.29746
-48.0,50,1167.177912
-48.0,50,1173.061995
