epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,p1/stats_g/mean,p1/stats_g/std,p1/stats_o/mean,p1/stats_o/std,p2/stats_g/mean,p2/stats_g/std,p2/stats_o/mean,p2/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8641596,0.09962175,0.20674208,0.032605596,0.8631391,0.10243622,0.20789796,0.050932884,0.86342573,0.10551766,0.20641716,0.04984059,10.0,-1.2603906,0.0,20.0,0.0
1,0.8634216,0.09584662,0.20637259,0.032844316,0.86100054,0.10131047,0.20702952,0.057789598,0.860147,0.10439673,0.20674406,0.055311453,20.0,-2.0014446,0.0,40.0,0.1
2,0.8608114,0.092357375,0.20539895,0.032764345,0.8566189,0.10057638,0.20673548,0.06344476,0.85733557,0.1044781,0.20652653,0.059987355,30.0,-2.8305488,0.1,60.0,0.0
3,0.85946417,0.08978089,0.20491587,0.033173576,0.85460424,0.098485865,0.20601913,0.061813213,0.8533148,0.113213144,0.20603964,0.06781811,40.0,-3.4093852,0.0,80.0,0.05
4,0.85815877,0.08803487,0.20445068,0.033092335,0.8525607,0.09721556,0.2056425,0.062368125,0.8482392,0.11827854,0.2050851,0.08013956,50.0,-3.1633787,0.3,100.0,0.05
5,0.85826993,0.086192675,0.20449317,0.032880217,0.8530476,0.096167095,0.20495324,0.064082906,0.8463206,0.12144665,0.20538165,0.08838699,60.0,-3.842836,0.1,120.0,0.0
6,0.8586392,0.08427309,0.2046391,0.032687295,0.8536822,0.09509904,0.2046875,0.064078845,0.8456202,0.1234571,0.2056418,0.096068345,70.0,-3.940765,0.3,140.0,0.0
7,0.85911727,0.08314303,0.20478168,0.03259189,0.85395026,0.09412941,0.20488714,0.06396064,0.8460851,0.123547174,0.20516689,0.0971459,80.0,-2.1716716,0.7,160.0,0.15
8,0.8594076,0.08189105,0.20481175,0.032376412,0.8542257,0.09269302,0.20493808,0.062850714,0.84633476,0.12535718,0.20628041,0.10262694,90.0,-3.8757458,0.4,180.0,0.0
9,0.8593776,0.08084142,0.20475443,0.032300472,0.8540594,0.091814466,0.20422283,0.064094774,0.84597117,0.12926798,0.2065538,0.10774878,100.0,-2.904825,0.6,200.0,0.0
