# {"t_start": 1586699177.156117, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.267445
-50.0,50,3.459787
-50.0,50,4.622508
-50.0,50,5.776265
-50.0,50,6.967466
-48.0,50,8.149964
-49.0,50,9.342507
-50.0,50,10.531115
-50.0,50,11.726306
-48.0,50,12.932971
-49.0,50,14.139423
-50.0,50,15.389391
-50.0,50,16.670884
-49.0,50,17.958725
-50.0,50,19.261144
-49.0,50,20.530773
-50.0,50,21.80783
-49.0,50,23.100879
-50.0,50,24.385173
-49.0,50,25.671178
-48.0,50,26.996361
-48.0,50,27.1666
-50.0,50,27.332162
-47.0,50,27.506665
-48.0,50,27.66573
-48.0,50,27.828923
-50.0,50,27.986081
-50.0,50,28.147087
-50.0,50,28.320956
-50.0,50,28.49421
-49.0,50,28.687105
-48.0,50,30.009833
-50.0,50,31.353903
-50.0,50,32.697995
-50.0,50,34.049294
-49.0,50,35.413664
-49.0,50,36.795017
-48.0,50,38.187464
-49.0,50,39.579801
-50.0,50,40.982182
-49.0,50,42.390044
-50.0,50,43.800442
-50.0,50,45.237156
-50.0,50,46.666538
-50.0,50,48.106419
-50.0,50,49.55571
-50.0,50,51.007478
-50.0,50,52.462946
-49.0,50,53.931052
-49.0,50,55.405804
-39.0,50,56.905147
-48.0,50,57.067736
-49.0,50,57.237077
-50.0,50,57.403277
-49.0,50,57.568898
-48.0,50,57.726054
-49.0,50,57.905976
-49.0,50,58.079997
-48.0,50,58.241995
-45.0,50,58.407221
-49.0,50,58.583223
-48.0,50,60.105652
-50.0,50,61.61788
-50.0,50,63.14934
-50.0,50,64.68568
-48.0,50,66.223762
-49.0,50,67.781061
-48.0,50,69.333702
-50.0,50,70.905446
-50.0,50,72.477959
-48.0,50,74.054103
-50.0,50,75.634341
-50.0,50,77.219995
-50.0,50,78.826515
-50.0,50,80.432628
-49.0,50,82.051491
-49.0,50,83.676488
-48.0,50,85.310477
-47.0,50,86.953097
-49.0,50,88.603179
-49.0,50,90.261055
-48.0,50,90.433331
-48.0,50,90.592264
-49.0,50,90.764146
-50.0,50,90.932086
-48.0,50,91.102042
-49.0,50,91.265131
-49.0,50,91.430988
-49.0,50,91.595534
-48.0,50,91.77092
-50.0,50,91.941969
-49.0,50,93.621588
-48.0,50,95.295465
-50.0,50,96.97671
-50.0,50,98.668644
-48.0,50,100.36997
-50.0,50,102.082033
-49.0,50,103.793265
-48.0,50,105.517747
-50.0,50,107.264341
-50.0,50,109.003718
-50.0,50,110.774979
-48.0,50,112.534879
-49.0,50,114.291435
-50.0,50,116.065575
-50.0,50,117.8431
-48.0,50,119.638071
-49.0,50,121.428283
-48.0,50,123.228477
-48.0,50,125.044303
-49.0,50,126.855471
-49.0,50,127.029137
-49.0,50,127.199788
-43.0,50,127.375645
-48.0,50,127.545876
-49.0,50,127.71195
-48.0,50,127.895156
-48.0,50,128.062114
-48.0,50,128.232925
-48.0,50,128.397296
-50.0,50,128.564125
-49.0,50,130.396497
-49.0,50,132.239893
-50.0,50,134.089085
-48.0,50,135.939054
-46.0,50,137.79318
-50.0,50,139.677622
-48.0,50,141.545271
-49.0,50,143.417219
-49.0,50,145.299555
-48.0,50,147.185223
-48.0,50,149.075599
-48.0,50,150.973737
-48.0,50,152.883466
-50.0,50,154.811064
-48.0,50,156.738441
-48.0,50,158.668083
-49.0,50,160.644514
-48.0,50,162.606635
-49.0,50,164.567677
-22.0,50,166.551434
-48.0,50,166.72042
-48.0,50,166.892002
-29.0,50,167.071391
-30.0,50,167.251257
-20.0,50,167.422335
-48.0,50,167.590673
-48.0,50,167.767034
-48.0,50,167.9458
-48.0,50,168.120883
-48.0,50,168.312723
-50.0,50,170.284415
-48.0,50,172.277462
-50.0,50,174.264932
-47.0,50,176.265959
-48.0,50,178.281425
-50.0,50,180.300294
-48.0,50,182.327481
-48.0,50,184.356709
-49.0,50,186.390857
-49.0,50,188.462019
-48.0,50,190.525938
-49.0,50,192.586404
-48.0,50,194.66279
-49.0,50,196.746954
-48.0,50,198.837241
-48.0,50,200.938883
-50.0,50,203.050168
-50.0,50,205.205547
-48.0,50,207.331522
-48.0,50,209.467069
-48.0,50,209.639741
-49.0,50,209.819509
-48.0,50,209.990381
-48.0,50,210.156148
-49.0,50,210.322432
-48.0,50,210.493698
-49.0,50,210.66304
-49.0,50,210.83942
-50.0,50,211.001866
-49.0,50,211.170794
-48.0,50,213.339391
-49.0,50,215.512317
-48.0,50,217.683444
-48.0,50,219.853104
-47.0,50,222.043333
-48.0,50,224.234635
-50.0,50,226.4278
-49.0,50,228.639532
-48.0,50,230.844808
-50.0,50,233.067797
-48.0,50,235.336641
-49.0,50,237.568012
-49.0,50,239.816359
-48.0,50,242.067724
-48.0,50,244.34177
-48.0,50,246.602195
-48.0,50,248.879441
-50.0,50,251.153231
-49.0,50,253.419573
-48.0,50,255.694693
-50.0,50,255.860642
-50.0,50,256.036338
-49.0,50,256.210079
-50.0,50,256.414035
-49.0,50,256.584281
-50.0,50,256.760844
-50.0,50,256.936972
-49.0,50,257.141363
-50.0,50,257.3069
-50.0,50,257.491466
-50.0,50,259.783123
-48.0,50,262.086928
-50.0,50,264.403716
-48.0,50,266.730805
-49.0,50,269.066694
-49.0,50,271.409628
-50.0,50,273.752577
-48.0,50,276.104608
-50.0,50,278.458147
-49.0,50,280.819812
-48.0,50,283.204293
-50.0,50,285.586202
-50.0,50,287.972539
-48.0,50,290.366072
-48.0,50,292.77124
-48.0,50,295.184979
-48.0,50,297.62268
-42.0,50,300.05408
-48.0,50,302.491272
-45.0,50,304.9478
-48.0,50,305.121283
-50.0,50,305.284689
-48.0,50,305.470709
-49.0,50,305.659158
-19.0,50,305.849571
-48.0,50,306.03293
-18.0,50,306.212357
-50.0,50,306.395625
-50.0,50,306.579514
-48.0,50,306.758799
-47.0,50,309.209256
-49.0,50,311.649272
-49.0,50,314.118768
-50.0,50,316.546128
-48.0,50,319.002988
-46.0,50,321.46446
-48.0,50,323.942732
-48.0,50,326.417466
-48.0,50,328.902868
-48.0,50,331.394997
-50.0,50,333.900257
-48.0,50,336.403972
-48.0,50,338.901971
-42.0,50,341.390563
-49.0,50,343.875611
-48.0,50,346.370614
-48.0,50,348.874962
-46.0,50,351.391844
-48.0,50,353.905283
-48.0,50,356.446553
-50.0,50,356.617342
-48.0,50,356.80976
-13.0,50,356.98761
-50.0,50,357.183501
-48.0,50,357.359684
-48.0,50,357.544823
-49.0,50,357.759062
-50.0,50,357.94738
-49.0,50,358.15258
-50.0,50,358.337951
-48.0,50,360.915456
-49.0,50,363.533994
-50.0,50,366.145247
-50.0,50,368.734814
-46.0,50,371.334104
-48.0,50,373.950464
-48.0,50,376.570343
-48.0,50,379.193249
-50.0,50,381.822905
-50.0,50,384.444891
-50.0,50,387.095663
-47.0,50,389.742
-48.0,50,392.397122
-49.0,50,395.073839
-30.0,50,397.753797
-12.0,50,400.440931
-48.0,50,403.128846
-48.0,50,405.826744
-50.0,50,408.556805
-48.0,50,411.267161
-50.0,50,411.44648
-49.0,50,411.633606
-48.0,50,411.811022
-48.0,50,411.987585
-50.0,50,412.159791
-41.0,50,412.33895
-48.0,50,412.519179
-41.0,50,412.696383
-48.0,50,412.873784
-49.0,50,413.049433
-50.0,50,415.773024
-42.0,50,418.505749
-48.0,50,421.245609
-49.0,50,423.990577
-50.0,50,426.730442
-49.0,50,429.480726
-41.0,50,432.264839
-49.0,50,435.031289
-50.0,50,437.820179
-39.0,50,440.600413
-48.0,50,443.388537
-48.0,50,446.182753
-49.0,50,448.977062
-48.0,50,451.802046
-50.0,50,454.625433
-48.0,50,457.458853
-49.0,50,460.288285
-48.0,50,463.122078
-50.0,50,465.972535
-50.0,50,468.835311
-48.0,50,469.023812
-49.0,50,469.250191
-50.0,50,469.423051
-49.0,50,469.608708
-39.0,50,469.794492
-50.0,50,469.995313
-50.0,50,470.170713
-50.0,50,470.349593
-49.0,50,470.549657
-49.0,50,470.72112
-50.0,50,473.587348
-50.0,50,476.479631
-48.0,50,479.370476
-49.0,50,482.271972
-41.0,50,485.177748
-50.0,50,488.106574
-49.0,50,491.077291
-48.0,50,494.024013
-50.0,50,496.98001
-50.0,50,499.959185
-48.0,50,503.032909
-49.0,50,506.008664
-50.0,50,508.981874
-49.0,50,511.97308
-48.0,50,514.972071
-48.0,50,517.984163
-48.0,50,520.980624
-49.0,50,524.022783
-50.0,50,527.067525
-49.0,50,530.111682
-50.0,50,530.28202
-50.0,50,530.457701
-49.0,50,530.634008
-50.0,50,530.794131
-48.0,50,530.976912
-50.0,50,531.152557
-50.0,50,531.327253
-49.0,50,531.513636
-48.0,50,531.693102
-50.0,50,531.879994
-49.0,50,534.937409
-48.0,50,537.978605
-50.0,50,541.037571
-48.0,50,544.086719
-50.0,50,547.145272
-48.0,50,550.211786
-50.0,50,553.306549
-49.0,50,556.389835
-50.0,50,559.47628
-50.0,50,562.575039
-50.0,50,565.663216
-50.0,50,568.782352
-49.0,50,571.911626
-35.0,50,575.064282
-48.0,50,578.200694
-50.0,50,581.363459
-50.0,50,584.53282
-49.0,50,587.702055
-49.0,50,590.88257
-50.0,50,594.055965
-50.0,50,594.227921
-50.0,50,594.398875
-49.0,50,594.593819
-50.0,50,594.782538
-50.0,50,594.941961
-49.0,50,595.131042
-49.0,50,595.335965
-50.0,50,595.513852
-49.0,50,595.705575
-48.0,50,595.886317
-35.0,50,599.085017
-50.0,50,602.319315
-50.0,50,605.517833
-50.0,50,608.750255
-48.0,50,611.97573
-48.0,50,615.197318
-50.0,50,618.429419
-50.0,50,621.656544
-50.0,50,624.892056
-50.0,50,628.157338
-50.0,50,631.413388
-50.0,50,634.660634
-50.0,50,637.931613
-49.0,50,641.2101
-48.0,50,644.496257
-50.0,50,647.78252
-50.0,50,651.094851
-50.0,50,654.414781
-32.0,50,657.727277
-50.0,50,661.044716
-50.0,50,661.25985
-50.0,50,661.429123
-50.0,50,661.634883
-50.0,50,661.803276
-50.0,50,661.983726
-50.0,50,662.186308
-50.0,50,662.364565
-50.0,50,662.538939
-50.0,50,662.744505
-50.0,50,662.928376
-50.0,50,666.246577
-49.0,50,669.599547
-48.0,50,672.95415
-48.0,50,676.301738
-46.0,50,679.667494
-49.0,50,683.049762
-50.0,50,686.447734
-49.0,50,689.8736
-50.0,50,693.2646
-27.0,50,696.647743
-50.0,50,700.04482
-25.0,50,703.451067
-50.0,50,706.862862
-49.0,50,710.301609
-48.0,50,713.727224
-48.0,50,717.165026
-50.0,50,720.610095
-50.0,50,724.06008
-48.0,50,727.513101
-50.0,50,730.972505
-49.0,50,731.138592
-28.0,50,731.31755
-50.0,50,731.52469
-50.0,50,731.695988
-19.0,50,731.870618
-48.0,50,732.05979
-48.0,50,732.229761
-50.0,50,732.404363
-50.0,50,732.573693
-48.0,50,732.753167
-27.0,50,736.236076
-48.0,50,739.683821
-50.0,50,743.134311
-29.0,50,746.600977
-50.0,50,750.099941
-49.0,50,753.581293
-50.0,50,757.064672
-50.0,50,760.535029
-50.0,50,764.033086
-48.0,50,767.560376
-50.0,50,771.080123
-50.0,50,774.596627
-50.0,50,778.120704
-50.0,50,781.66503
-50.0,50,785.212806
-50.0,50,788.764649
-50.0,50,792.316757
-40.0,50,795.893616
-50.0,50,799.459049
-50.0,50,803.031834
-50.0,50,803.212545
-50.0,50,803.388944
-50.0,50,803.566836
-50.0,50,803.738357
-50.0,50,803.914102
-50.0,50,804.094069
-13.0,50,804.280475
-50.0,50,804.450307
-49.0,50,804.623384
-50.0,50,804.791109
