# {"t_start": 1587906038.1026917, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-24.422096,50,2.814604
-4.162518,50,4.634522
-0.479161,50,6.370368
-5.746118,50,8.110719
-2.478573,50,9.844663
-4.464874,50,11.585079
-4.045158,50,13.343089
-5.068911,50,15.126574
-5.397645,50,16.941499
2.344823,50,18.764348
-5.181325,50,20.598426
-3.06492,50,22.453313
-3.460678,50,24.304803
2.714923,50,26.144048
-0.077591,50,28.030395
0.072624,50,29.934161
1.660058,50,31.858574
-2.625729,50,33.787462
-5.432948,50,35.739824
-4.387253,50,37.705107
2.323111,50,39.702745
-2.392071,50,39.90099
-2.43104,50,40.097215
-6.006789,50,40.302371
-2.35699,50,40.494638
0.107915,50,40.682016
-3.268328,50,40.881936
-4.07004,50,41.072036
1.640269,50,41.274415
4.829081,50,41.477111
-5.627135,50,41.703928
-3.850578,50,43.677377
-3.120554,50,45.64784
0.430096,50,47.637626
1.677151,50,49.638346
0.058364,50,51.667781
5.407955,50,53.696665
-2.774495,50,55.734251
-6.114242,50,57.799238
-3.745762,50,59.865567
-5.958629,50,61.947945
-6.589133,50,64.042024
-3.360967,50,66.130935
-0.628804,50,68.237134
2.970725,50,70.343081
-4.182678,50,72.470983
-5.643846,50,74.646213
-2.841906,50,76.779271
8.008676,50,78.915438
-5.054812,50,81.077022
-1.107043,50,83.246722
-2.970785,50,83.434068
-6.00398,50,83.630124
-6.186785,50,83.831084
7.557502,50,84.036541
-7.258798,50,84.233164
-5.92376,50,84.418627
-7.585399,50,84.604998
-5.925286,50,84.782343
3.636735,50,84.969146
4.21639,50,85.161501
-0.818643,50,87.341519
-1.181671,50,89.554496
-9.753859,50,91.753061
-5.155815,50,93.976918
-6.296165,50,96.19825
-0.647508,50,98.421722
4.430398,50,100.666718
-2.847058,50,102.919597
2.952514,50,105.162939
2.538232,50,107.392355
-4.826051,50,109.63576
-5.024918,50,111.889428
-2.485752,50,114.190455
-2.591935,50,116.483919
-5.229844,50,118.798764
3.609135,50,121.115512
2.985271,50,123.427827
0.666228,50,125.762552
-3.184994,50,128.122333
0.33753,50,130.48295
0.228495,50,130.67739
-3.953997,50,130.883359
-2.409359,50,131.072619
0.466465,50,131.257735
4.094512,50,131.440217
-1.672116,50,131.628957
0.424043,50,131.819056
3.329925,50,131.996018
-5.285671,50,132.176222
-5.545948,50,132.37607
-4.670792,50,134.764216
0.149769,50,137.153542
-6.009723,50,139.551363
-4.361897,50,141.959109
3.851286,50,144.372825
-4.997473,50,146.781438
-2.144004,50,149.220552
-1.42602,50,151.643063
-2.99606,50,154.08142
5.558699,50,156.540974
-5.885055,50,158.992059
-2.903586,50,161.459357
-5.115184,50,163.935976
-4.926544,50,166.407351
-5.644441,50,168.889077
-5.602669,50,171.389676
0.033139,50,173.893356
-2.7732,50,176.416044
4.862895,50,178.943627
5.973183,50,181.484253
-2.8898,50,181.658004
-2.425319,50,181.850089
-6.226473,50,182.041197
-5.013298,50,182.24398
8.028166,50,182.428364
2.310692,50,182.603415
7.245093,50,182.801661
7.285783,50,183.000433
-7.527758,50,183.192924
-2.975297,50,183.390313
-5.127839,50,185.933649
-5.877243,50,188.479481
-2.844636,50,191.040317
-6.532207,50,193.610562
-3.202315,50,196.203483
-2.661946,50,198.788437
-5.973206,50,201.357389
-0.513484,50,203.949922
-0.415552,50,206.502941
-5.892344,50,209.061419
1.421664,50,211.630869
2.000608,50,214.219569
2.951208,50,216.795303
-2.867055,50,219.400385
-2.911825,50,222.006421
-1.78669,50,224.693851
8.43902,50,227.361363
8.931382,50,230.026132
6.311721,50,232.696317
2.73347,50,235.389794
-5.718273,50,235.582354
-0.051613,50,235.783948
-5.002092,50,235.962522
-5.977067,50,236.146392
6.064795,50,236.329897
-4.79338,50,236.506989
2.974002,50,236.694002
3.510878,50,236.885227
-4.83812,50,237.074806
3.967149,50,237.265666
-1.355906,50,239.976311
-3.287271,50,242.701418
-9.958428,50,245.421756
4.813838,50,248.158428
-3.93615,50,250.856237
-4.622111,50,253.574693
-4.743722,50,256.32447
-9.828612,50,259.109421
6.23852,50,261.885074
1.382674,50,264.654886
-4.453279,50,267.440682
-5.723383,50,270.238231
-4.662106,50,273.053907
-1.083175,50,275.93753
5.760315,50,278.840791
-5.735415,50,281.678096
-2.531872,50,284.467285
8.119346,50,287.292413
0.797744,50,290.106283
0.245914,50,292.909666
7.600511,50,293.105037
4.238297,50,293.290104
-4.288202,50,293.468541
-5.883311,50,293.65295
8.112541,50,293.832397
-4.759731,50,294.017794
1.442031,50,294.199114
-2.629264,50,294.35958
6.251248,50,294.541787
3.394461,50,294.715008
4.84038,50,297.549127
-5.669986,50,300.398371
-2.777451,50,303.301718
-0.602454,50,306.188301
