epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8617936,0.10590408,0.23920122,0.10823418,20.0,-0.23661259,0.0,40.0,0.0
1,0.85484695,0.10273034,0.23544277,0.11941211,40.0,-0.30327633,0.2,80.0,0.075
2,0.85335106,0.10116146,0.23502205,0.12944213,60.0,-0.49271733,0.05,120.0,0.05
3,0.8495123,0.09933746,0.23422855,0.13117594,80.0,-0.48507828,0.25,160.0,0.1
4,0.84802914,0.09808568,0.23383515,0.13419522,100.0,-0.43972808,0.3,200.0,0.05
5,0.84728456,0.09789545,0.23418787,0.13433553,120.0,-0.6763491,0.2,240.0,0.05
6,0.8466794,0.096590914,0.23471704,0.13463433,140.0,-0.8403634,0.25,280.0,0.025
7,0.8468425,0.095115066,0.23413089,0.13480361,160.0,-0.945794,0.25,320.0,0.05
8,0.8473291,0.09381487,0.23375317,0.13368908,180.0,-0.46533316,0.7,360.0,0.075
9,0.84748864,0.093651384,0.23351352,0.13653626,200.0,-0.51672494,0.5,400.0,0.0
10,0.846968,0.09310493,0.23303571,0.13689196,220.0,-0.6084018,0.65,440.0,0.075
11,0.8475825,0.09264168,0.23329473,0.13610968,240.0,-0.5717247,0.65,480.0,0.075
12,0.84730846,0.09222716,0.23294885,0.13630784,260.0,-0.5254377,0.75,520.0,0.1
13,0.8480622,0.09205904,0.23411836,0.13571545,280.0,-0.9341957,0.55,560.0,0.15
14,0.84753484,0.092542686,0.23448381,0.13606422,300.0,-0.73041683,0.65,600.0,0.175
15,0.8475016,0.0920944,0.23531786,0.13610356,320.0,-0.88907987,0.45,640.0,0.075
16,0.84787846,0.09245334,0.23581329,0.13628973,340.0,-0.98936594,0.4,680.0,0.05
17,0.8478718,0.09270028,0.23620336,0.13588494,360.0,-0.8284818,0.5,720.0,0.125
18,0.8470698,0.09251007,0.23680001,0.1364033,380.0,-0.5595781,0.75,760.0,0.075
19,0.84684855,0.092639364,0.23714718,0.13715456,400.0,-0.7258775,0.65,800.0,0.075
20,0.84673494,0.092933975,0.23757884,0.1379021,420.0,-0.902723,0.65,840.0,0.05
21,0.8467702,0.092958085,0.23811653,0.13837665,440.0,-0.7544407,0.75,880.0,0.1
22,0.8466363,0.09407068,0.2379056,0.14006092,460.0,-0.6218281,0.7,920.0,0.175
23,0.8468073,0.094141126,0.23810217,0.1405207,480.0,-0.3581865,0.95,960.0,0.2
24,0.8469631,0.09432692,0.23829187,0.14040658,500.0,-0.8027527,0.85,1000.0,0.075
25,0.84742004,0.094169475,0.23841603,0.14133076,520.0,-0.38333148,0.9,1040.0,0.075
26,0.84705114,0.0946719,0.23842917,0.14115064,540.0,-0.7258846,0.7,1080.0,0.1
27,0.846955,0.09534637,0.23868908,0.14182676,560.0,-0.48292193,0.75,1120.0,0.075
28,0.84699106,0.0953902,0.23882955,0.14298207,580.0,-0.6933168,0.7,1160.0,0.075
29,0.84700304,0.09488574,0.23876777,0.14303385,600.0,-0.7800613,0.75,1200.0,0.125
