# {"t_start": 1587537173.9964547, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.159458
-49.0,50,5.415367
-50.0,50,7.25601
-49.0,50,9.155395
-50.0,50,11.037786
-50.0,50,13.195938
-49.0,50,15.285362
-48.0,50,17.126651
-50.0,50,19.120868
-50.0,50,21.013396
-50.0,50,22.941568
-48.0,50,24.902644
-48.0,50,26.915381
-50.0,50,29.415789
-48.0,50,31.697294
-48.0,50,33.956697
-50.0,50,36.234135
-50.0,50,38.545539
-49.0,50,40.936625
-49.0,50,43.338465
-48.0,50,45.690961
-48.0,50,45.945134
-48.0,50,46.177747
-48.0,50,46.417146
-48.0,50,46.649235
-48.0,50,46.883719
-48.0,50,47.111768
-48.0,50,47.335691
-48.0,50,47.580134
-48.0,50,47.845719
-49.0,50,48.129191
-48.0,50,50.607503
-50.0,50,52.927953
-48.0,50,55.212712
-49.0,50,57.501666
-49.0,50,59.805941
-49.0,50,62.159263
-48.0,50,64.468789
-48.0,50,66.792845
-48.0,50,69.197851
-50.0,50,71.543201
-49.0,50,73.945265
-50.0,50,76.239299
-48.0,50,78.601218
-49.0,50,80.993486
-49.0,50,83.445616
-17.0,50,85.80965
-48.0,50,88.253634
-48.0,50,90.683943
-48.0,50,93.133155
-49.0,50,95.602861
-48.0,50,95.828221
-48.0,50,96.063771
-49.0,50,96.279448
-49.0,50,96.533466
-49.0,50,96.778827
-49.0,50,97.006872
-49.0,50,97.227443
-49.0,50,97.462048
-48.0,50,97.671983
-50.0,50,97.892665
-50.0,50,100.420467
-49.0,50,102.924348
-48.0,50,105.40485
-49.0,50,107.942263
-50.0,50,110.529767
-50.0,50,113.082689
-48.0,50,115.602538
-50.0,50,118.156496
-48.0,50,120.703687
-48.0,50,123.28392
-10.0,50,125.852612
-50.0,50,128.452114
-49.0,50,131.138036
-49.0,50,133.820379
-49.0,50,136.476236
-49.0,50,139.079895
-48.0,50,141.731187
-50.0,50,144.411027
-49.0,50,147.111117
-39.0,50,149.784962
-48.0,50,150.021034
-48.0,50,150.25832
-49.0,50,150.498899
-48.0,50,150.733009
-48.0,50,150.958364
-13.0,50,151.195799
-48.0,50,151.427216
-48.0,50,151.653079
-48.0,50,151.891084
-48.0,50,152.116266
-48.0,50,154.820653
-48.0,50,157.51067
-49.0,50,160.246527
-48.0,50,163.047988
-48.0,50,166.04062
-50.0,50,168.865434
-50.0,50,171.715134
-48.0,50,174.680266
-34.0,50,177.614643
-48.0,50,180.421991
-48.0,50,183.477922
-49.0,50,186.648697
-48.0,50,189.901052
-48.0,50,193.205303
-48.0,50,196.46879
-50.0,50,199.750008
-48.0,50,202.952809
-50.0,50,206.162457
-50.0,50,209.260084
-48.0,50,212.226315
-48.0,50,212.452544
-45.0,50,212.6924
-19.0,50,212.931467
-49.0,50,213.146525
-49.0,50,213.378043
-49.0,50,213.630424
-48.0,50,213.846773
-49.0,50,214.081773
-49.0,50,214.330473
-48.0,50,214.553748
-49.0,50,217.544028
-48.0,50,220.53646
-48.0,50,223.5762
-48.0,50,226.569311
-49.0,50,229.603828
-49.0,50,232.662446
-48.0,50,235.49971
-50.0,50,238.264706
-50.0,50,240.855764
-48.0,50,243.50997
-48.0,50,246.16006
-48.0,50,248.984688
-48.0,50,251.589012
-49.0,50,254.289517
-48.0,50,257.106354
-48.0,50,260.070763
-49.0,50,262.772891
-50.0,50,265.382499
-50.0,50,267.970375
-22.0,50,270.605498
-48.0,50,270.795089
-48.0,50,270.994526
-20.0,50,271.184544
-48.0,50,271.39524
-37.0,50,271.62846
-48.0,50,271.873268
-48.0,50,272.047524
-42.0,50,272.223944
-48.0,50,272.408744
-48.0,50,272.583385
-49.0,50,275.397267
-48.0,50,279.905431
-48.0,50,282.468105
-48.0,50,285.032235
-48.0,50,287.572473
-48.0,50,290.159268
-48.0,50,292.75394
-48.0,50,295.356325
-50.0,50,297.984238
-50.0,50,300.637325
-48.0,50,303.26043
-48.0,50,305.876508
-49.0,50,308.848963
-48.0,50,311.933336
-49.0,50,315.209277
-48.0,50,318.158234
-48.0,50,321.17474
-48.0,50,323.939877
-48.0,50,326.764961
-48.0,50,329.722338
-48.0,50,329.948777
-48.0,50,330.149598
-48.0,50,330.338073
-16.0,50,330.538901
-48.0,50,330.742987
-48.0,50,330.95965
-48.0,50,331.183977
-48.0,50,331.402735
-20.0,50,331.605916
-48.0,50,331.807082
-37.0,50,334.629687
-48.0,50,337.448058
-48.0,50,340.385171
-48.0,50,343.257516
-48.0,50,346.205992
-26.0,50,348.962088
-49.0,50,351.700173
-50.0,50,354.552375
-49.0,50,357.574061
-48.0,50,360.487066
-48.0,50,363.47154
-48.0,50,366.500024
-48.0,50,369.390158
-48.0,50,372.26345
-49.0,50,375.141978
-50.0,50,377.995586
-48.0,50,380.877419
-48.0,50,383.911748
-49.0,50,386.846772
-18.0,50,389.77211
-48.0,50,389.95729
-48.0,50,390.123171
-48.0,50,390.302697
-48.0,50,390.483791
-48.0,50,390.67314
-29.0,50,390.872222
-17.0,50,391.06082
-27.0,50,391.24516
-48.0,50,391.429708
-48.0,50,391.601666
-49.0,50,394.777206
-48.0,50,397.759298
-48.0,50,400.865201
-26.0,50,404.029577
-48.0,50,407.187735
-48.0,50,410.268098
-49.0,50,413.293181
-49.0,50,416.240904
-50.0,50,419.21642
-48.0,50,422.184868
-48.0,50,425.190778
-49.0,50,428.171664
-48.0,50,431.170383
-48.0,50,434.139049
-48.0,50,437.240406
-48.0,50,440.492204
-48.0,50,443.708283
-27.0,50,447.005871
-48.0,50,450.173315
-48.0,50,453.262596
-15.0,50,453.448159
-48.0,50,453.619039
-48.0,50,453.789725
-16.0,50,453.977558
-48.0,50,454.164616
-48.0,50,454.339566
-48.0,50,454.513541
-48.0,50,454.693601
-46.0,50,454.870085
-48.0,50,455.041232
