epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8556614,0.0966371,0.23980549,0.1034483,20.0,-1.3544369,0.05,40.0,0.0
1,0.8539591,0.09723463,0.23778698,0.11720991,40.0,-1.461743,0.05,80.0,0.05
2,0.853055,0.09619039,0.23700446,0.122481346,60.0,-2.2496316,0.15,120.0,0.075
3,0.85109997,0.098809,0.23628847,0.1274814,80.0,-3.0086875,0.05,160.0,0.0
4,0.8503055,0.09930701,0.23558801,0.1281758,100.0,-2.72802,0.25,200.0,0.05
5,0.84816283,0.10231946,0.23605011,0.13444807,120.0,-3.0666432,0.25,240.0,0.05
6,0.84714264,0.10103791,0.23648132,0.13655734,140.0,-2.9676404,0.55,280.0,0.075
7,0.84732175,0.099695586,0.23657505,0.13621357,160.0,-3.4369774,0.35,320.0,0.075
8,0.84838337,0.09908422,0.23774984,0.13547848,180.0,-2.8769462,0.5,360.0,0.15
9,0.84899044,0.10160347,0.23915116,0.13662387,200.0,-4.580862,0.3,400.0,0.075
10,0.84965676,0.10040989,0.2403152,0.13696578,220.0,-2.9623492,0.45,440.0,0.075
11,0.8493139,0.099253,0.24036194,0.14055282,240.0,-5.533587,0.2,480.0,0.075
12,0.84851724,0.09951127,0.24136418,0.1420969,260.0,-5.647621,0.25,520.0,0.05
