# {"t_start": 1587538090.0757494, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.670771
-50.0,50,4.387796
-28.0,50,6.025193
-50.0,50,7.665143
-50.0,50,9.335891
-50.0,50,11.0152
-28.0,50,12.702652
-50.0,50,14.404477
-50.0,50,16.099288
-39.0,50,17.792624
-50.0,50,19.481501
-50.0,50,21.203606
-39.0,50,22.92748
-50.0,50,24.662815
-50.0,50,26.429623
-50.0,50,28.188877
-50.0,50,29.96947
-50.0,50,31.762115
-50.0,50,33.585939
-50.0,50,35.375061
-50.0,50,37.243049
-50.0,50,37.401366
-39.0,50,37.572005
-50.0,50,37.742435
-50.0,50,37.902546
-28.0,50,38.077765
-50.0,50,38.237503
-28.0,50,38.40573
-50.0,50,38.562317
-50.0,50,38.72996
-39.0,50,38.941408
-50.0,50,40.796603
-50.0,50,42.649185
-50.0,50,44.515141
-39.0,50,46.387578
-39.0,50,48.297508
-39.0,50,50.183505
-39.0,50,52.076416
-50.0,50,53.970083
-39.0,50,55.891314
-39.0,50,57.80568
-39.0,50,59.73414
-50.0,50,61.66517
-39.0,50,63.623189
-39.0,50,65.57046
-50.0,50,67.54855
-39.0,50,69.522368
-50.0,50,71.492435
-50.0,50,73.47021
-50.0,50,75.47346
-28.0,50,77.475707
-28.0,50,77.642776
-28.0,50,77.815799
-28.0,50,77.976902
-39.0,50,78.129238
-50.0,50,78.300957
-28.0,50,78.476158
-28.0,50,78.650545
-28.0,50,78.825676
-28.0,50,78.997665
-39.0,50,79.162167
-50.0,50,81.170979
-39.0,50,83.186899
-50.0,50,85.250682
-39.0,50,87.280401
-39.0,50,89.330853
-39.0,50,91.395216
-39.0,50,93.476172
-50.0,50,95.562659
-39.0,50,97.629953
-28.0,50,99.683091
-39.0,50,101.759189
-39.0,50,103.838677
-39.0,50,105.930445
-28.0,50,108.032668
-28.0,50,110.147377
-50.0,50,112.260501
-28.0,50,114.385005
-39.0,50,116.512315
-39.0,50,118.662288
-10.0,50,120.823119
-23.0,50,120.983216
-28.0,50,121.143917
-28.0,50,121.308189
-39.0,50,121.462398
-39.0,50,121.622786
-28.0,50,121.791801
-28.0,50,121.958077
-28.0,50,122.127811
-28.0,50,122.298026
-39.0,50,122.46626
-8.0,50,124.635177
-39.0,50,126.815533
-50.0,50,129.018268
-39.0,50,131.2107
-26.0,50,133.422376
-39.0,50,135.61653
-39.0,50,137.833049
-28.0,50,140.050953
-39.0,50,142.269266
-39.0,50,144.508588
-39.0,50,146.752264
-39.0,50,149.008616
-28.0,50,151.267102
-50.0,50,153.541064
-39.0,50,155.802622
-39.0,50,158.07917
-50.0,50,160.385761
-39.0,50,162.71914
-50.0,50,165.036681
-28.0,50,167.42232
-26.0,50,167.596705
-28.0,50,167.766926
2.0,50,167.943844
-28.0,50,168.112052
-28.0,50,168.285352
-28.0,50,168.452596
-28.0,50,168.617447
-28.0,50,168.780701
-28.0,50,168.955498
-39.0,50,169.126163
-28.0,50,171.510117
-39.0,50,173.885625
-28.0,50,176.221175
-50.0,50,178.639162
-39.0,50,181.040066
-39.0,50,183.462708
-39.0,50,185.865921
-39.0,50,188.270678
-39.0,50,190.739523
-39.0,50,193.219598
-50.0,50,195.683807
-50.0,50,198.158992
-39.0,50,200.715151
-39.0,50,203.222788
-50.0,50,205.695825
-50.0,50,208.269111
-39.0,50,210.998319
-28.0,50,213.710499
-50.0,50,216.412403
-39.0,50,219.052315
-28.0,50,219.243714
-28.0,50,219.417283
-39.0,50,219.593552
-39.0,50,219.753665
-28.0,50,219.930984
-28.0,50,220.107078
-28.0,50,220.283979
-28.0,50,220.461249
-39.0,50,220.628188
-39.0,50,220.805172
-50.0,50,223.442264
-28.0,50,226.244634
-28.0,50,228.97355
-39.0,50,231.818881
-39.0,50,234.508362
-39.0,50,237.293839
-50.0,50,240.012477
-28.0,50,242.636555
-28.0,50,245.229197
-39.0,50,247.813096
-39.0,50,250.470769
-28.0,50,253.151164
-39.0,50,255.957738
-39.0,50,258.630557
-28.0,50,261.269076
-39.0,50,263.963046
-39.0,50,266.824955
-28.0,50,269.705173
-39.0,50,272.531073
-39.0,50,275.464526
-39.0,50,275.651995
-12.0,50,275.857558
-39.0,50,276.050796
-28.0,50,276.235568
-39.0,50,276.410602
-39.0,50,276.582341
-28.0,50,276.751937
-39.0,50,276.928809
-28.0,50,277.100677
-39.0,50,277.274518
-39.0,50,280.050945
-39.0,50,282.993793
-50.0,50,286.060323
-39.0,50,289.015222
-39.0,50,291.933057
-50.0,50,294.747617
-50.0,50,297.570888
-28.0,50,300.468906
-50.0,50,303.324598
