# {"t_start": 1587330948.4293633, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.804892
-39.0,50,4.519805
-39.0,50,6.217922
-39.0,50,7.913899
-38.0,50,9.718718
-36.0,50,11.457151
-39.0,50,13.212576
-37.0,50,15.01644
-38.0,50,16.854123
-37.0,50,18.701114
-39.0,50,20.602245
-38.0,50,22.453802
-34.0,50,24.309198
-38.0,50,26.361908
-37.0,50,28.294465
-39.0,50,30.17904
-39.0,50,32.132047
-36.0,50,34.077022
-37.0,50,36.003344
-35.0,50,37.939195
-37.0,50,40.072025
-27.0,50,40.264785
-36.0,50,40.441745
-39.0,50,40.674981
-38.0,50,40.900543
-38.0,50,41.118423
-34.0,50,41.327402
-38.0,50,41.516213
-37.0,50,41.731252
-25.0,50,41.957041
-37.0,50,42.22946
-38.0,50,44.16503
-36.0,50,46.101762
-37.0,50,48.088893
-39.0,50,50.084349
-25.0,50,52.144729
-37.0,50,54.206547
-28.0,50,56.25774
-26.0,50,58.252453
-26.0,50,60.334668
-36.0,50,62.387664
-39.0,50,64.415755
-28.0,50,66.507321
-36.0,50,68.658099
-35.0,50,70.738684
-36.0,50,72.766559
-39.0,50,75.062442
-37.0,50,77.188897
-27.0,50,79.377683
-38.0,50,81.714071
-39.0,50,83.951221
-39.0,50,84.147269
-38.0,50,84.33793
-38.0,50,84.525252
-38.0,50,84.733217
-38.0,50,84.910532
-39.0,50,85.09705
-39.0,50,85.289244
-38.0,50,85.469193
-39.0,50,85.665653
-39.0,50,85.873567
-27.0,50,88.092756
-39.0,50,90.579971
-26.0,50,92.76907
-24.0,50,95.089939
-39.0,50,97.609861
-37.0,50,99.930223
-26.0,50,102.336614
-39.0,50,104.554437
-38.0,50,106.862317
-37.0,50,109.207516
-37.0,50,111.568817
-39.0,50,113.961725
-39.0,50,116.258263
-28.0,50,118.705288
-38.0,50,121.021635
-27.0,50,123.399647
-38.0,50,125.780901
-37.0,50,128.292122
-24.0,50,130.800406
-39.0,50,133.159436
-39.0,50,133.371742
-38.0,50,133.551423
-37.0,50,133.722577
-38.0,50,133.92148
-39.0,50,134.122236
-39.0,50,134.305791
-39.0,50,134.48887
-35.0,50,134.662272
-39.0,50,134.841034
-38.0,50,135.028484
-36.0,50,137.32072
-35.0,50,139.67414
-37.0,50,142.019168
-36.0,50,144.414406
-35.0,50,146.769982
-36.0,50,149.1913
-38.0,50,151.767129
-38.0,50,154.074317
-39.0,50,156.552665
-37.0,50,158.930913
-39.0,50,161.324391
-38.0,50,163.708431
-38.0,50,166.094528
-36.0,50,168.470603
-36.0,50,170.902415
-37.0,50,173.579992
-38.0,50,176.117369
-38.0,50,178.634856
-28.0,50,181.390876
-39.0,50,183.80794
-38.0,50,183.986606
-39.0,50,184.167525
-39.0,50,184.342417
-39.0,50,184.524863
-39.0,50,184.703789
-39.0,50,184.887848
-39.0,50,185.073495
-39.0,50,185.261373
-39.0,50,185.445379
-38.0,50,185.631765
-39.0,50,188.199725
-37.0,50,190.723877
-36.0,50,193.256514
-38.0,50,195.741542
-36.0,50,198.328844
-39.0,50,201.096524
-38.0,50,203.810935
-36.0,50,206.378057
-36.0,50,209.005057
-39.0,50,211.619191
