epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85126334,0.101609685,0.24042441,0.10867386,20.0,-1.5224977,0.0,40.0,0.025
1,0.8480985,0.1049423,0.23808312,0.122359626,40.0,-2.3990247,0.05,80.0,0.025
2,0.8486082,0.10445357,0.23447433,0.12665151,60.0,-3.1898205,0.0,120.0,0.05
3,0.8495283,0.105414994,0.23181956,0.12508096,80.0,-4.2135153,0.0,160.0,0.05
4,0.84970117,0.10534864,0.23021641,0.124376886,100.0,-5.040325,0.0,200.0,0.0
5,0.84966755,0.10810859,0.2295804,0.1269316,120.0,-4.113392,0.25,240.0,0.025
6,0.8465154,0.10950781,0.228289,0.13076895,140.0,-3.967886,0.4,280.0,0.0
7,0.8448792,0.11241571,0.22761427,0.13620144,160.0,-5.0071344,0.2,320.0,0.05
8,0.8422961,0.11456058,0.22763523,0.13925011,180.0,-4.09776,0.3,360.0,0.05
9,0.83962804,0.11885675,0.22630821,0.14290692,200.0,-4.044614,0.25,400.0,0.025
10,0.8368027,0.12854809,0.22466522,0.14857388,220.0,-3.9116466,0.5,440.0,0.075
11,0.83501625,0.13405865,0.22377667,0.1553244,240.0,-6.2038445,0.05,480.0,0.0
12,0.8317202,0.14236782,0.221361,0.16019943,260.0,-7.5734344,0.0,520.0,0.025
13,0.8281181,0.14751267,0.21993838,0.16523911,280.0,-5.8241587,0.35,560.0,0.075
14,0.8271964,0.15198931,0.21927701,0.1693494,300.0,-7.7204094,0.15,600.0,0.025
15,0.8263233,0.15633269,0.21832076,0.1739696,320.0,-7.0539436,0.15,640.0,0.025
16,0.82711345,0.15917021,0.21750821,0.17688848,340.0,-7.428251,0.05,680.0,0.0
17,0.8268223,0.16204347,0.21717654,0.17916276,360.0,-6.7619743,0.25,720.0,0.05
18,0.829015,0.16408312,0.21683352,0.18185751,380.0,-7.2305055,0.05,760.0,0.025
19,0.8309055,0.16598673,0.21676119,0.18352538,400.0,-7.8201265,0.1,800.0,0.0
20,0.83137304,0.16934155,0.21576473,0.18606125,420.0,-9.303281,0.05,840.0,0.05
21,0.83145785,0.17277856,0.2152444,0.18820998,440.0,-9.881902,0.0,880.0,0.025
22,0.8317814,0.17504816,0.21436334,0.18933159,460.0,-11.11772,0.0,920.0,0.0
23,0.8317086,0.17694862,0.21387567,0.19140652,480.0,-10.801745,0.0,960.0,0.05
24,0.8325326,0.17883028,0.21370281,0.19260637,500.0,-10.635056,0.0,1000.0,0.025
25,0.83302015,0.1796938,0.21378583,0.19407354,520.0,-10.017212,0.0,1040.0,0.075
26,0.8335274,0.18144886,0.21319157,0.19622236,540.0,-10.866971,0.1,1080.0,0.05
27,0.83345824,0.18230987,0.21291083,0.19643427,560.0,-11.146864,0.05,1120.0,0.075
28,0.8346377,0.18392521,0.21226579,0.1974317,580.0,-9.481059,0.05,1160.0,0.025
29,0.83474356,0.1857385,0.21128622,0.19815208,600.0,-10.265981,0.05,1200.0,0.025
30,0.8357472,0.18692313,0.21112326,0.1992098,620.0,-10.425509,0.05,1240.0,0.025
31,0.83543414,0.18851548,0.21025553,0.20064956,640.0,-10.81738,0.1,1280.0,0.025
32,0.83641964,0.18958552,0.21019228,0.20118912,660.0,-10.664605,0.0,1320.0,0.0
33,0.8364504,0.19109197,0.20951313,0.20241997,680.0,-9.556144,0.1,1360.0,0.025
34,0.8373324,0.19216399,0.2091761,0.202683,700.0,-11.23276,0.0,1400.0,0.0
35,0.83755964,0.19313443,0.20906976,0.20300117,720.0,-6.864755,0.2,1440.0,0.0
36,0.8384273,0.19435227,0.20895995,0.20324598,740.0,-13.116213,0.05,1480.0,0.0
37,0.8386162,0.19519253,0.20888941,0.20355858,760.0,-10.850453,0.0,1520.0,0.025
38,0.8390607,0.196021,0.20893842,0.20391887,780.0,-11.332957,0.1,1560.0,0.025
39,0.83908755,0.19696987,0.20903294,0.2037577,800.0,-12.083357,0.1,1600.0,0.0
40,0.8391583,0.19834097,0.20918542,0.20448619,820.0,-12.712238,0.0,1640.0,0.025
41,0.8391066,0.20000269,0.20905727,0.2052377,840.0,-12.081729,0.1,1680.0,0.025
42,0.8382649,0.20154947,0.2086594,0.20564882,860.0,-10.509519,0.05,1720.0,0.0
43,0.83771753,0.20297444,0.20824128,0.20623544,880.0,-10.497692,0.0,1760.0,0.0
44,0.83672166,0.20491771,0.20774212,0.20696178,900.0,-9.913095,0.0,1800.0,0.0
45,0.8370579,0.20606892,0.20763901,0.20747894,920.0,-9.42481,0.0,1840.0,0.0
46,0.8366445,0.2070223,0.20725933,0.20796834,940.0,-10.20109,0.0,1880.0,0.025
47,0.8364792,0.20815058,0.20703325,0.20821913,960.0,-9.674406,0.05,1920.0,0.025
48,0.83642364,0.2089147,0.20701186,0.2085618,980.0,-11.6838665,0.0,1960.0,0.0
49,0.836651,0.20959401,0.20699655,0.20915563,1000.0,-11.526571,0.0,2000.0,0.0
50,0.835921,0.21049042,0.20668125,0.20946391,1020.0,-10.942537,0.0,2040.0,0.0
51,0.8350106,0.2115791,0.20586005,0.21000192,1040.0,-13.714567,0.0,2080.0,0.0
52,0.83491415,0.21278499,0.2055539,0.21020773,1060.0,-15.476286,0.0,2120.0,0.0
53,0.83478314,0.21357423,0.20526968,0.2104978,1080.0,-13.692744,0.0,2160.0,0.0
54,0.8351474,0.2140484,0.20529684,0.21078488,1100.0,-12.811376,0.05,2200.0,0.0
55,0.83516854,0.21494715,0.20512095,0.211037,1120.0,-12.661264,0.0,2240.0,0.025
56,0.83533186,0.2154371,0.20479935,0.21144693,1140.0,-15.147385,0.0,2280.0,0.025
57,0.83517885,0.21660103,0.20446827,0.21178064,1160.0,-15.946535,0.1,2320.0,0.0
58,0.8343126,0.21772999,0.20404676,0.21229649,1180.0,-13.77708,0.0,2360.0,0.025
59,0.8334534,0.21881278,0.20377527,0.21257077,1200.0,-13.097529,0.0,2400.0,0.0
60,0.83294874,0.21959765,0.20348522,0.21278593,1220.0,-14.322502,0.05,2440.0,0.0
61,0.8326774,0.22020806,0.20340332,0.21319564,1240.0,-12.406064,0.0,2480.0,0.0
62,0.832287,0.22078939,0.20335867,0.21353136,1260.0,-13.46887,0.1,2520.0,0.025
63,0.83216494,0.22119065,0.20310988,0.21392475,1280.0,-14.250859,0.05,2560.0,0.0
64,0.83209467,0.22182293,0.20294586,0.21406299,1300.0,-14.064085,0.0,2600.0,0.0
65,0.83186835,0.22250664,0.2026138,0.21426287,1320.0,-15.67365,0.0,2640.0,0.025
66,0.83169883,0.22297698,0.20261708,0.21449822,1340.0,-15.2027645,0.0,2680.0,0.0
67,0.8313425,0.2236883,0.20236138,0.21458666,1360.0,-15.706441,0.0,2720.0,0.025
68,0.83125114,0.22445834,0.20223555,0.2148564,1380.0,-16.373974,0.0,2760.0,0.025
69,0.83079726,0.22512875,0.20177647,0.21487989,1400.0,-15.264269,0.0,2800.0,0.025
70,0.8305667,0.22542608,0.2016395,0.21495837,1420.0,-16.470781,0.0,2840.0,0.05
71,0.83034015,0.22583354,0.20157202,0.21514757,1440.0,-15.944982,0.1,2880.0,0.025
72,0.82985514,0.22649787,0.20148307,0.21559355,1460.0,-15.530954,0.0,2920.0,0.025
73,0.82985854,0.22674686,0.2011868,0.21574643,1480.0,-14.332051,0.1,2960.0,0.025
74,0.8294549,0.22718613,0.20101954,0.21592061,1500.0,-14.707184,0.0,3000.0,0.05
75,0.829331,0.2275977,0.20101476,0.21614331,1520.0,-16.659803,0.0,3040.0,0.0
76,0.8288098,0.22794801,0.20087868,0.21630405,1540.0,-17.558815,0.05,3080.0,0.0
77,0.8290897,0.22815908,0.20074402,0.21651489,1560.0,-15.904627,0.0,3120.0,0.0
78,0.8286207,0.22852957,0.20069139,0.21658747,1580.0,-16.9104,0.0,3160.0,0.075
79,0.8285008,0.22864129,0.20059536,0.21671027,1600.0,-18.26364,0.0,3200.0,0.0
80,0.82842547,0.2289284,0.20041703,0.21687834,1620.0,-19.877453,0.05,3240.0,0.025
81,0.82860476,0.22937356,0.20028485,0.21703765,1640.0,-23.141119,0.0,3280.0,0.0
82,0.8289278,0.22965747,0.2003056,0.21719614,1660.0,-21.210083,0.0,3320.0,0.0
83,0.82873154,0.23012501,0.20007375,0.21717915,1680.0,-17.905222,0.0,3360.0,0.0
84,0.82890534,0.23012008,0.19995825,0.2171897,1700.0,-17.486923,0.0,3400.0,0.025
85,0.82894206,0.23029101,0.19972757,0.21740644,1720.0,-15.375712,0.1,3440.0,0.05
86,0.82886744,0.2304147,0.19958428,0.21754453,1740.0,-14.317965,0.0,3480.0,0.025
87,0.82855827,0.230605,0.19934747,0.21757247,1760.0,-23.264854,0.0,3520.0,0.1
88,0.8285993,0.23062688,0.1992762,0.21758458,1780.0,-19.830023,0.0,3560.0,0.025
89,0.8286228,0.23067336,0.19903132,0.21762775,1800.0,-17.923147,0.05,3600.0,0.025
90,0.8281494,0.23078103,0.1989395,0.21777382,1820.0,-21.77263,0.0,3640.0,0.025
91,0.8280985,0.23097098,0.19878052,0.21784893,1840.0,-19.245077,0.0,3680.0,0.0
92,0.8279601,0.23113723,0.19883643,0.21788652,1860.0,-21.297268,0.0,3720.0,0.025
