# {"t_start": 1587934306.4049654, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.904576
-39.0,50,4.687045
-50.0,50,6.453219
-50.0,50,8.433937
-28.0,50,10.219794
-50.0,50,12.035293
-28.0,50,13.863498
-28.0,50,15.703101
-39.0,50,17.591189
-50.0,50,19.599244
-39.0,50,21.57322
-28.0,50,23.577635
-50.0,50,25.561611
-50.0,50,27.483728
-28.0,50,29.539671
-39.0,50,31.601644
9.0,50,33.627186
-28.0,50,35.667349
-28.0,50,37.792482
-7.0,50,39.891947
-28.0,50,42.023006
-28.0,50,42.240851
-28.0,50,42.43688
-39.0,50,42.630945
-39.0,50,42.841802
-28.0,50,43.054306
-39.0,50,43.269018
-16.0,50,43.485512
-39.0,50,43.708229
-39.0,50,43.921774
-39.0,50,44.165833
-39.0,50,46.308374
-28.0,50,48.515666
-28.0,50,50.599735
-50.0,50,52.647739
-18.0,50,54.740259
-39.0,50,56.86167
-39.0,50,59.009028
-28.0,50,61.30818
-28.0,50,63.545147
-28.0,50,65.822119
-28.0,50,68.03988
-39.0,50,70.197504
-39.0,50,72.36616
-28.0,50,74.588704
-39.0,50,77.019154
-10.0,50,79.345842
-50.0,50,81.668492
-28.0,50,84.026784
-28.0,50,86.490541
-28.0,50,88.950569
-28.0,50,89.164752
-28.0,50,89.367712
-24.0,50,89.580546
-39.0,50,89.792538
-28.0,50,89.987883
-39.0,50,90.181022
-28.0,50,90.395677
-28.0,50,90.60079
-1.0,50,90.805448
-50.0,50,91.004358
-39.0,50,93.323864
-39.0,50,95.698637
-50.0,50,98.09533
-39.0,50,100.425866
-50.0,50,102.699211
-39.0,50,105.043169
-39.0,50,107.589458
-28.0,50,110.050777
-28.0,50,112.533639
-28.0,50,114.889778
-50.0,50,117.39081
-28.0,50,119.756383
-28.0,50,122.219826
-50.0,50,124.890635
-28.0,50,127.503006
-25.0,50,130.059088
-28.0,50,132.587621
-12.0,50,135.172414
-28.0,50,137.812599
-28.0,50,140.277124
-28.0,50,140.487775
-39.0,50,140.691143
-28.0,50,140.911494
-39.0,50,141.126246
-39.0,50,141.340947
-39.0,50,141.539942
-28.0,50,141.744984
-28.0,50,141.963481
-39.0,50,142.166689
-50.0,50,142.366093
-50.0,50,144.931269
-39.0,50,147.564822
-28.0,50,150.099859
-28.0,50,152.702379
-39.0,50,155.322153
-28.0,50,157.819911
-50.0,50,160.289773
-28.0,50,162.781571
-39.0,50,165.310447
-28.0,50,167.848289
-28.0,50,170.410419
-39.0,50,172.913134
-28.0,50,175.489235
-28.0,50,178.176676
-39.0,50,180.935382
-28.0,50,183.644382
-39.0,50,186.344952
-4.0,50,189.179329
-28.0,50,191.868242
-1.0,50,194.70684
-39.0,50,194.912727
-28.0,50,195.101966
-28.0,50,195.304427
4.0,50,195.514583
-28.0,50,195.731865
12.0,50,195.954878
-28.0,50,196.156868
-39.0,50,196.379105
-1.0,50,196.586869
-28.0,50,196.792922
-28.0,50,199.584902
-28.0,50,202.400079
-28.0,50,205.137627
-28.0,50,207.845366
-28.0,50,210.582539
-28.0,50,213.318023
-28.0,50,216.116301
-39.0,50,219.005381
-28.0,50,222.06548
-39.0,50,225.230006
-28.0,50,228.297846
-28.0,50,231.323946
-28.0,50,234.14606
-6.0,50,236.862662
6.0,50,239.719741
-28.0,50,242.535137
-28.0,50,245.261936
-28.0,50,248.048111
-28.0,50,250.840357
-28.0,50,253.652375
-28.0,50,253.851555
8.0,50,254.06759
10.0,50,254.289878
-28.0,50,254.505972
-39.0,50,254.710701
0.0,50,254.927907
-3.0,50,255.150255
-28.0,50,255.369521
6.0,50,255.585158
-28.0,50,255.772431
-50.0,50,258.595852
-28.0,50,261.541845
-10.0,50,264.415061
-28.0,50,267.244668
-28.0,50,270.146265
-21.0,50,273.108257
-28.0,50,276.011212
-28.0,50,278.861825
-39.0,50,281.689134
-39.0,50,284.543463
-39.0,50,287.400278
-28.0,50,290.285269
-2.0,50,293.124101
-28.0,50,296.000211
-27.0,50,299.002647
-28.0,50,302.004946
-28.0,50,304.9639
-2.0,50,307.971591
-11.0,50,311.003719
-39.0,50,314.077584
-28.0,50,314.267344
-28.0,50,314.461586
-28.0,50,314.648628
-39.0,50,314.830045
-23.0,50,315.033133
-39.0,50,315.23674
-19.0,50,315.441173
-28.0,50,315.634751
-39.0,50,315.844433
-28.0,50,316.044567
-28.0,50,319.034943
-28.0,50,322.086795
-28.0,50,325.049652
-28.0,50,328.007869
-39.0,50,331.01381
-28.0,50,334.005866
-28.0,50,336.96103
-22.0,50,339.960996
-28.0,50,342.953404
-28.0,50,346.0065
-23.0,50,349.197109
-26.0,50,352.424704
-5.0,50,355.588663
7.0,50,358.816267
-28.0,50,361.96288
-28.0,50,364.977877
-7.0,50,368.116731
-24.0,50,371.287462
-28.0,50,374.568908
-28.0,50,377.712927
-28.0,50,377.918165
5.0,50,378.120026
-28.0,50,378.310229
-28.0,50,378.537444
10.0,50,378.740349
-11.0,50,378.967505
-28.0,50,379.144635
-4.0,50,379.33854
-28.0,50,379.552284
-28.0,50,379.73511
-39.0,50,382.900664
-39.0,50,386.301813
-39.0,50,389.7734
-28.0,50,393.19435
-7.0,50,396.510727
-28.0,50,399.599421
-28.0,50,402.744646
-22.0,50,406.216882
-28.0,50,409.54478
-28.0,50,412.884305
-39.0,50,416.220274
-28.0,50,419.575104
-28.0,50,422.986013
-28.0,50,426.360969
-39.0,50,429.785922
-39.0,50,433.310372
-28.0,50,436.825653
-28.0,50,440.335598
-39.0,50,443.63798
-28.0,50,447.052255
-28.0,50,447.262172
-28.0,50,447.473639
-28.0,50,447.662469
-28.0,50,447.862711
-1.0,50,448.067574
-28.0,50,448.255138
-19.0,50,448.47706
11.0,50,448.674859
-28.0,50,448.871704
