epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8584735,0.09713843,0.23993264,0.11072291,20.0,-1.1995215,0.0,40.0,0.075
1,0.8524793,0.096940644,0.23839729,0.116748825,40.0,-1.6202742,0.15,80.0,0.025
2,0.8526752,0.100121774,0.23736882,0.123654485,60.0,-2.2728558,0.05,120.0,0.1
3,0.849674,0.09805641,0.23639059,0.12561601,80.0,-2.2881966,0.35,160.0,0.1
4,0.84956425,0.09691314,0.23732567,0.13008843,100.0,-2.3008962,0.5,200.0,0.1
5,0.84865475,0.09907517,0.23888959,0.1361647,120.0,-2.3436792,0.2,240.0,0.05
6,0.848027,0.0998908,0.23968667,0.13632448,140.0,-3.0301485,0.35,280.0,0.075
7,0.8474663,0.10038153,0.2419169,0.13992682,160.0,-3.4123383,0.1,320.0,0.05
8,0.8470281,0.10223299,0.24250823,0.14541191,180.0,-4.3332157,0.15,360.0,0.075
9,0.8471009,0.10327834,0.24291629,0.15098253,200.0,-2.9746187,0.25,400.0,0.1
10,0.8467614,0.103993066,0.24332055,0.15451416,220.0,-4.1104956,0.2,440.0,0.1
11,0.84718424,0.105300866,0.24354085,0.15748897,240.0,-5.454354,0.05,480.0,0.05
12,0.84535056,0.112577684,0.24450424,0.16136235,260.0,-2.9653373,0.4,520.0,0.175
13,0.8452823,0.112897165,0.244782,0.16774082,280.0,-4.813507,0.3,560.0,0.05
14,0.84363765,0.11802578,0.24517468,0.17062132,300.0,-3.8013616,0.25,600.0,0.1
15,0.84344584,0.11939325,0.24594937,0.17288277,320.0,-2.732574,0.45,640.0,0.075
16,0.8439143,0.12205104,0.24583472,0.17479593,340.0,-5.4751635,0.1,680.0,0.075
17,0.84349257,0.122303225,0.24635881,0.17516558,360.0,-4.258694,0.3,720.0,0.075
18,0.84383273,0.12489408,0.24626233,0.17669511,380.0,-6.057866,0.25,760.0,0.175
19,0.8443127,0.12580588,0.24631006,0.17699796,400.0,-5.666109,0.3,800.0,0.1
20,0.84446096,0.12577316,0.24733958,0.17684071,420.0,-6.40242,0.2,840.0,0.1
21,0.8435149,0.12761007,0.24762045,0.17813413,440.0,-7.274298,0.1,880.0,0.025
22,0.841636,0.13309827,0.24792507,0.18033442,460.0,-5.7736406,0.25,920.0,0.1
23,0.84077907,0.13396071,0.24803823,0.18056321,480.0,-7.449117,0.05,960.0,0.1
24,0.8408272,0.13414194,0.24855883,0.18082961,500.0,-5.8746047,0.25,1000.0,0.15
25,0.8402807,0.13569574,0.24881448,0.18083784,520.0,-5.885894,0.35,1040.0,0.15
26,0.84015125,0.13569221,0.24912272,0.18152513,540.0,-3.7448845,0.7,1080.0,0.15
27,0.839905,0.13648106,0.24983802,0.18206666,560.0,-8.474567,0.15,1120.0,0.175
28,0.8396657,0.1372373,0.25009137,0.182432,580.0,-8.427715,0.15,1160.0,0.1
29,0.8390224,0.13778438,0.25039238,0.18350078,600.0,-4.6925087,0.25,1200.0,0.15
30,0.8388137,0.13801305,0.251085,0.18406303,620.0,-5.820836,0.3,1240.0,0.125
31,0.8383259,0.1390865,0.2515858,0.18502821,640.0,-9.058383,0.2,1280.0,0.15
32,0.8381011,0.14054929,0.25185353,0.1856683,660.0,-5.017703,0.6,1320.0,0.1
33,0.83794135,0.14148058,0.25214842,0.1861182,680.0,-7.364511,0.45,1360.0,0.275
34,0.83776164,0.14243175,0.25212348,0.18608496,700.0,-4.931331,0.6,1400.0,0.2
35,0.8379438,0.14326905,0.25278547,0.18615937,720.0,-9.743944,0.3,1440.0,0.175
36,0.8374841,0.1438929,0.25308526,0.18630141,740.0,-6.9015822,0.5,1480.0,0.2
37,0.83759946,0.14443488,0.25361347,0.18638137,760.0,-4.879674,0.65,1520.0,0.25
38,0.83759636,0.14487486,0.25344694,0.18625316,780.0,-7.4444137,0.4,1560.0,0.275
39,0.8376379,0.14572234,0.2536018,0.18639947,800.0,-6.776759,0.55,1600.0,0.275
40,0.83759457,0.14620395,0.2539312,0.18669266,820.0,-7.9495573,0.25,1640.0,0.225
41,0.837329,0.14710565,0.25410223,0.1866448,840.0,-4.33347,0.6,1680.0,0.35
42,0.8373561,0.14735736,0.25450712,0.18669046,860.0,-7.0669603,0.4,1720.0,0.275
43,0.8375953,0.14747305,0.25473145,0.1864571,880.0,-5.7268233,0.6,1760.0,0.25
44,0.83749384,0.14778377,0.25473922,0.18658689,900.0,-5.009103,0.55,1800.0,0.35
45,0.8378884,0.14851333,0.25483844,0.18725298,920.0,-8.227958,0.4,1840.0,0.25
46,0.83804226,0.1492302,0.25481936,0.18756133,940.0,-4.852794,0.55,1880.0,0.225
47,0.83796376,0.14985774,0.25493017,0.18778537,960.0,-5.6952124,0.6,1920.0,0.3
48,0.8379441,0.150654,0.25509602,0.1878508,980.0,-5.9364176,0.5,1960.0,0.375
