# {"t_start": 1587529534.5648553, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.695786
-39.0,50,4.352282
-50.0,50,5.916887
-39.0,50,7.499807
-39.0,50,9.206866
-50.0,50,10.912278
-39.0,50,12.504798
-28.0,50,14.114817
-39.0,50,15.736897
-50.0,50,17.375461
-39.0,50,19.032003
-28.0,50,20.723228
-28.0,50,22.531122
-50.0,50,24.364484
-39.0,50,26.234164
-39.0,50,28.05547
-28.0,50,29.886919
-50.0,50,31.691377
-39.0,50,33.518545
-39.0,50,35.407293
-39.0,50,37.422192
-50.0,50,37.597931
2.0,50,37.783788
-28.0,50,37.965332
-28.0,50,38.146106
-50.0,50,38.334909
-50.0,50,38.52348
-50.0,50,38.703313
-39.0,50,38.885187
-28.0,50,39.067782
-26.0,50,39.29638
-39.0,50,41.252525
-28.0,50,43.210363
-50.0,50,45.170965
-39.0,50,47.048428
-50.0,50,48.929722
-50.0,50,50.809801
-39.0,50,52.733941
-50.0,50,54.635684
-50.0,50,56.614154
-28.0,50,58.577286
-50.0,50,60.538153
-50.0,50,62.55409
-9.0,50,64.534092
-50.0,50,66.402794
-39.0,50,68.315923
-39.0,50,70.341016
-50.0,50,76.61363
-28.0,50,78.977321
-50.0,50,81.037236
-11.0,50,83.104977
-50.0,50,83.276895
-28.0,50,83.453754
-50.0,50,83.625829
-39.0,50,83.819238
-28.0,50,83.986418
-50.0,50,84.15598
-50.0,50,84.332726
-50.0,50,84.503802
-50.0,50,84.667044
-39.0,50,84.84657
-39.0,50,86.889545
-50.0,50,88.932511
-50.0,50,90.976219
-50.0,50,92.990475
-50.0,50,95.00405
-50.0,50,97.028538
-50.0,50,99.092781
-50.0,50,101.186008
-50.0,50,103.278459
-28.0,50,105.394971
-39.0,50,107.506855
-50.0,50,109.633713
-50.0,50,111.7733
-39.0,50,113.900394
-50.0,50,116.052195
-50.0,50,118.210227
-50.0,50,120.380398
-39.0,50,122.564425
-39.0,50,124.751616
-50.0,50,126.929981
-39.0,50,127.118272
-28.0,50,127.308912
-28.0,50,127.482611
-39.0,50,127.653258
-39.0,50,127.835061
-28.0,50,128.016275
-12.0,50,128.19903
-28.0,50,128.377178
-28.0,50,128.545068
-50.0,50,128.743211
-39.0,50,130.961735
-39.0,50,133.152278
-39.0,50,135.354002
-39.0,50,137.57402
-50.0,50,139.860795
-50.0,50,142.212284
-39.0,50,144.568157
-39.0,50,146.809286
-28.0,50,149.164615
-39.0,50,151.653013
-39.0,50,153.96616
-39.0,50,156.332255
-39.0,50,158.890437
-50.0,50,161.292942
-39.0,50,163.594968
-28.0,50,165.912996
-28.0,50,168.220723
-22.0,50,170.563554
-50.0,50,172.91708
-15.0,50,175.257203
-39.0,50,175.42968
-28.0,50,175.601026
-28.0,50,175.768269
-39.0,50,175.941066
-28.0,50,176.118468
-50.0,50,176.282351
-28.0,50,176.45019
