epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8616627,0.09614422,0.24142234,0.10839364,20.0,-0.007483814,0.05,40.0,0.0
1,0.8577607,0.09374545,0.23393703,0.10722831,40.0,0.00017888052,0.15,80.0,0.05
2,0.85527915,0.09187138,0.22897409,0.11246677,60.0,-0.004654557,0.1,120.0,0.025
3,0.8550322,0.09181539,0.22723952,0.116889164,80.0,-0.0030994196,0.1,160.0,0.025
4,0.8532324,0.0943144,0.22530958,0.11995607,100.0,-0.0079723755,0.0,200.0,0.0
5,0.852089,0.09435361,0.22444804,0.12136368,120.0,-0.0063858936,0.2,240.0,0.0
6,0.8509357,0.09495771,0.22430903,0.123101324,140.0,-0.0073294295,0.15,280.0,0.0
7,0.8503225,0.093687735,0.223533,0.12295112,160.0,-0.008623318,0.1,320.0,0.0
8,0.8496735,0.09389865,0.22293869,0.12285106,180.0,-0.0072486093,0.05,360.0,0.05
9,0.85042024,0.09307516,0.22205639,0.122438155,200.0,-0.0038738674,0.05,400.0,0.0
10,0.84987545,0.09226344,0.22144459,0.12279237,220.0,-0.004425749,0.05,440.0,0.05
