epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85567683,0.094510674,0.21864016,0.12879992,20.0,-1.4517375,0.0,40.0,0.0
1,0.8488526,0.08885331,0.22006485,0.12143203,40.0,-1.984029,0.1,80.0,0.025
2,0.8466373,0.09311545,0.22092089,0.13028802,60.0,-2.4065337,0.1,120.0,0.0
3,0.84449846,0.09542277,0.22671151,0.13483042,80.0,-2.63135,0.05,160.0,0.025
4,0.84474826,0.09718243,0.23080733,0.14009303,100.0,-2.8518176,0.1,200.0,0.0
5,0.8459232,0.09630623,0.23465356,0.14422798,120.0,-3.0038645,0.2,240.0,0.05
6,0.8455401,0.095291324,0.23805216,0.14456156,140.0,-3.2624335,0.2,280.0,0.125
7,0.8463153,0.09509351,0.24014091,0.14632016,160.0,-3.726617,0.1,320.0,0.05
8,0.846023,0.09405098,0.2430101,0.14899734,180.0,-4.346634,0.1,360.0,0.05
9,0.84648997,0.09483483,0.24535927,0.15122953,200.0,-4.270253,0.1,400.0,0.1
10,0.8468692,0.09486552,0.24757396,0.15149483,220.0,-4.6980987,0.1,440.0,0.125
11,0.84701896,0.09483647,0.24874367,0.15172721,240.0,-5.1059055,0.2,480.0,0.125
12,0.84704214,0.09626308,0.25003967,0.15177946,260.0,-6.9519377,0.05,520.0,0.0
13,0.8467641,0.09692609,0.25083187,0.15135083,280.0,-5.800894,0.25,560.0,0.025
14,0.8466304,0.09622392,0.25209525,0.15202339,300.0,-7.5336075,0.1,600.0,0.125
15,0.84656143,0.09539016,0.25274566,0.1532148,320.0,-5.8769374,0.15,640.0,0.1
16,0.8464548,0.09525355,0.2535848,0.1526548,340.0,-7.646098,0.1,680.0,0.1
17,0.84612346,0.09668199,0.25304154,0.15317924,360.0,-5.4083185,0.35,720.0,0.125
18,0.8452172,0.096095346,0.25270182,0.15276952,380.0,-7.1759615,0.3,760.0,0.2
19,0.8447094,0.09603111,0.25315532,0.15375528,400.0,-5.8602376,0.2,800.0,0.075
20,0.844912,0.09562212,0.25358823,0.15388863,420.0,-5.12335,0.55,840.0,0.15
21,0.8447676,0.09508932,0.25381553,0.15484601,440.0,-4.44038,0.15,880.0,0.15
22,0.84411454,0.0959655,0.2539912,0.15620671,460.0,-8.159322,0.2,920.0,0.15
23,0.84389496,0.096590735,0.25380567,0.1570382,480.0,-7.671834,0.3,960.0,0.15
24,0.8437807,0.09780273,0.25400802,0.15852222,500.0,-4.9256506,0.4,1000.0,0.15
25,0.8440385,0.097685516,0.25399283,0.15906532,520.0,-8.006918,0.3,1040.0,0.075
26,0.84360534,0.09777156,0.2540944,0.15929556,540.0,-8.389818,0.2,1080.0,0.325
27,0.84367484,0.098896325,0.25455564,0.15999554,560.0,-4.099328,0.35,1120.0,0.2
28,0.8438944,0.09867394,0.25449005,0.15969457,580.0,-6.6080523,0.4,1160.0,0.225
29,0.84413147,0.099610426,0.25500834,0.1598303,600.0,-8.487567,0.25,1200.0,0.2
30,0.8443224,0.09984063,0.25496104,0.1598902,620.0,-7.7429934,0.45,1240.0,0.3
31,0.84414774,0.0999736,0.25539267,0.15993363,640.0,-8.347527,0.3,1280.0,0.15
32,0.8443084,0.100307345,0.25526717,0.15935084,660.0,-6.1222773,0.55,1320.0,0.275
33,0.84435326,0.09996117,0.25528246,0.15892217,680.0,-5.991234,0.5,1360.0,0.325
34,0.8443365,0.099859856,0.2552327,0.15849628,700.0,-5.3520336,0.6,1400.0,0.5
35,0.8438123,0.09995559,0.25552532,0.15834048,720.0,-9.250272,0.5,1440.0,0.3
36,0.8442963,0.10023872,0.25580183,0.15819277,740.0,-7.470418,0.5,1480.0,0.25
37,0.84453124,0.10023576,0.25586516,0.15772563,760.0,-7.4260607,0.4,1520.0,0.3
38,0.8444688,0.101396374,0.25591698,0.15765403,780.0,-6.906212,0.5,1560.0,0.425
39,0.84436554,0.10166827,0.25601536,0.15733851,800.0,-7.054531,0.55,1600.0,0.3
40,0.8444125,0.10154163,0.2560293,0.15652138,820.0,-5.0643725,0.6,1640.0,0.5
41,0.8441694,0.10288045,0.25588667,0.15686677,840.0,-3.7258217,0.8,1680.0,0.35
42,0.84399146,0.10367168,0.256188,0.15727133,860.0,-8.082092,0.5,1720.0,0.225
43,0.84423804,0.10378767,0.25638613,0.15706491,880.0,-7.760897,0.5,1760.0,0.425
44,0.8446061,0.104589246,0.25673616,0.1569938,900.0,-5.0912004,0.8,1800.0,0.375
45,0.84472555,0.10453921,0.25668243,0.15657772,920.0,-2.8751142,0.65,1840.0,0.325
46,0.84475374,0.10483941,0.25673586,0.15622994,940.0,-7.222749,0.55,1880.0,0.3
47,0.8448686,0.105273426,0.25698978,0.15661225,960.0,-3.3954384,0.75,1920.0,0.425
48,0.8448686,0.10509708,0.25714236,0.15614374,980.0,-2.8068416,0.8,1960.0,0.5
49,0.84532017,0.10520681,0.25735897,0.1554726,1000.0,-2.1451297,0.05,2000.0,0.425
50,0.8453737,0.105295815,0.25754422,0.15509677,1020.0,-3.1354434,0.65,2040.0,0.4
51,0.84551245,0.105122365,0.25766808,0.15474015,1040.0,-3.0510035,0.8,2080.0,0.5
52,0.84575295,0.105508536,0.25787595,0.15476945,1060.0,-3.621648,0.8,2120.0,0.45
53,0.84596723,0.10571756,0.257793,0.15478307,1080.0,-2.531081,0.8,2160.0,0.55
54,0.8458126,0.10625506,0.2579605,0.15475506,1100.0,-1.767099,0.85,2200.0,0.45
55,0.8459479,0.10718479,0.2579969,0.15474217,1120.0,-3.0513623,0.7,2240.0,0.275
56,0.8462209,0.107865356,0.25836623,0.15490101,1140.0,-2.274513,0.7,2280.0,0.6
57,0.84627,0.10853205,0.25847477,0.1546916,1160.0,-2.2192502,0.7,2320.0,0.575
58,0.84636205,0.108820826,0.2584059,0.15444764,1180.0,-2.5370207,0.35,2360.0,0.375
59,0.846395,0.10901276,0.25833124,0.15423338,1200.0,-2.6317294,0.8,2400.0,0.575
60,0.8467357,0.10911521,0.25850046,0.15398447,1220.0,-1.8907955,0.75,2440.0,0.7
61,0.8469643,0.10923165,0.2585874,0.15363336,1240.0,-2.9856918,0.7,2480.0,0.55
62,0.84697247,0.10944543,0.25857985,0.15352726,1260.0,-1.6512299,0.85,2520.0,0.55
63,0.84729797,0.109399654,0.25878432,0.15327285,1280.0,-2.63265,0.8,2560.0,0.525
64,0.8475046,0.10939696,0.2588043,0.15269443,1300.0,-3.387853,0.75,2600.0,0.7
65,0.84771127,0.10937878,0.25891253,0.15243363,1320.0,-1.9015172,0.95,2640.0,0.7
66,0.8475999,0.109482266,0.25897977,0.15212178,1340.0,-1.1918824,0.95,2680.0,0.65
67,0.8477249,0.10943527,0.25902012,0.15181583,1360.0,-1.4747118,0.95,2720.0,0.65
68,0.8480553,0.10940511,0.2590745,0.15140547,1380.0,-1.3570167,0.85,2760.0,0.5
69,0.84806436,0.10977458,0.25918844,0.15124863,1400.0,-1.7590326,0.95,2800.0,0.525
70,0.8481824,0.10976458,0.2592259,0.15094195,1420.0,-1.9801906,0.95,2840.0,0.45
71,0.84841245,0.109890014,0.25923267,0.15070704,1440.0,-1.3412288,0.95,2880.0,0.5
72,0.84864074,0.10974523,0.25932434,0.1503458,1460.0,-1.2919968,1.0,2920.0,0.675
73,0.8485206,0.10974429,0.2592463,0.14995332,1480.0,-2.0225997,0.75,2960.0,0.575
74,0.8486964,0.10964212,0.25932634,0.14953756,1500.0,-2.686574,0.9,3000.0,0.6
75,0.8488614,0.10955856,0.25929987,0.14917777,1520.0,-2.0179687,0.85,3040.0,0.675
76,0.8490267,0.10949258,0.25938815,0.14879543,1540.0,-1.1242893,0.85,3080.0,0.675
77,0.84899825,0.10937973,0.25945622,0.14846653,1560.0,-1.4817307,0.9,3120.0,0.625
78,0.84900016,0.10943547,0.25938502,0.14829583,1580.0,-1.684088,0.85,3160.0,0.625
79,0.84907395,0.10965171,0.25937274,0.14811087,1600.0,-2.1791704,0.9,3200.0,0.6
80,0.8492108,0.10975965,0.25929806,0.1479198,1620.0,-1.4248631,0.9,3240.0,0.675
81,0.8493743,0.10957643,0.25938115,0.14748915,1640.0,-1.674621,0.95,3280.0,0.65
82,0.849545,0.109557144,0.25951743,0.14733641,1660.0,-1.0221946,0.95,3320.0,0.65
83,0.8496728,0.10951664,0.2595876,0.14715205,1680.0,-0.865948,0.95,3360.0,0.7
84,0.8497996,0.10946837,0.25971848,0.14693336,1700.0,-0.9628358,0.9,3400.0,0.7
85,0.84989923,0.10931335,0.2597942,0.1465129,1720.0,-1.1047218,1.0,3440.0,0.75
86,0.85020906,0.1092729,0.25995827,0.1461048,1740.0,-2.393951,0.85,3480.0,0.8
87,0.85034347,0.10915061,0.26004425,0.14584082,1760.0,-0.9932517,0.85,3520.0,0.625
88,0.8503208,0.109043844,0.26014674,0.14551337,1780.0,-0.9153844,0.9,3560.0,0.65
89,0.85042804,0.10887641,0.26027685,0.14514089,1800.0,-0.77544814,1.0,3600.0,0.7
90,0.8507201,0.10927162,0.26036474,0.14498341,1820.0,-2.0422122,0.75,3640.0,0.5
91,0.8509457,0.10928718,0.26039466,0.14474867,1840.0,-0.93732035,1.0,3680.0,0.6
92,0.8509793,0.10928353,0.2604852,0.14447667,1860.0,-1.5302165,1.0,3720.0,0.65
93,0.85097957,0.10935674,0.26057288,0.144224,1880.0,-0.89609015,0.95,3760.0,0.575
94,0.8512941,0.1092607,0.26068088,0.14395256,1900.0,-1.3173501,0.75,3800.0,0.675
95,0.8515058,0.10924813,0.26066825,0.14385046,1920.0,-1.8064562,0.7,3840.0,0.6
96,0.8514278,0.10919895,0.26056144,0.14367534,1940.0,-1.4288174,0.85,3880.0,0.5
97,0.8514959,0.10909555,0.26051694,0.14355877,1960.0,-1.3693546,1.0,3920.0,0.725
98,0.8517106,0.108989954,0.26056004,0.14328821,1980.0,-1.3936926,0.95,3960.0,0.75
99,0.85193783,0.10909909,0.2607177,0.14319055,2000.0,-1.6297356,0.9,4000.0,0.55
