# {"t_start": 1588117520.724075, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.382472
-50.0,50,3.64151
-50.0,50,4.839126
-50.0,50,6.049381
-50.0,50,7.257592
-50.0,50,8.529231
-50.0,50,9.864692
-50.0,50,11.046482
-50.0,50,12.222794
-50.0,50,13.527406
-50.0,50,14.820671
-50.0,50,16.130089
-28.0,50,17.452612
-39.0,50,18.782865
-28.0,50,20.123263
-39.0,50,21.449476
-39.0,50,22.813836
-39.0,50,24.195549
-28.0,50,25.56889
-39.0,50,26.942756
-39.0,50,28.351845
-28.0,50,28.530022
-50.0,50,28.721573
-28.0,50,28.91028
-39.0,50,29.083019
-39.0,50,29.265567
-28.0,50,29.444498
-50.0,50,29.631771
-28.0,50,29.808603
-50.0,50,29.997439
-39.0,50,30.210511
-50.0,50,31.599936
-28.0,50,33.012841
-39.0,50,34.435726
-50.0,50,35.84633
-39.0,50,37.27844
-39.0,50,38.720676
-39.0,50,40.187538
-28.0,50,41.642312
-50.0,50,43.126547
-50.0,50,44.617874
-28.0,50,46.124651
-28.0,50,47.628404
-50.0,50,49.167498
-39.0,50,50.708813
-50.0,50,52.241014
-39.0,50,53.780197
-39.0,50,55.34444
-50.0,50,56.910772
-50.0,50,58.491611
-28.0,50,60.099679
-28.0,50,60.276462
-28.0,50,60.451302
-39.0,50,60.636921
-28.0,50,60.828014
-39.0,50,61.010775
-50.0,50,61.18981
10.0,50,61.372106
-28.0,50,61.55054
-28.0,50,61.732334
-50.0,50,61.912765
-39.0,50,63.491695
-28.0,50,65.075323
-39.0,50,66.69692
-28.0,50,68.310871
-28.0,50,69.94886
-50.0,50,71.597749
-39.0,50,73.270333
-50.0,50,74.951356
-39.0,50,76.627096
-28.0,50,78.307195
-28.0,50,80.004128
-28.0,50,81.723704
-50.0,50,83.438954
-39.0,50,85.162453
-28.0,50,86.890897
-28.0,50,88.62738
-28.0,50,90.375327
-50.0,50,92.174595
-50.0,50,93.968179
-28.0,50,95.794093
-28.0,50,95.958311
-28.0,50,96.146794
-50.0,50,96.330448
-28.0,50,96.497195
-39.0,50,96.680002
-28.0,50,96.866493
7.0,50,97.047234
-28.0,50,97.227108
-39.0,50,97.412689
-39.0,50,97.591473
-28.0,50,99.393482
-39.0,50,101.209553
-28.0,50,103.037212
-39.0,50,104.874307
-39.0,50,106.710974
-39.0,50,108.549218
11.0,50,110.415612
-50.0,50,112.296973
-28.0,50,114.156282
-28.0,50,116.016557
-28.0,50,117.87452
-39.0,50,119.749516
-28.0,50,121.64508
-39.0,50,123.499064
-28.0,50,125.353457
-28.0,50,127.285303
-28.0,50,129.217472
-28.0,50,131.165116
-28.0,50,133.118118
-28.0,50,135.109009
-39.0,50,135.307457
-28.0,50,135.50491
-50.0,50,135.710063
