# {"t_start": 1587511274.5739973, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.43238
-50.0,50,3.585814
-50.0,50,4.634341
-50.0,50,5.735622
-39.0,50,6.816238
-39.0,50,7.908402
-50.0,50,8.964289
-50.0,50,10.075996
-50.0,50,11.213606
-50.0,50,12.395828
-50.0,50,13.636777
-50.0,50,14.853264
-50.0,50,16.079814
-50.0,50,17.286148
-39.0,50,18.477773
-50.0,50,19.7106
-50.0,50,21.049247
-50.0,50,22.343863
-50.0,50,23.624402
-50.0,50,25.047754
-28.0,50,26.46605
-50.0,50,27.836171
-50.0,50,29.185208
-50.0,50,30.518986
-39.0,50,31.923573
-50.0,50,33.273651
-50.0,50,34.703285
-50.0,50,36.095527
-39.0,50,37.482672
-28.0,50,38.899209
-39.0,50,40.340401
-28.0,50,41.781822
-39.0,50,43.297021
-28.0,50,44.785375
-28.0,50,46.456596
-50.0,50,47.942627
-28.0,50,49.452614
-50.0,50,51.01261
-28.0,50,52.611459
-50.0,50,54.15008
-28.0,50,55.663513
-28.0,50,57.155475
-28.0,50,58.696082
-39.0,50,60.226134
10.0,50,61.849636
-28.0,50,63.524451
-28.0,50,65.169147
-28.0,50,66.889267
-22.0,50,68.570264
-28.0,50,70.28499
7.0,50,72.010821
-28.0,50,72.22079
-28.0,50,72.411081
-28.0,50,72.604918
-28.0,50,72.808776
-28.0,50,73.010393
-28.0,50,73.195444
-28.0,50,73.447858
-28.0,50,73.679852
-28.0,50,73.864661
-28.0,50,74.077417
-39.0,50,75.955443
-28.0,50,77.743616
-28.0,50,79.677608
-28.0,50,81.495745
-28.0,50,83.228726
-28.0,50,84.952311
-28.0,50,86.862824
-28.0,50,88.68829
-28.0,50,90.687216
-28.0,50,92.568993
-28.0,50,94.291668
-28.0,50,96.032326
-28.0,50,97.9172
4.0,50,99.718184
-28.0,50,101.630231
-28.0,50,103.47429
-28.0,50,105.441214
-28.0,50,107.362294
-28.0,50,109.350775
-28.0,50,111.346444
-28.0,50,113.350324
-28.0,50,115.48803
-28.0,50,117.467216
-28.0,50,119.347608
-28.0,50,121.293221
-28.0,50,123.199461
-28.0,50,125.116171
-28.0,50,127.103043
-28.0,50,129.084244
-28.0,50,131.106348
-28.0,50,133.327397
-28.0,50,135.384791
-28.0,50,137.53931
-28.0,50,139.529521
-28.0,50,141.572449
-28.0,50,143.558795
-28.0,50,145.639262
-28.0,50,147.779335
-28.0,50,150.039562
-28.0,50,152.145444
-28.0,50,154.171411
-28.0,50,156.210453
-28.0,50,158.290204
-28.0,50,160.34159
-28.0,50,162.403272
-28.0,50,164.554402
-28.0,50,166.810145
-28.0,50,169.105263
