epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86147356,0.09928378,0.2005324,0.10233854,20.0,-2.8932612,0.05,100.0,0.01
1,0.8541216,0.10675764,0.22251274,0.13899016,40.0,-2.6501553,0.05,200.0,0.05
2,0.8509362,0.108435,0.23364194,0.14648387,60.0,-3.8364663,0.1,300.0,0.05
3,0.8489421,0.10887446,0.23977147,0.15020107,80.0,-4.596168,0.15,400.0,0.1
4,0.8486924,0.10996744,0.24278274,0.15188122,100.0,-4.963574,0.3,500.0,0.08
5,0.84725547,0.109510325,0.24526875,0.15314047,120.0,-4.346387,0.5,600.0,0.05
6,0.8464041,0.10997387,0.24584557,0.15402214,140.0,-6.223469,0.55,700.0,0.12
7,0.8469994,0.111783914,0.24792838,0.15461747,160.0,-6.036495,0.45,800.0,0.13
8,0.8465112,0.112340845,0.24883269,0.15547553,180.0,-4.493915,0.5,900.0,0.18
9,0.846992,0.11355207,0.25031927,0.15583815,200.0,-7.600522,0.4,1000.0,0.12
10,0.8474784,0.11340942,0.25118938,0.15682214,220.0,-5.9815335,0.5,1100.0,0.2
11,0.8473816,0.114358604,0.25131434,0.15650818,240.0,-3.4061737,0.8,1200.0,0.22
12,0.84712124,0.115233,0.25129277,0.15706737,260.0,-4.567613,0.7,1300.0,0.29
13,0.8467869,0.11650646,0.251895,0.15743361,280.0,-2.8588989,0.9,1400.0,0.21
14,0.8466137,0.11648307,0.25265262,0.15760538,300.0,-2.7486093,0.75,1500.0,0.32
15,0.84694,0.11644679,0.25295195,0.15717867,320.0,-3.0403016,0.85,1600.0,0.35
16,0.8465336,0.1178599,0.25330326,0.15784146,340.0,-3.3621514,0.85,1700.0,0.24
17,0.8465081,0.118797116,0.25349644,0.15750955,360.0,-3.2868538,0.95,1800.0,0.29
18,0.84674436,0.11927993,0.25398773,0.1579003,380.0,-2.0316284,0.95,1900.0,0.3
19,0.8467586,0.119425245,0.25403732,0.15736958,400.0,-0.7566523,0.9,2000.0,0.44
20,0.84673554,0.11935385,0.25416327,0.15754074,420.0,-1.2616991,1.0,2100.0,0.49
21,0.8472028,0.11890924,0.2542718,0.15724514,440.0,-1.4672729,0.9,2200.0,0.39
22,0.8472545,0.11903426,0.25422195,0.15755469,460.0,-0.8491545,1.0,2300.0,0.46
23,0.8474502,0.118566416,0.2544561,0.15741226,480.0,-0.92540944,0.9,2400.0,0.41
24,0.8477142,0.11872881,0.25473765,0.15772946,500.0,-0.7939185,0.9,2500.0,0.29
25,0.84778374,0.11832833,0.25499582,0.15770684,520.0,-0.30300862,1.0,2600.0,0.33
26,0.8480688,0.11833736,0.25504243,0.15774046,540.0,-0.9773153,0.95,2700.0,0.43
27,0.84816664,0.118276924,0.25504827,0.157869,560.0,-0.9923177,0.95,2800.0,0.46
28,0.8481856,0.1182172,0.25492352,0.15758573,580.0,-0.94071513,0.9,2900.0,0.42
29,0.8480942,0.11832417,0.2551642,0.15739995,600.0,-0.9812989,0.85,3000.0,0.47
30,0.8478363,0.11835289,0.25517613,0.15699084,620.0,-0.65343314,1.0,3100.0,0.42
31,0.8481465,0.11782404,0.2554774,0.15639591,640.0,-1.0523505,0.9,3200.0,0.49
32,0.8483661,0.1172283,0.25565863,0.15583418,660.0,-0.5477026,1.0,3300.0,0.5
33,0.848339,0.117248476,0.2557463,0.15561931,680.0,-0.4984757,1.0,3400.0,0.45
34,0.8485205,0.11706188,0.25597152,0.1555218,700.0,-0.7024201,0.9,3500.0,0.43
35,0.8483991,0.11710758,0.25598216,0.15537299,720.0,-0.8594796,1.0,3600.0,0.45
36,0.84834146,0.11719165,0.25584733,0.15504445,740.0,-0.86582994,0.85,3700.0,0.44
37,0.84865576,0.11746874,0.25599784,0.15506084,760.0,-0.622983,1.0,3800.0,0.45
38,0.8487854,0.11729624,0.25619718,0.1549918,780.0,-0.824926,0.95,3900.0,0.39
39,0.8488238,0.11714161,0.25641224,0.15476465,800.0,-0.7051155,1.0,4000.0,0.48
