epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.83545613,0.11556681,0.21937786,0.13899896,20.0,-1.8098423,0.05,100.0,0.04
1,0.83708245,0.115952395,0.23573655,0.15976022,40.0,-2.5882068,0.25,200.0,0.05
2,0.8394451,0.11967755,0.2452983,0.16408294,60.0,-3.588157,0.15,300.0,0.07
3,0.83963627,0.11720254,0.24689242,0.16195661,80.0,-4.8028955,0.25,400.0,0.06
4,0.84156066,0.11736826,0.25000018,0.16379192,100.0,-4.712915,0.25,500.0,0.18
5,0.84303695,0.11956597,0.25220558,0.16621195,120.0,-6.0220346,0.25,600.0,0.11
6,0.8432923,0.119998015,0.25322267,0.16591385,140.0,-4.4716344,0.6,700.0,0.17
7,0.8434169,0.1207607,0.2542791,0.16693658,160.0,-5.657136,0.65,800.0,0.18
8,0.8438117,0.12077767,0.25478142,0.16652371,180.0,-6.295045,0.5,900.0,0.21
9,0.8434581,0.12180561,0.25440624,0.16747016,200.0,-4.788172,0.65,1000.0,0.13
10,0.84329796,0.12227354,0.25425953,0.16726889,220.0,-7.6373873,0.45,1100.0,0.18
11,0.84301597,0.12242466,0.2544686,0.16748111,240.0,-5.5911684,0.65,1200.0,0.26
12,0.8427642,0.123722255,0.254694,0.16706397,260.0,-6.728751,0.55,1300.0,0.29
13,0.84222865,0.12457434,0.2547096,0.16806051,280.0,-5.5795317,0.65,1400.0,0.27
14,0.84190875,0.12569033,0.25507078,0.16850159,300.0,-3.0021267,0.65,1500.0,0.31
15,0.8418682,0.12684037,0.25490233,0.16908146,320.0,-1.340955,0.7,1600.0,0.26
16,0.84193254,0.12710811,0.25501728,0.16889706,340.0,-1.9306653,0.8,1700.0,0.35
17,0.8419736,0.12719314,0.25497758,0.1687023,360.0,-1.2647793,0.75,1800.0,0.3
18,0.842042,0.12708437,0.2552121,0.1692624,380.0,-0.76232666,0.9,1900.0,0.26
19,0.8422206,0.12737948,0.25526783,0.16905484,400.0,-1.2420132,0.95,2000.0,0.34
20,0.8419927,0.12779714,0.2550383,0.16978405,420.0,-1.2304189,0.7,2100.0,0.37
21,0.84251815,0.12739974,0.2554537,0.16970047,440.0,-3.020877,0.75,2200.0,0.37
22,0.8429168,0.12772648,0.25582045,0.16946231,460.0,-0.6658384,0.95,2300.0,0.39
23,0.84311277,0.12795483,0.25604934,0.16956131,480.0,-0.5918213,0.85,2400.0,0.31
24,0.8430867,0.12817305,0.25598744,0.1694433,500.0,-0.50640684,0.9,2500.0,0.37
25,0.8433941,0.12843518,0.25608552,0.16972893,520.0,-0.6958107,0.9,2600.0,0.44
26,0.8435123,0.12836632,0.2563329,0.16972215,540.0,-0.66255987,1.0,2700.0,0.43
27,0.8439973,0.12854046,0.25680873,0.1697434,560.0,-0.27290726,1.0,2800.0,0.37
28,0.8439264,0.12865077,0.2567154,0.1698704,580.0,-0.74962425,0.95,2900.0,0.36
29,0.8442369,0.12853672,0.25669593,0.16958612,600.0,-0.6178407,0.95,3000.0,0.47
30,0.8443737,0.12894592,0.25674626,0.16974713,620.0,-0.52732116,1.0,3100.0,0.37
31,0.8446519,0.12928171,0.25670642,0.16994452,640.0,-0.4078645,0.95,3200.0,0.35
32,0.8448486,0.12917903,0.25679302,0.17004879,660.0,-0.71459675,0.95,3300.0,0.37
33,0.8449915,0.12905018,0.25679633,0.16998339,680.0,-0.5218016,1.0,3400.0,0.41
34,0.8450324,0.12903254,0.25673664,0.17024557,700.0,-0.5934221,0.9,3500.0,0.51
35,0.84556276,0.1293387,0.2567672,0.17031233,720.0,-0.55889475,0.95,3600.0,0.34
36,0.8456781,0.1287849,0.2568525,0.1698609,740.0,-0.57971203,0.95,3700.0,0.46
37,0.84571713,0.12875284,0.25700518,0.16954814,760.0,-0.63434994,1.0,3800.0,0.5
38,0.8459148,0.12890892,0.2567795,0.16986467,780.0,-0.6341392,1.0,3900.0,0.44
39,0.8461178,0.12876306,0.25693145,0.16977054,800.0,-0.8633583,1.0,4000.0,0.37
