# {"t_start": 1587914284.4229717, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.457123
-50.0,50,3.635012
-50.0,50,4.726155
-50.0,50,5.879323
-50.0,50,7.072264
-50.0,50,8.378788
-50.0,50,9.508769
-50.0,50,10.661119
-50.0,50,11.882438
-50.0,50,13.132042
-28.0,50,14.363314
-50.0,50,15.58173
-50.0,50,16.849542
-39.0,50,18.142359
-50.0,50,19.449502
-50.0,50,20.784283
-39.0,50,22.16106
-50.0,50,23.518375
-12.0,50,24.997295
-39.0,50,26.278866
-28.0,50,27.649344
-39.0,50,29.067872
-50.0,50,30.451424
-50.0,50,31.874944
-28.0,50,33.286688
-28.0,50,34.770795
-28.0,50,36.193477
-39.0,50,37.713999
-28.0,50,39.252313
-1.0,50,40.790612
-28.0,50,42.305425
-28.0,50,43.801793
-50.0,50,45.321728
-28.0,50,46.86814
-39.0,50,48.429635
-28.0,50,50.013964
-28.0,50,51.613438
-28.0,50,53.262744
-28.0,50,55.014052
-28.0,50,56.745086
-28.0,50,58.452232
-50.0,50,60.154352
-28.0,50,61.764269
-28.0,50,63.42197
-28.0,50,65.107237
-28.0,50,66.868458
-28.0,50,68.657561
-28.0,50,70.351602
-28.0,50,72.221391
-28.0,50,73.979437
-28.0,50,75.838418
-28.0,50,76.048509
-28.0,50,76.252809
-28.0,50,76.469915
-28.0,50,76.656319
-3.0,50,76.863924
-28.0,50,77.077942
-28.0,50,77.281849
13.0,50,77.479636
-28.0,50,77.684663
-28.0,50,77.922013
-28.0,50,79.666514
-28.0,50,81.403468
-28.0,50,83.24698
-28.0,50,85.106525
-28.0,50,87.004376
-28.0,50,88.91608
7.0,50,90.757812
-28.0,50,92.601058
-28.0,50,94.437124
12.0,50,96.278251
-28.0,50,98.134704
-28.0,50,99.942874
-28.0,50,101.823147
-28.0,50,103.693849
-28.0,50,105.607711
-28.0,50,107.526984
-28.0,50,109.448966
-28.0,50,111.393849
-28.0,50,113.405954
-28.0,50,115.380131
-28.0,50,117.356509
-28.0,50,119.290494
-28.0,50,121.284057
-28.0,50,123.289914
-39.0,50,125.267365
-28.0,50,127.240439
14.0,50,129.278656
-28.0,50,131.319842
-28.0,50,133.367886
-28.0,50,135.431216
-28.0,50,137.462334
-28.0,50,139.530099
-28.0,50,141.63666
-28.0,50,143.740368
-28.0,50,145.836959
-28.0,50,147.928853
10.0,50,150.04241
-28.0,50,152.180025
-28.0,50,154.353013
-28.0,50,156.475163
-28.0,50,158.700879
-28.0,50,160.869158
-28.0,50,163.211098
-27.0,50,165.463963
-39.0,50,167.810083
-28.0,50,170.21097
-28.0,50,172.589475
-28.0,50,174.932176
-28.0,50,177.259108
3.0,50,179.54107
-28.0,50,179.741361
-28.0,50,179.915219
-28.0,50,180.090708
-28.0,50,180.269276
-28.0,50,180.455508
-3.0,50,180.66036
-28.0,50,180.852033
-28.0,50,181.043786
-7.0,50,181.252171
-28.0,50,181.439535
-14.0,50,183.703641
3.0,50,185.974933
9.0,50,188.354445
-28.0,50,190.835702
-28.0,50,193.25769
-28.0,50,195.642247
-28.0,50,198.078523
-28.0,50,200.596995
-28.0,50,203.014285
-28.0,50,205.466547
-28.0,50,207.889422
-28.0,50,210.39457
-2.0,50,212.886698
-28.0,50,215.405976
-28.0,50,217.878823
-28.0,50,220.394741
-28.0,50,222.947986
-28.0,50,225.376766
-28.0,50,227.820686
-28.0,50,230.42986
-28.0,50,233.009588
-28.0,50,235.596229
-28.0,50,238.062556
-2.0,50,240.472738
-27.0,50,243.050401
-28.0,50,245.730473
-39.0,50,248.259918
-28.0,50,250.760507
-28.0,50,253.302484
-28.0,50,255.885925
-28.0,50,258.648705
-28.0,50,261.299695
-28.0,50,263.945357
-28.0,50,266.695975
-28.0,50,269.323422
-28.0,50,271.952462
-28.0,50,274.658348
-7.0,50,277.279227
-28.0,50,279.918782
-28.0,50,282.623137
-28.0,50,285.350559
-28.0,50,287.960059
-28.0,50,290.633566
-28.0,50,293.378457
-28.0,50,296.100396
-24.0,50,298.844312
-28.0,50,301.637146
-28.0,50,304.533
-13.0,50,307.371772
-28.0,50,310.244315
-28.0,50,310.427585
-28.0,50,310.630429
-28.0,50,310.846514
11.0,50,311.044377
-28.0,50,311.248023
-28.0,50,311.450497
-28.0,50,311.682382
-28.0,50,311.898072
4.0,50,312.116795
-28.0,50,312.312077
-28.0,50,314.99069
-28.0,50,317.87219
-28.0,50,320.80079
-26.0,50,323.602857
-28.0,50,326.442354
-28.0,50,329.324213
-28.0,50,332.170057
-28.0,50,334.982986
-28.0,50,337.797923
-28.0,50,340.581687
-26.0,50,343.427833
-28.0,50,346.281411
-28.0,50,349.215702
-28.0,50,352.038867
-21.0,50,354.979628
-28.0,50,358.07112
-28.0,50,361.018521
-28.0,50,364.008866
-28.0,50,366.983731
7.0,50,369.975352
-28.0,50,372.966558
-28.0,50,376.0819
-28.0,50,379.109879
-28.0,50,381.989962
-28.0,50,384.876275
-28.0,50,387.80222
-28.0,50,390.737638
-28.0,50,393.675509
-28.0,50,396.777145
-28.0,50,399.848087
-28.0,50,402.930487
-28.0,50,405.965017
-28.0,50,409.048413
-28.0,50,412.244065
-28.0,50,415.310961
-28.0,50,418.560245
-28.0,50,421.716319
-28.0,50,424.754237
-28.0,50,427.817152
-28.0,50,430.85969
-28.0,50,433.961336
-28.0,50,437.202874
-28.0,50,440.444821
12.0,50,443.780923
-28.0,50,447.00612
-10.0,50,450.155683
-28.0,50,453.305174
7.0,50,456.66136
-28.0,50,459.956935
-25.0,50,463.279554
12.0,50,463.505266
-28.0,50,463.720124
12.0,50,463.941441
12.0,50,464.150202
-24.0,50,464.351346
-28.0,50,464.558555
-28.0,50,464.786313
-24.0,50,465.00615
-28.0,50,465.265296
-28.0,50,465.472867
-28.0,50,468.804643
-28.0,50,472.084868
-28.0,50,475.358745
6.0,50,478.60042
-28.0,50,481.80827
-12.0,50,484.98261
5.0,50,488.184121
