epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86037654,0.1027703,0.21556376,0.12630883,20.0,-1.6694711,0.0,40.0,0.0
1,0.8596494,0.09482648,0.21183562,0.1374742,40.0,-2.4672685,0.0,80.0,0.0
2,0.8544894,0.101355575,0.2097249,0.14299376,60.0,-2.9325829,0.0,120.0,0.0
3,0.8542358,0.097806424,0.20974651,0.13955952,80.0,-2.9928558,0.1,160.0,0.0
4,0.85104185,0.10149277,0.21170153,0.14283668,100.0,-3.3688323,0.25,200.0,0.0
5,0.84428215,0.11564786,0.2108964,0.15107757,120.0,-3.3982773,0.3,240.0,0.0
6,0.838969,0.12569118,0.21011709,0.15726727,140.0,-4.1885347,0.15,280.0,0.0
7,0.83555084,0.12901716,0.20904931,0.16065794,160.0,-5.213362,0.05,320.0,0.025
8,0.8281118,0.1421438,0.20746438,0.16925618,180.0,-4.296976,0.0,360.0,0.05
9,0.828944,0.14519131,0.2073778,0.17413425,200.0,-5.6846056,0.15,400.0,0.05
10,0.8254301,0.15341645,0.20515457,0.17861201,220.0,-4.8409986,0.15,440.0,0.025
11,0.8227489,0.16140349,0.20447971,0.18190329,240.0,-6.143812,0.0,480.0,0.025
12,0.8252347,0.16709645,0.2049153,0.18361351,260.0,-5.2523394,0.0,520.0,0.025
13,0.82295066,0.17166145,0.20382322,0.18700852,280.0,-5.089573,0.0,560.0,0.05
14,0.8202074,0.17630492,0.20241132,0.19176672,300.0,-6.5101357,0.05,600.0,0.0
15,0.8161927,0.18100424,0.20149404,0.19328426,320.0,-5.238287,0.0,640.0,0.0
16,0.8116854,0.18546636,0.20054267,0.1945,340.0,-6.1536446,0.0,680.0,0.025
17,0.8079345,0.19102238,0.19894992,0.19595924,360.0,-6.1712213,0.0,720.0,0.0
18,0.80572844,0.19503413,0.19808337,0.19754115,380.0,-7.340621,0.0,760.0,0.0
19,0.8049052,0.19747394,0.19761753,0.19847676,400.0,-8.329196,0.0,800.0,0.0
20,0.8037599,0.19972526,0.19714004,0.19987842,420.0,-7.8957405,0.0,840.0,0.0
21,0.804365,0.20074928,0.19711255,0.20156908,440.0,-7.388134,0.05,880.0,0.025
22,0.8018827,0.2022893,0.19638918,0.20165764,460.0,-8.986699,0.05,920.0,0.05
23,0.80156654,0.20373611,0.1962793,0.20322694,480.0,-7.0962133,0.0,960.0,0.0
24,0.8014212,0.20626704,0.19619626,0.20468624,500.0,-8.803965,0.0,1000.0,0.0
25,0.80112547,0.20768589,0.1961595,0.20576039,520.0,-9.041865,0.0,1040.0,0.025
26,0.80106163,0.20881836,0.19626172,0.20663267,540.0,-8.290949,0.0,1080.0,0.0
27,0.8005739,0.21001936,0.19612278,0.20720123,560.0,-8.471023,0.05,1120.0,0.0
28,0.7993277,0.21207298,0.19557668,0.20756401,580.0,-8.847907,0.0,1160.0,0.0
29,0.7993311,0.21316713,0.19542657,0.20788337,600.0,-9.08838,0.0,1200.0,0.0
30,0.7985783,0.21432203,0.19506472,0.20838574,620.0,-11.563076,0.0,1240.0,0.025
31,0.7987006,0.21511753,0.19518375,0.2087899,640.0,-8.978324,0.0,1280.0,0.025
32,0.7990157,0.21523154,0.19530645,0.20880215,660.0,-12.110254,0.0,1320.0,0.0
33,0.7986601,0.21591018,0.19533287,0.20939463,680.0,-10.722527,0.0,1360.0,0.0
34,0.7992087,0.21638387,0.19566515,0.20969707,700.0,-11.344317,0.0,1400.0,0.05
35,0.79818535,0.21768212,0.19540574,0.21004018,720.0,-8.090614,0.0,1440.0,0.0
36,0.79767776,0.21849166,0.19555545,0.21058218,740.0,-10.633125,0.0,1480.0,0.025
37,0.7962181,0.21960528,0.19538091,0.2108359,760.0,-8.694848,0.0,1520.0,0.0
38,0.7947047,0.22056699,0.1950174,0.2109936,780.0,-9.10193,0.05,1560.0,0.025
39,0.7944603,0.22097142,0.19512407,0.21128038,800.0,-10.406576,0.05,1600.0,0.0
40,0.7945852,0.22121632,0.19537011,0.21115544,820.0,-9.568202,0.05,1640.0,0.0
41,0.79418284,0.22167768,0.19536826,0.21141966,840.0,-9.761364,0.05,1680.0,0.0
42,0.79417366,0.22167234,0.19561908,0.21189028,860.0,-13.095593,0.0,1720.0,0.0
43,0.7933311,0.22255337,0.19522527,0.21237294,880.0,-11.117721,0.0,1760.0,0.025
44,0.7931521,0.22289896,0.1953082,0.21293622,900.0,-11.031737,0.0,1800.0,0.0
45,0.7928001,0.22347482,0.1953253,0.21322092,920.0,-10.779002,0.1,1840.0,0.0
46,0.7927583,0.22341235,0.19513386,0.21319841,940.0,-10.774927,0.1,1880.0,0.025
47,0.79366595,0.223724,0.19537036,0.21325803,960.0,-14.924266,0.0,1920.0,0.0
48,0.7931604,0.22425574,0.1953663,0.21362099,980.0,-12.74375,0.0,1960.0,0.0
49,0.7940392,0.22481364,0.19588678,0.21386899,1000.0,-16.080929,0.0,2000.0,0.0
50,0.79392695,0.22510286,0.19584857,0.21434332,1020.0,-11.764731,0.0,2040.0,0.025
51,0.7941535,0.22560412,0.19601709,0.21454102,1040.0,-10.63597,0.1,2080.0,0.0
52,0.79384536,0.22591583,0.19584511,0.21465486,1060.0,-11.374079,0.0,2120.0,0.025
53,0.79336476,0.22597714,0.19572832,0.21486084,1080.0,-10.475236,0.2,2160.0,0.0
54,0.7928942,0.22652483,0.19562286,0.21511981,1100.0,-12.946399,0.0,2200.0,0.05
55,0.7921674,0.22753917,0.19546556,0.21553327,1120.0,-12.126471,0.0,2240.0,0.0
56,0.7905126,0.22835374,0.19496411,0.21579862,1140.0,-11.429233,0.0,2280.0,0.0
57,0.78968316,0.22872324,0.19457954,0.2161629,1160.0,-12.226459,0.0,2320.0,0.0
58,0.78832084,0.22939353,0.19414856,0.21634254,1180.0,-12.852715,0.0,2360.0,0.0
59,0.7885106,0.22957782,0.19422174,0.21615556,1200.0,-12.89876,0.05,2400.0,0.0
60,0.7884791,0.22971594,0.19416462,0.21642771,1220.0,-6.952273,0.0,2440.0,0.025
