epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85903454,0.09607464,0.19878218,0.07757176,20.0,-2.733008,0.0,100.0,0.0
1,0.84447306,0.1124124,0.20293985,0.119559295,40.0,-2.2569895,0.15,200.0,0.01
2,0.83863324,0.1174893,0.20616902,0.14340672,60.0,-3.1198962,0.3,300.0,0.04
3,0.8396757,0.12386409,0.20627896,0.15823612,80.0,-3.3608902,0.3,400.0,0.05
4,0.83754283,0.126531,0.20572884,0.1675225,100.0,-2.1466196,0.3,500.0,0.03
5,0.8360312,0.12623641,0.20600547,0.17083775,120.0,-2.5841188,0.15,600.0,0.04
6,0.83666855,0.12761785,0.2055758,0.17444436,140.0,-2.6824486,0.35,700.0,0.01
7,0.83588886,0.12752937,0.2052256,0.17622072,160.0,-2.8121216,0.35,800.0,0.04
8,0.8336622,0.12901248,0.20592968,0.17878848,180.0,-3.1111925,0.45,900.0,0.05
9,0.83245134,0.13020426,0.20613329,0.17998545,200.0,-3.375074,0.25,1000.0,0.03
10,0.830946,0.13089983,0.2067299,0.1809934,220.0,-4.7773695,0.2,1100.0,0.07
11,0.83028173,0.13235691,0.2065762,0.181972,240.0,-5.612534,0.45,1200.0,0.02
12,0.82957196,0.13486199,0.20637569,0.18332568,260.0,-5.09023,0.25,1300.0,0.01
13,0.8300736,0.1352053,0.20664604,0.18490662,280.0,-3.8194141,0.55,1400.0,0.02
14,0.82961726,0.13562511,0.20656641,0.18564107,300.0,-4.688383,0.4,1500.0,0.05
15,0.8287749,0.13687597,0.2065431,0.18642567,320.0,-5.5051875,0.4,1600.0,0.01
16,0.82882196,0.13739471,0.20703317,0.18748471,340.0,-3.1128318,0.6,1700.0,0.03
17,0.82801104,0.13807987,0.20681936,0.18814176,360.0,-4.3579507,0.55,1800.0,0.04
18,0.8277053,0.13874759,0.20675884,0.18957447,380.0,-2.1214762,0.6,1900.0,0.01
19,0.8280727,0.13919203,0.20667188,0.19046496,400.0,-5.0675054,0.2,2000.0,0.02
20,0.8279266,0.13992877,0.206682,0.19136551,420.0,-3.3493705,0.65,2100.0,0.0
21,0.8275307,0.13990434,0.20652698,0.19139968,440.0,-2.0237913,0.5,2200.0,0.01
22,0.82692957,0.14070041,0.20657483,0.19194342,460.0,-1.9243844,0.65,2300.0,0.0
23,0.8263638,0.14089924,0.2064969,0.19237262,480.0,-2.4521203,0.4,2400.0,0.01
24,0.8258411,0.14175157,0.2064187,0.19256231,500.0,-3.6735854,0.3,2500.0,0.01
25,0.8252031,0.14242108,0.20622784,0.19318403,520.0,-3.6677976,0.35,2600.0,0.01
26,0.82491636,0.1425743,0.20622121,0.19336183,540.0,-5.5323215,0.55,2700.0,0.01
27,0.8250361,0.14254718,0.20654155,0.19325279,560.0,-2.7455745,0.7,2800.0,0.02
28,0.82463163,0.14292645,0.20658018,0.19353679,580.0,-1.7216429,0.45,2900.0,0.04
29,0.8245234,0.1430362,0.2067216,0.19353892,600.0,-2.2618752,0.45,3000.0,0.03
30,0.824749,0.14356863,0.20694008,0.19404155,620.0,-2.1280234,0.45,3100.0,0.02
31,0.82493013,0.14320393,0.20717366,0.19375636,640.0,-2.063956,0.5,3200.0,0.0
32,0.82499766,0.14337584,0.20707287,0.19374071,660.0,-4.8523436,0.45,3300.0,0.0
33,0.82504517,0.14320272,0.20703901,0.19385614,680.0,-1.3835268,0.55,3400.0,0.05
34,0.82499903,0.1431483,0.20711794,0.1937247,700.0,-1.2070767,0.5,3500.0,0.03
35,0.8251179,0.1429332,0.20724496,0.1938621,720.0,-0.8441752,0.75,3600.0,0.03
36,0.82483333,0.14323357,0.20714593,0.19398354,740.0,-0.9399578,0.9,3700.0,0.03
37,0.8244706,0.14311232,0.20699349,0.19379367,760.0,-3.2713165,0.55,3800.0,0.01
38,0.824889,0.1428444,0.20725363,0.19336106,780.0,-5.2062,0.4,3900.0,0.03
39,0.8250907,0.14260162,0.20746057,0.1933262,800.0,-5.1248035,0.45,4000.0,0.05
