# {"t_start": 1586767920.2900805, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.074128
-50.0,50,3.096328
-50.0,50,4.033655
-50.0,50,4.989396
-50.0,50,5.950502
-50.0,50,6.926086
-50.0,50,7.919009
-50.0,50,8.919693
-50.0,50,9.937838
-50.0,50,10.970341
-50.0,50,12.025954
-50.0,50,13.109198
-50.0,50,14.208945
-50.0,50,15.315222
-50.0,50,16.409989
-50.0,50,17.522258
-50.0,50,18.642225
-50.0,50,19.788013
-50.0,50,20.948263
-50.0,50,22.129069
-50.0,50,23.316513
-50.0,50,24.514571
-44.0,50,25.724264
-44.0,50,26.987883
-50.0,50,28.219442
-50.0,50,29.496439
-50.0,50,30.750673
-44.0,50,31.949949
-44.0,50,33.183526
-50.0,50,34.436025
-44.0,50,35.693413
-50.0,50,36.955125
-50.0,50,38.241312
-50.0,50,39.529357
-38.0,50,40.840791
-44.0,50,42.166523
-50.0,50,43.503131
-50.0,50,44.854607
-50.0,50,46.21876
-50.0,50,47.591344
-38.0,50,48.985454
-38.0,50,50.397778
-50.0,50,51.824836
-38.0,50,53.265458
-38.0,50,54.706573
-38.0,50,56.165649
-50.0,50,57.632674
-38.0,50,59.114076
-38.0,50,60.608491
-38.0,50,62.117569
-50.0,50,63.655199
-38.0,50,63.810408
-38.0,50,63.983288
-38.0,50,64.1574
-50.0,50,64.323357
-38.0,50,64.49035
-50.0,50,64.636624
-44.0,50,64.810382
-50.0,50,64.97862
-50.0,50,65.12585
-50.0,50,65.318142
-38.0,50,66.847891
-50.0,50,68.385987
-38.0,50,69.937682
-44.0,50,71.492043
-50.0,50,73.059472
-50.0,50,74.646025
-50.0,50,76.231631
-50.0,50,77.827245
-38.0,50,79.43891
-38.0,50,81.057734
-50.0,50,82.664797
-44.0,50,84.354502
-38.0,50,86.003094
-44.0,50,87.669945
-50.0,50,89.341526
-38.0,50,91.016378
-50.0,50,92.695955
-44.0,50,94.398801
-50.0,50,96.101246
-38.0,50,97.830756
-38.0,50,99.557946
-50.0,50,101.274814
-44.0,50,103.016026
-38.0,50,104.760205
-38.0,50,106.518636
-29.0,50,108.290834
-38.0,50,110.070288
-44.0,50,111.841564
-44.0,50,113.645462
-44.0,50,115.468394
