# {"t_start": 1586357227.491032, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.052464
-44.0,50,4.22389
-44.0,50,5.307713
-44.0,50,6.485639
-44.0,50,7.610367
-44.0,50,8.753783
-44.0,50,9.89463
-38.0,50,11.038647
-44.0,50,12.270839
-44.0,50,13.53688
-44.0,50,14.807764
-44.0,50,16.021506
-44.0,50,17.248369
-44.0,50,18.429702
-38.0,50,19.728791
-44.0,50,21.099851
-44.0,50,22.397144
-44.0,50,23.647527
-44.0,50,25.012824
-44.0,50,26.228553
-44.0,50,27.534672
-44.0,50,27.709804
-44.0,50,27.886206
-50.0,50,28.059057
-50.0,50,28.234454
-38.0,50,28.418328
-44.0,50,28.605206
-44.0,50,28.77633
-44.0,50,28.966305
-44.0,50,29.157556
-44.0,50,29.369628
-44.0,50,30.555581
-44.0,50,31.800546
-38.0,50,33.034887
-38.0,50,34.31741
-44.0,50,35.569712
-44.0,50,36.843228
-44.0,50,38.117214
-38.0,50,39.363657
-44.0,50,40.585188
-44.0,50,41.863239
-44.0,50,43.166641
-50.0,50,44.693365
-44.0,50,46.051499
-44.0,50,47.506712
-44.0,50,48.851008
-44.0,50,50.171621
-38.0,50,51.602504
-44.0,50,53.01307
-44.0,50,54.309828
-50.0,50,55.790673
-50.0,50,56.013824
-50.0,50,56.232963
-50.0,50,56.452338
-50.0,50,56.651709
-44.0,50,56.839985
-44.0,50,57.019242
-50.0,50,57.216202
-44.0,50,57.417789
-44.0,50,57.615839
-44.0,50,57.781773
-44.0,50,59.132047
-44.0,50,60.62038
-44.0,50,62.072594
-44.0,50,63.33686
-44.0,50,64.589077
-50.0,50,65.796346
-50.0,50,67.002801
-50.0,50,68.20929
-44.0,50,69.425258
-44.0,50,70.773886
-50.0,50,72.117353
-44.0,50,73.411289
-50.0,50,74.704269
-50.0,50,76.009501
-50.0,50,77.348285
-50.0,50,78.651392
-44.0,50,80.053586
-50.0,50,81.446285
-50.0,50,82.808025
-50.0,50,84.132631
-50.0,50,84.316564
-50.0,50,84.501392
-50.0,50,84.685197
-50.0,50,84.870958
-50.0,50,85.03909
-50.0,50,85.234446
-50.0,50,85.418291
-50.0,50,85.597212
-50.0,50,85.770724
-50.0,50,85.959735
-44.0,50,87.279031
-50.0,50,88.588921
-50.0,50,89.923807
-50.0,50,91.276184
-44.0,50,92.549789
-50.0,50,93.960915
-50.0,50,95.423326
-50.0,50,96.805658
-50.0,50,98.188207
-50.0,50,99.55651
-50.0,50,100.942993
-50.0,50,102.344444
-50.0,50,103.752242
-50.0,50,105.143683
-50.0,50,106.54848
-50.0,50,107.956559
-50.0,50,109.359818
-50.0,50,110.663188
-50.0,50,112.047082
-50.0,50,113.432858
-50.0,50,113.623796
-50.0,50,113.805843
-44.0,50,114.018578
-50.0,50,114.222036
-50.0,50,114.418939
-50.0,50,114.615527
-50.0,50,114.815856
-50.0,50,115.004615
-50.0,50,115.232351
-44.0,50,115.434846
-50.0,50,116.845271
-50.0,50,118.265428
-44.0,50,119.732664
-50.0,50,121.124992
-50.0,50,122.496049
-50.0,50,123.853791
-50.0,50,125.1998
-50.0,50,126.582197
-50.0,50,127.994898
-50.0,50,129.379883
-50.0,50,130.776073
-50.0,50,132.177234
-50.0,50,133.563458
-50.0,50,134.944185
-50.0,50,136.356995
-50.0,50,137.839896
-50.0,50,139.238596
-50.0,50,140.652678
-50.0,50,142.06918
-50.0,50,143.555167
-50.0,50,143.738677
-50.0,50,143.932453
-50.0,50,144.115361
-50.0,50,144.297733
-50.0,50,144.482099
-50.0,50,144.654055
-50.0,50,144.841615
-50.0,50,145.028039
-50.0,50,145.203858
-50.0,50,145.397571
-50.0,50,146.884819
-50.0,50,148.450851
-50.0,50,149.994781
-50.0,50,151.399401
-50.0,50,152.960064
-50.0,50,154.541178
-50.0,50,156.055688
-50.0,50,157.531268
-50.0,50,159.089619
-50.0,50,160.635796
-50.0,50,162.179295
-50.0,50,163.874116
-50.0,50,165.399842
-50.0,50,167.042511
-50.0,50,168.493586
-50.0,50,169.941627
-50.0,50,171.375262
-50.0,50,172.907287
-50.0,50,174.417897
-50.0,50,175.915441
-50.0,50,176.083225
-50.0,50,176.2615
-50.0,50,176.447199
-50.0,50,176.627498
-50.0,50,176.810683
-50.0,50,176.992886
-50.0,50,177.167623
-50.0,50,177.345892
-50.0,50,177.535257
-50.0,50,177.714347
-50.0,50,179.214759
-50.0,50,180.666876
-50.0,50,182.098612
-50.0,50,183.550973
-50.0,50,184.996063
