epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.858069,0.10070201,0.24007145,0.096886426,20.0,-1.4639066,0.0,40.0,0.0
1,0.8566875,0.09752082,0.23647796,0.09653706,40.0,-0.7403189,0.0,80.0,0.0
2,0.86034745,0.09424927,0.23192249,0.09360817,60.0,-0.30589503,0.0,120.0,0.0
3,0.8693498,0.1092942,0.22670372,0.095528446,80.0,-0.24008818,0.0,160.0,0.0
4,0.87854177,0.12262678,0.22215451,0.096408024,100.0,-0.23697774,0.0,200.0,0.0
5,0.8858385,0.12676337,0.21848115,0.09543683,120.0,-0.30908084,0.0,240.0,0.0
6,0.89181185,0.12720418,0.21587229,0.093622096,140.0,-0.27881557,0.0,280.0,0.0
7,0.8965135,0.12668528,0.21407193,0.09162479,160.0,-0.10565747,0.0,320.0,0.0
8,0.89881355,0.12689805,0.2123937,0.09002524,180.0,-0.33853012,0.0,360.0,0.0
9,0.8993104,0.12726562,0.21135749,0.08921027,200.0,-0.16651185,0.0,400.0,0.0
10,0.8995786,0.12870486,0.21015733,0.08814575,220.0,-0.2640145,0.0,440.0,0.0
11,0.89859444,0.13289142,0.20941798,0.08843934,240.0,-0.0732655,0.0,480.0,0.0
12,0.8999546,0.13462389,0.2086294,0.08759381,260.0,-0.18072796,0.0,520.0,0.0
13,0.8994377,0.13439316,0.20763403,0.086216725,280.0,-0.41696715,0.0,560.0,0.0
14,0.8973315,0.13558234,0.20730041,0.08712406,300.0,-0.19550942,0.0,600.0,0.025
