# {"t_start": 1586331203.6480823, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.741921
-44.0,50,3.934127
-44.0,50,5.056659
-50.0,50,6.164312
-38.0,50,7.305457
-38.0,50,8.444872
-44.0,50,9.591043
-44.0,50,10.71974
-38.0,50,11.851324
-38.0,50,13.001564
-38.0,50,14.15115
-44.0,50,15.305408
-38.0,50,16.4617
-44.0,50,17.631715
-44.0,50,18.777542
-38.0,50,19.929677
10.0,50,21.109599
-44.0,50,22.282934
-44.0,50,23.459096
-44.0,50,24.651696
-38.0,50,25.876969
-38.0,50,26.069155
-38.0,50,26.248554
-44.0,50,26.424712
-38.0,50,26.595062
-44.0,50,26.768645
-38.0,50,26.952941
-38.0,50,27.141713
-44.0,50,27.318
-38.0,50,27.500038
-38.0,50,27.716404
-38.0,50,28.91532
-44.0,50,30.105465
-38.0,50,31.291154
-38.0,50,32.410494
-38.0,50,33.520615
-38.0,50,34.646829
-44.0,50,35.774343
-44.0,50,36.900095
-38.0,50,38.103226
-38.0,50,39.326951
-44.0,50,40.543811
-38.0,50,41.747075
-38.0,50,43.036576
-38.0,50,44.257456
-38.0,50,45.489009
-38.0,50,46.635325
-12.0,50,47.787108
-38.0,50,48.949963
-38.0,50,50.192978
-38.0,50,51.43859
-38.0,50,51.61959
-38.0,50,51.800533
-38.0,50,51.969841
-6.0,50,52.142745
-38.0,50,52.31857
-44.0,50,52.491876
-38.0,50,52.655766
-10.0,50,52.823922
-38.0,50,52.998457
-38.0,50,53.171064
-38.0,50,54.425338
-44.0,50,55.689476
-44.0,50,56.951756
-38.0,50,58.221077
-44.0,50,59.47061
-44.0,50,60.745709
-38.0,50,61.999282
-38.0,50,63.238426
-38.0,50,64.492909
-44.0,50,65.765179
-38.0,50,67.00727
-38.0,50,68.288443
-38.0,50,69.571639
-38.0,50,70.863962
-38.0,50,72.132616
-44.0,50,73.429504
-38.0,50,74.727545
-38.0,50,76.007263
-38.0,50,77.284306
-38.0,50,78.571384
-38.0,50,78.748561
-38.0,50,78.9261
-38.0,50,79.106782
-44.0,50,79.291738
-38.0,50,79.47197
-38.0,50,79.652342
-38.0,50,79.824748
-44.0,50,80.013306
-38.0,50,80.189666
-38.0,50,80.362515
-38.0,50,81.640239
-38.0,50,82.90788
-38.0,50,84.221297
-38.0,50,85.553077
-38.0,50,86.866787
