epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8498166,0.10093499,0.23484388,0.13740398,20.0,-0.87428063,0.0,40.0,0.025
1,0.85126275,0.10381044,0.23420024,0.13922879,40.0,-1.665164,0.0,80.0,0.0
2,0.84702015,0.10466969,0.23524195,0.14447677,60.0,-2.8130887,0.0,120.0,0.0
3,0.84662277,0.11037443,0.24030477,0.14775555,80.0,-2.886836,0.0,160.0,0.0
4,0.84793717,0.115171015,0.24431965,0.14973663,100.0,-3.6493402,0.0,200.0,0.025
5,0.84695464,0.119520485,0.24614657,0.15264231,120.0,-4.055346,0.0,240.0,0.0
6,0.84746915,0.1185968,0.24909776,0.15049914,140.0,-4.7252393,0.05,280.0,0.0
7,0.84860545,0.11719138,0.25111854,0.14898108,160.0,-4.8505034,0.0,320.0,0.0
8,0.8478401,0.1171706,0.2520968,0.14962551,180.0,-5.714986,0.05,360.0,0.0
9,0.84797716,0.11669596,0.25345674,0.14863826,200.0,-6.677928,0.05,400.0,0.0
10,0.8439445,0.12288449,0.2530401,0.15022972,220.0,-5.4461355,0.0,440.0,0.0
11,0.84331894,0.12429148,0.2528161,0.15055653,240.0,-7.0709114,0.05,480.0,0.0
12,0.8435152,0.12693794,0.25402564,0.15279216,260.0,-7.597253,0.0,520.0,0.05
13,0.8435293,0.13004975,0.25443804,0.15300852,280.0,-8.606485,0.0,560.0,0.025
14,0.84292144,0.1307637,0.2554419,0.15353599,300.0,-9.203293,0.0,600.0,0.0
15,0.84250754,0.13118209,0.25603527,0.15534337,320.0,-7.7714553,0.0,640.0,0.0
16,0.84166527,0.13189717,0.2563964,0.15650159,340.0,-9.225562,0.1,680.0,0.0
17,0.83927125,0.13437282,0.25631163,0.15928182,360.0,-9.595177,0.05,720.0,0.0
18,0.8392567,0.13445397,0.25677297,0.1621279,380.0,-10.489184,0.05,760.0,0.025
19,0.8391418,0.13453117,0.256649,0.16295446,400.0,-10.335307,0.1,800.0,0.025
20,0.8400064,0.13338535,0.2569132,0.16383721,420.0,-11.477907,0.0,840.0,0.0
21,0.84014773,0.13358347,0.256762,0.16657732,440.0,-11.18616,0.0,880.0,0.025
22,0.84054536,0.13230263,0.2571398,0.16797099,460.0,-12.229216,0.0,920.0,0.025
23,0.8408573,0.13212855,0.2575256,0.16827647,480.0,-11.2975,0.0,960.0,0.05
24,0.8412265,0.13189305,0.2581026,0.16929919,500.0,-13.170511,0.0,1000.0,0.05
25,0.8410654,0.1313778,0.2585814,0.17092384,520.0,-12.312978,0.05,1040.0,0.025
26,0.84114766,0.13133466,0.258746,0.17170896,540.0,-14.228328,0.0,1080.0,0.05
27,0.8411811,0.13098592,0.2584263,0.17236088,560.0,-14.87782,0.0,1120.0,0.025
28,0.84128445,0.13188158,0.25872135,0.17279159,580.0,-13.7990465,0.05,1160.0,0.025
29,0.84152675,0.13192886,0.25850803,0.17285487,600.0,-13.230324,0.0,1200.0,0.0
30,0.8419774,0.13183114,0.2586279,0.17316526,620.0,-14.685667,0.0,1240.0,0.075
31,0.84181076,0.13194774,0.25840005,0.17350838,640.0,-15.114294,0.0,1280.0,0.075
32,0.8421771,0.13120228,0.25839904,0.17391898,660.0,-16.20695,0.0,1320.0,0.025
