# {"t_start": 1586354500.513142, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.277327
-50.0,50,3.254519
-50.0,50,4.145394
-50.0,50,5.125699
-50.0,50,6.358553
-50.0,50,7.637879
-50.0,50,8.899323
-50.0,50,10.099844
-50.0,50,11.258002
-50.0,50,12.384381
-50.0,50,13.537438
-50.0,50,14.652374
-50.0,50,15.80511
-50.0,50,17.055177
-50.0,50,18.214003
-50.0,50,19.419655
-50.0,50,20.555517
-50.0,50,21.757051
-50.0,50,22.919497
-50.0,50,24.142017
-50.0,50,25.332347
-50.0,50,26.579597
-50.0,50,27.752213
-50.0,50,28.950289
-50.0,50,30.183053
-50.0,50,31.412496
-50.0,50,32.670569
-50.0,50,33.932657
-50.0,50,35.179449
-50.0,50,36.432624
-50.0,50,37.719482
-50.0,50,38.999042
-50.0,50,40.327843
-50.0,50,41.625276
-50.0,50,42.951921
-50.0,50,44.326335
-50.0,50,45.64555
-50.0,50,46.987948
-50.0,50,48.35325
-44.0,50,49.63632
-50.0,50,50.977725
-50.0,50,52.367668
-50.0,50,53.673345
-50.0,50,55.000553
-50.0,50,56.337723
-50.0,50,57.777248
-50.0,50,59.178638
-50.0,50,60.552855
-50.0,50,61.819972
-50.0,50,63.365772
-50.0,50,64.85546
-50.0,50,65.101403
-50.0,50,65.313227
-50.0,50,65.584443
-50.0,50,65.79947
-50.0,50,66.051289
-50.0,50,66.295927
-50.0,50,66.518042
-50.0,50,66.750979
-50.0,50,67.02229
-50.0,50,67.326699
-50.0,50,68.880994
-50.0,50,70.440563
-50.0,50,71.913913
-50.0,50,73.414444
-50.0,50,74.856806
-50.0,50,76.281694
-50.0,50,77.746831
-50.0,50,79.22332
-50.0,50,80.697279
-50.0,50,82.173118
-50.0,50,83.630329
-50.0,50,85.077843
-44.0,50,86.554147
-50.0,50,87.996716
-50.0,50,89.45411
-50.0,50,90.99707
-50.0,50,92.492166
-50.0,50,93.943235
-50.0,50,95.438524
-50.0,50,96.89565
-50.0,50,98.323643
-50.0,50,99.896057
-44.0,50,101.378333
-50.0,50,103.004115
-50.0,50,104.510329
-50.0,50,106.053802
-50.0,50,107.531184
-50.0,50,109.096623
-50.0,50,110.670187
-50.0,50,112.163439
-44.0,50,113.675486
-50.0,50,115.267079
-50.0,50,116.921943
-50.0,50,118.514419
-50.0,50,120.098553
-50.0,50,121.698549
-50.0,50,123.348056
-50.0,50,124.88703
-50.0,50,126.490273
-50.0,50,128.09417
-50.0,50,129.648162
-50.0,50,131.236135
-50.0,50,132.869486
-50.0,50,134.449283
-50.0,50,136.133698
-50.0,50,137.778796
-50.0,50,139.453488
-50.0,50,141.130422
-50.0,50,142.804283
-50.0,50,144.473731
-50.0,50,144.7052
-50.0,50,144.937192
-50.0,50,145.161943
-50.0,50,145.38283
-50.0,50,145.622165
-50.0,50,145.849706
-50.0,50,146.06924
-50.0,50,146.283571
-50.0,50,146.507458
-50.0,50,146.727437
-50.0,50,148.471084
-50.0,50,150.136866
-50.0,50,151.750329
-50.0,50,153.435929
-50.0,50,155.072872
-50.0,50,156.770794
-50.0,50,158.477502
-50.0,50,160.153306
-50.0,50,161.830945
-50.0,50,163.462007
-50.0,50,165.117529
-50.0,50,166.761274
-50.0,50,168.497179
-50.0,50,170.236475
-50.0,50,171.960678
-50.0,50,173.677523
-50.0,50,175.416502
-50.0,50,177.135491
-50.0,50,178.825634
-50.0,50,180.625279
-50.0,50,182.389003
-50.0,50,184.185285
-50.0,50,185.916737
-50.0,50,187.693659
-50.0,50,189.447139
-50.0,50,191.236759
-50.0,50,193.05594
-50.0,50,194.862475
-50.0,50,196.650816
-50.0,50,198.436419
-50.0,50,200.180359
-50.0,50,202.006532
-50.0,50,203.836049
-50.0,50,205.634186
-50.0,50,207.500217
-50.0,50,209.359958
-50.0,50,211.254643
-50.0,50,213.049802
-50.0,50,214.890361
-50.0,50,216.669168
-50.0,50,218.516091
-50.0,50,220.412524
-50.0,50,222.325732
-50.0,50,224.173101
-50.0,50,226.038957
-50.0,50,227.946317
-50.0,50,229.768481
-50.0,50,231.608671
