epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.87632567,0.08280774,0.19485848,0.03801438,20.0,-0.005131283,0.0,100.0,0.0
1,0.8763926,0.07893828,0.19650337,0.038471267,40.0,-0.016469095,0.0,200.0,0.0
2,0.8745368,0.077438176,0.19646946,0.03855213,60.0,-0.032678314,0.0,300.0,0.0
3,0.87415123,0.07802823,0.19649392,0.040732786,80.0,-0.0056391032,0.0,400.0,0.0
4,0.87247926,0.0775884,0.19646947,0.041829553,100.0,-0.0059642163,0.0,500.0,0.0
5,0.8731205,0.07720655,0.19668561,0.04428935,120.0,-0.019009609,0.0,600.0,0.0
6,0.8723418,0.07657276,0.19663109,0.043546002,140.0,-0.013314758,0.0,700.0,0.0
7,0.87133354,0.07631543,0.19661167,0.043012265,160.0,-0.01977715,0.0,800.0,0.0
8,0.8708369,0.07564903,0.19658153,0.043033592,180.0,-0.017666662,0.0,900.0,0.0
9,0.8703442,0.07536281,0.19634745,0.0431996,200.0,-0.019433806,0.0,1000.0,0.01
10,0.8705202,0.07518722,0.19644745,0.04283152,220.0,-0.020284034,0.0,1100.0,0.0
11,0.87008256,0.07489265,0.19643317,0.04448636,240.0,-0.019622754,0.0,1200.0,0.0
12,0.87002426,0.07452669,0.19653854,0.04458572,260.0,-0.014279017,0.0,1300.0,0.0
13,0.8699121,0.074276745,0.19636658,0.044161253,280.0,-0.020190543,0.0,1400.0,0.0
14,0.869561,0.07436477,0.19629775,0.044587553,300.0,-0.01795767,0.0,1500.0,0.0
15,0.86974645,0.07419588,0.19635762,0.0443956,320.0,-0.024000015,0.0,1600.0,0.0
16,0.8697131,0.07411387,0.19635135,0.044213995,340.0,-0.018187253,0.0,1700.0,0.0
17,0.86962384,0.07394561,0.19648454,0.04421707,360.0,-0.021366214,0.0,1800.0,0.0
18,0.869656,0.07396831,0.19655094,0.04396288,380.0,-0.018082771,0.0,1900.0,0.0
19,0.86951464,0.073844776,0.19656736,0.04389171,400.0,-0.01963299,0.0,2000.0,0.0
20,0.86967707,0.073802635,0.19652435,0.044058833,420.0,-0.020589385,0.0,2100.0,0.0
