# {"t_start": 1586316410.4376504, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.302412
-50.0,50,3.24232
-50.0,50,4.097428
-50.0,50,4.953027
-50.0,50,5.832303
-38.0,50,6.700669
-50.0,50,7.564564
-50.0,50,8.45084
-38.0,50,9.344548
-50.0,50,10.23809
-50.0,50,11.127311
-50.0,50,12.035401
-38.0,50,12.932997
-38.0,50,13.830425
-50.0,50,14.72969
-38.0,50,15.63723
-38.0,50,16.546143
-44.0,50,17.465744
-38.0,50,18.397124
-44.0,50,19.320319
-38.0,50,20.240945
-38.0,50,21.161207
-38.0,50,22.070668
-50.0,50,22.974761
-38.0,50,23.896932
-44.0,50,24.829772
-38.0,50,25.77943
-38.0,50,26.669586
-38.0,50,27.579942
-38.0,50,28.484714
-17.0,50,29.382914
-38.0,50,30.29444
-38.0,50,31.211222
-38.0,50,32.137078
-38.0,50,33.063008
-38.0,50,33.998517
-50.0,50,34.924516
-38.0,50,35.85838
-38.0,50,36.801311
-38.0,50,37.805471
-38.0,50,38.811671
-38.0,50,39.819878
-38.0,50,40.83137
-38.0,50,41.857972
-38.0,50,42.895377
-38.0,50,43.937024
-38.0,50,44.974019
-38.0,50,46.011662
-38.0,50,47.046668
-38.0,50,48.078085
-38.0,50,49.165293
-38.0,50,49.333812
-38.0,50,49.504178
-38.0,50,49.692192
-38.0,50,49.859461
-38.0,50,50.021953
-38.0,50,50.215357
-38.0,50,50.3783
-38.0,50,50.548784
-38.0,50,50.726609
-11.0,50,50.928532
-44.0,50,51.932714
-38.0,50,52.985698
-38.0,50,54.048267
-38.0,50,55.117818
-38.0,50,56.18423
-38.0,50,57.279088
-38.0,50,58.357036
-38.0,50,59.456855
-38.0,50,60.541705
-38.0,50,61.617385
-38.0,50,62.707887
-38.0,50,63.790307
-38.0,50,64.863118
-13.0,50,65.929582
-38.0,50,67.035928
-38.0,50,68.144472
-38.0,50,69.247528
-38.0,50,70.364119
-38.0,50,71.492889
-38.0,50,72.623974
-38.0,50,73.73308
