epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8547825,0.102231495,0.22822449,0.13906842,20.0,-1.6264133,0.0,100.0,0.0
1,0.85030776,0.112713724,0.24495974,0.15201038,40.0,-2.4178438,0.1,200.0,0.03
2,0.8472449,0.115528345,0.2491841,0.15888831,60.0,-4.025716,0.1,300.0,0.02
3,0.84502673,0.11788834,0.25062233,0.16051303,80.0,-4.672843,0.2,400.0,0.08
4,0.844176,0.12738858,0.2526873,0.16511972,100.0,-6.6107025,0.15,500.0,0.02
5,0.8406591,0.12887977,0.25263068,0.16529761,120.0,-7.5540495,0.05,600.0,0.06
6,0.8399288,0.12694855,0.2528941,0.16507596,140.0,-9.44235,0.15,700.0,0.08
7,0.838948,0.12756865,0.2527479,0.16702014,160.0,-7.8222075,0.25,800.0,0.13
8,0.83822876,0.13234198,0.2530895,0.16974403,180.0,-8.396042,0.3,900.0,0.08
9,0.8365092,0.13748728,0.25331503,0.17297569,200.0,-6.386812,0.4,1000.0,0.07
10,0.83524245,0.13952057,0.25344476,0.17495957,220.0,-8.545618,0.2,1100.0,0.09
11,0.83493155,0.14117628,0.25471503,0.17510463,240.0,-7.4540734,0.25,1200.0,0.19
12,0.8360911,0.14265667,0.25506088,0.17566997,260.0,-10.774913,0.2,1300.0,0.09
13,0.83578706,0.1458356,0.25566876,0.17599453,280.0,-6.7486687,0.5,1400.0,0.09
14,0.83528143,0.14775509,0.25629723,0.17841381,300.0,-7.8655167,0.35,1500.0,0.08
15,0.834642,0.15106322,0.25623047,0.1800902,320.0,-5.5640078,0.65,1600.0,0.1
16,0.8352019,0.1519859,0.25672862,0.18025106,340.0,-7.817177,0.6,1700.0,0.15
17,0.8343459,0.15312421,0.25707576,0.18098599,360.0,-7.296425,0.45,1800.0,0.21
18,0.834065,0.15434088,0.2572591,0.18192834,380.0,-6.551488,0.45,1900.0,0.17
19,0.8338006,0.15529731,0.25728267,0.18272725,400.0,-8.950587,0.45,2000.0,0.26
20,0.83338,0.15528573,0.25709093,0.1830878,420.0,-6.6061125,0.45,2100.0,0.27
21,0.83312815,0.15595579,0.25720203,0.18365878,440.0,-7.12679,0.6,2200.0,0.19
22,0.83268857,0.15628909,0.2573237,0.18368016,460.0,-4.9930615,0.55,2300.0,0.27
23,0.83300805,0.1553697,0.25759533,0.183819,480.0,-7.0305986,0.5,2400.0,0.28
24,0.8333626,0.15504104,0.25761545,0.18365441,500.0,-1.172135,0.9,2500.0,0.29
25,0.83319354,0.15472834,0.25763232,0.18329453,520.0,-4.6155367,0.8,2600.0,0.34
26,0.8336497,0.15461703,0.25802273,0.18344386,540.0,-3.6259422,0.75,2700.0,0.26
27,0.8336726,0.15478475,0.25785255,0.18354672,560.0,-2.7304564,0.75,2800.0,0.35
28,0.8342273,0.15522681,0.2580933,0.18390967,580.0,-3.0244966,0.85,2900.0,0.28
29,0.83435416,0.15498875,0.2584895,0.18408276,600.0,-1.6348689,0.85,3000.0,0.32
30,0.8343427,0.15501346,0.25836515,0.18395035,620.0,-3.4022145,0.85,3100.0,0.27
31,0.8347819,0.15507732,0.2583759,0.18377528,640.0,-4.469696,0.8,3200.0,0.41
32,0.8349667,0.15447475,0.2585625,0.18345354,660.0,-4.466486,0.9,3300.0,0.37
33,0.8349595,0.15411295,0.2584576,0.18345799,680.0,-3.0221462,0.95,3400.0,0.34
34,0.8351819,0.15383948,0.25857288,0.183171,700.0,-5.410849,0.7,3500.0,0.42
35,0.83526134,0.15368456,0.25875485,0.18318735,720.0,-4.086853,0.85,3600.0,0.33
36,0.83552176,0.15314724,0.25861332,0.18326432,740.0,-7.071393,0.6,3700.0,0.36
37,0.8357749,0.15331258,0.25871813,0.18338357,760.0,-1.072556,1.0,3800.0,0.42
38,0.8358801,0.15302265,0.25878498,0.18324949,780.0,-2.2961524,0.85,3900.0,0.27
39,0.83598465,0.1529669,0.2587859,0.18332298,800.0,-5.1076794,0.75,4000.0,0.31
