# {"t_start": 1589997759.5301433, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.214557
-50.0,50,3.36821
-50.0,50,4.424664
-50.0,50,5.535066
-50.0,50,6.583112
-50.0,50,7.636958
-50.0,50,8.73841
-50.0,50,9.78226
-50.0,50,10.833511
-50.0,50,11.888568
-50.0,50,12.983779
-50.0,50,14.076931
-50.0,50,15.227061
-50.0,50,16.274956
-50.0,50,17.309829
-50.0,50,18.374857
-50.0,50,19.450057
-50.0,50,20.530751
-50.0,50,21.598111
-50.0,50,22.665874
-50.0,50,23.728017
-50.0,50,24.767813
-50.0,50,25.84583
-50.0,50,26.937598
-50.0,50,28.005057
-50.0,50,29.06563
-48.0,50,30.144883
-50.0,50,31.205729
-50.0,50,32.289516
-50.0,50,33.371645
-48.0,50,34.449987
-50.0,50,35.566974
-48.0,50,36.700115
-50.0,50,37.983743
-48.0,50,39.213626
-49.0,50,40.536112
-48.0,50,41.755677
-48.0,50,42.838646
-50.0,50,43.955576
-48.0,50,45.089379
-50.0,50,46.210862
-48.0,50,47.406681
-48.0,50,48.533947
-50.0,50,49.700545
-48.0,50,50.890741
-48.0,50,52.080508
-48.0,50,53.271721
-49.0,50,54.49175
-48.0,50,55.696239
-48.0,50,56.753521
-48.0,50,57.822537
-38.0,50,58.017621
-48.0,50,58.21559
-48.0,50,58.403119
-48.0,50,58.589944
-48.0,50,58.778745
-49.0,50,58.973796
-48.0,50,59.148325
-49.0,50,59.33013
-48.0,50,59.507565
-48.0,50,59.730705
-48.0,50,60.847611
-48.0,50,61.971285
-48.0,50,63.07951
-46.0,50,64.190347
-48.0,50,65.303762
-48.0,50,66.421934
-48.0,50,67.553122
-48.0,50,68.663874
-48.0,50,69.788335
-48.0,50,70.905871
-48.0,50,72.031285
-49.0,50,73.151398
-48.0,50,74.287566
-48.0,50,75.415874
-48.0,50,76.483489
-48.0,50,77.59687
-32.0,50,78.74106
-48.0,50,79.880822
-48.0,50,81.046887
-48.0,50,82.149434
-48.0,50,83.301138
-48.0,50,84.472535
-48.0,50,85.630554
-38.0,50,86.776312
-48.0,50,87.945174
-49.0,50,89.094008
-48.0,50,90.256526
-48.0,50,91.427453
-48.0,50,92.558358
-48.0,50,93.764812
-49.0,50,94.930222
-48.0,50,96.120797
-48.0,50,97.312196
-48.0,50,98.475485
-48.0,50,99.635924
