epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8412853,0.09190748,0.20754068,0.0908057,20.0,-2.5902297,0.15,100.0,0.04
1,0.8442247,0.1025959,0.22491974,0.13072415,40.0,-2.925063,0.1,200.0,0.03
2,0.842145,0.10223655,0.23616241,0.13741261,60.0,-3.807497,0.2,300.0,0.02
3,0.8427779,0.10082505,0.24168754,0.14141601,80.0,-5.129089,0.15,400.0,0.09
4,0.8448023,0.10599411,0.24517949,0.14636551,100.0,-4.339677,0.35,500.0,0.11
5,0.8468089,0.10621536,0.24739777,0.14893402,120.0,-5.396965,0.3,600.0,0.13
6,0.8464746,0.10655335,0.24939387,0.14970618,140.0,-6.952426,0.3,700.0,0.18
7,0.84618354,0.10804566,0.25047585,0.15171883,160.0,-6.0645723,0.45,800.0,0.14
8,0.8466204,0.109478295,0.2508483,0.15259224,180.0,-5.5320053,0.55,900.0,0.21
9,0.8460222,0.111385524,0.2509227,0.15400529,200.0,-3.803154,0.65,1000.0,0.23
10,0.8438351,0.11358947,0.25156075,0.15534918,220.0,-4.358711,0.7,1100.0,0.29
11,0.8438671,0.11451448,0.25202224,0.15639831,240.0,-3.5120704,0.8,1200.0,0.17
12,0.8433488,0.11570412,0.25255075,0.1562817,260.0,-4.3941355,0.8,1300.0,0.23
13,0.84348553,0.11609489,0.25290993,0.1567795,280.0,-6.6548142,0.7,1400.0,0.35
14,0.8429918,0.11686573,0.25306386,0.1563294,300.0,-6.212251,0.6,1500.0,0.33
15,0.842892,0.11710751,0.2535334,0.15690997,320.0,-3.351585,0.85,1600.0,0.26
16,0.8421928,0.118587464,0.25414392,0.15756844,340.0,-3.6745582,0.85,1700.0,0.29
17,0.84237885,0.11810731,0.25438517,0.15658417,360.0,-6.0539646,0.65,1800.0,0.34
18,0.8424366,0.11753098,0.2546861,0.15605071,380.0,-4.9582505,0.7,1900.0,0.36
19,0.84233904,0.11813712,0.25484765,0.1565771,400.0,-3.1781478,0.8,2000.0,0.3
20,0.84230334,0.11891889,0.25494215,0.15691243,420.0,-3.444147,0.8,2100.0,0.33
21,0.8424297,0.118911915,0.25509942,0.15707813,440.0,-1.381902,0.95,2200.0,0.37
22,0.8422077,0.11865795,0.25494072,0.1569762,460.0,-2.5637374,0.85,2300.0,0.26
23,0.8423216,0.11833391,0.25481007,0.15683116,480.0,-1.6038269,0.85,2400.0,0.31
24,0.84211,0.118112504,0.25462526,0.15691382,500.0,-2.009984,0.85,2500.0,0.42
25,0.8420284,0.11879382,0.25476182,0.15709299,520.0,-0.75638866,1.0,2600.0,0.38
26,0.8420179,0.118932925,0.25488734,0.15724532,540.0,-1.117555,0.95,2700.0,0.4
27,0.842323,0.11881178,0.25491473,0.15692425,560.0,-0.9636861,0.95,2800.0,0.45
28,0.8426785,0.11873949,0.25503132,0.15690011,580.0,-1.5168413,0.8,2900.0,0.38
29,0.8429439,0.11834755,0.25509447,0.15650225,600.0,-0.98100203,1.0,3000.0,0.45
30,0.8431685,0.11883076,0.2551937,0.15687916,620.0,-0.875254,0.95,3100.0,0.37
31,0.84336257,0.11862796,0.25511658,0.15657088,640.0,-0.9829732,0.9,3200.0,0.29
32,0.84332985,0.1183708,0.2552422,0.15625158,660.0,-0.76836455,0.9,3300.0,0.39
33,0.8439279,0.11814117,0.2552926,0.1559541,680.0,-0.76356155,0.9,3400.0,0.43
34,0.8442071,0.11804647,0.25523153,0.155911,700.0,-0.7680336,0.85,3500.0,0.45
35,0.8446538,0.11770549,0.2553243,0.15550584,720.0,-0.5684026,0.95,3600.0,0.46
36,0.84499353,0.11775454,0.2553926,0.15538135,740.0,-0.61878425,0.95,3700.0,0.59
37,0.84499484,0.11751177,0.25536534,0.15512982,760.0,-0.4833494,0.95,3800.0,0.52
38,0.84517,0.117379986,0.25547612,0.15495221,780.0,-0.5859318,1.0,3900.0,0.5
39,0.8454364,0.11715441,0.25555262,0.15469636,800.0,-0.64475465,0.9,4000.0,0.51
