epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8481037,0.1059229,0.24657235,0.09527326,20.0,-0.88339347,0.25,40.0,0.075
1,0.8437219,0.10612205,0.24524388,0.10934746,40.0,-0.812061,0.85,80.0,0.3
2,0.84363365,0.105529636,0.24517338,0.11690482,60.0,-1.5823452,0.4,120.0,0.175
3,0.8420894,0.10759944,0.24481982,0.119175844,80.0,-1.4600527,0.5,160.0,0.075
4,0.84102803,0.10987734,0.24405204,0.12285459,100.0,-1.3224485,0.6,200.0,0.15
5,0.84141845,0.10787094,0.2438915,0.12328793,120.0,-1.7661164,0.5,240.0,0.225
6,0.83926886,0.11187752,0.24322416,0.12610215,140.0,-3.1042275,0.4,280.0,0.1
7,0.8397711,0.11350828,0.24413626,0.1273268,160.0,-2.6721625,0.55,320.0,0.125
8,0.8387746,0.11530841,0.24587558,0.1298567,180.0,-4.3705144,0.25,360.0,0.05
9,0.8397906,0.11637184,0.24689998,0.13129778,200.0,-4.52219,0.1,400.0,0.025
10,0.8394077,0.11991573,0.24741326,0.1353915,220.0,-3.9402542,0.4,440.0,0.025
11,0.8383155,0.123588264,0.2475182,0.13797277,240.0,-6.5390916,0.0,480.0,0.0
12,0.83828473,0.12242686,0.24804258,0.13849407,260.0,-5.353106,0.3,520.0,0.125
13,0.838461,0.122800194,0.2487983,0.14138696,280.0,-7.050981,0.05,560.0,0.025
14,0.83930224,0.12276331,0.24929105,0.14439724,300.0,-8.111513,0.0,600.0,0.025
15,0.8395388,0.122200936,0.25005254,0.14680499,320.0,-6.913186,0.05,640.0,0.0
16,0.8399277,0.12117974,0.24989773,0.14768562,340.0,-7.969242,0.05,680.0,0.075
17,0.8400566,0.12130278,0.25085583,0.1495954,360.0,-10.324012,0.1,720.0,0.1
18,0.8405004,0.121488154,0.25236684,0.15251178,380.0,-9.746527,0.05,760.0,0.0
19,0.83969563,0.12289685,0.25204796,0.15473627,400.0,-10.669536,0.0,800.0,0.1
20,0.83977145,0.12398172,0.25217545,0.15566322,420.0,-10.15039,0.05,840.0,0.075
21,0.8400438,0.12447057,0.25266993,0.15737955,440.0,-8.346083,0.1,880.0,0.0
22,0.8405931,0.12336136,0.25294182,0.15832298,460.0,-9.92478,0.05,920.0,0.175
23,0.84046966,0.12296235,0.2537808,0.15908033,480.0,-8.802704,0.1,960.0,0.075
24,0.84044594,0.122390874,0.2540999,0.15936142,500.0,-7.1922746,0.35,1000.0,0.125
25,0.8397785,0.122486,0.25436625,0.1605967,520.0,-11.842675,0.05,1040.0,0.125
26,0.83929795,0.122288086,0.25454685,0.16091079,540.0,-9.960998,0.2,1080.0,0.125
27,0.83921486,0.12213872,0.25483644,0.16179758,560.0,-11.248305,0.05,1120.0,0.15
28,0.83958906,0.12296008,0.25489956,0.1619796,580.0,-6.167508,0.3,1160.0,0.1
29,0.8396711,0.12304319,0.2548216,0.16233993,600.0,-8.584105,0.4,1200.0,0.15
30,0.839552,0.12335684,0.25487426,0.162386,620.0,-10.542362,0.2,1240.0,0.15
31,0.8392608,0.12349895,0.2547827,0.16286159,640.0,-9.69359,0.25,1280.0,0.275
32,0.8393182,0.12394992,0.25534904,0.16352637,660.0,-11.512842,0.15,1320.0,0.125
33,0.83941716,0.12416918,0.25522926,0.16395862,680.0,-8.439888,0.25,1360.0,0.175
34,0.8393107,0.12397412,0.25510603,0.16397913,700.0,-8.470425,0.4,1400.0,0.225
35,0.83888936,0.12401872,0.25504225,0.1636062,720.0,-6.441243,0.4,1440.0,0.175
36,0.83887655,0.124607004,0.25507957,0.16428624,740.0,-4.7680893,0.6,1480.0,0.175
37,0.83929324,0.12529339,0.25510985,0.16482894,760.0,-10.635658,0.3,1520.0,0.275
38,0.8391981,0.12507223,0.25526384,0.16512671,780.0,-8.314205,0.2,1560.0,0.175
39,0.8391876,0.12578207,0.25518748,0.16550669,800.0,-9.8998165,0.45,1600.0,0.175
40,0.83913785,0.1272447,0.2549303,0.16656175,820.0,-9.673969,0.45,1640.0,0.125
41,0.8387711,0.12982258,0.2550009,0.16694143,840.0,-9.235939,0.4,1680.0,0.125
42,0.83833236,0.13012661,0.25481826,0.16663131,860.0,-2.1148763,0.85,1720.0,0.325
43,0.83762527,0.1307564,0.2546192,0.16677795,880.0,-10.845274,0.3,1760.0,0.25
44,0.8377545,0.13107751,0.2546758,0.16717242,900.0,-5.8917675,0.65,1800.0,0.375
45,0.8375607,0.13159855,0.25457758,0.16742039,920.0,-9.911737,0.3,1840.0,0.375
46,0.8371069,0.13283078,0.25428528,0.1676182,940.0,-1.7699649,0.4,1880.0,0.375
47,0.8370573,0.13365386,0.25420737,0.16793019,960.0,-13.74353,0.1,1920.0,0.225
48,0.8371442,0.1337257,0.25390366,0.16770452,980.0,-7.404319,0.65,1960.0,0.55
49,0.8369715,0.13394012,0.25382107,0.16794595,1000.0,-4.489327,0.5,2000.0,0.525
50,0.83721083,0.13367382,0.25368035,0.1677002,1020.0,-10.671929,0.4,2040.0,0.55
51,0.8363655,0.13486041,0.25331014,0.16761424,1040.0,-3.5122101,0.75,2080.0,0.5
52,0.83624333,0.13566338,0.2530448,0.16784169,1060.0,-8.209872,0.5,2120.0,0.475
53,0.8363599,0.13560839,0.25290868,0.16806704,1080.0,-1.2253991,0.85,2160.0,0.525
54,0.83659905,0.1353315,0.25264537,0.1680132,1100.0,-1.6014135,0.8,2200.0,0.55
55,0.83640796,0.13519943,0.252461,0.16814739,1120.0,-0.084662884,1.0,2240.0,0.4
56,0.8365283,0.13504596,0.25223204,0.16814186,1140.0,-0.30571085,0.95,2280.0,0.6
57,0.8367169,0.13470031,0.25204584,0.16789201,1160.0,-2.5935464,0.9,2320.0,0.525
58,0.8366348,0.13432041,0.25190255,0.16768168,1180.0,-0.9628537,0.95,2360.0,0.475
59,0.8364737,0.13520719,0.25164568,0.16784216,1200.0,-6.7023177,0.65,2400.0,0.4
60,0.83599114,0.1353349,0.25137886,0.16780123,1220.0,-6.3501134,0.65,2440.0,0.4
