# {"t_start": 1586060842.9384573, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.441041
-50.0,50,3.454975
-50.0,50,4.395099
-50.0,50,5.346596
-38.0,50,6.300377
-38.0,50,7.259898
-38.0,50,8.224221
-50.0,50,9.185944
-50.0,50,10.147766
-38.0,50,11.129296
-44.0,50,12.0951
-44.0,50,13.081337
-50.0,50,14.068542
-38.0,50,15.061098
-38.0,50,16.050967
-44.0,50,17.030516
-38.0,50,18.020101
-38.0,50,19.025207
-44.0,50,20.033438
-44.0,50,21.047328
-44.0,50,22.097283
-44.0,50,22.283638
-38.0,50,22.46007
-44.0,50,22.638247
-38.0,50,22.820474
-38.0,50,22.999949
-44.0,50,23.181085
-38.0,50,23.353834
-14.0,50,23.530359
-44.0,50,23.707886
-44.0,50,23.928611
-44.0,50,24.951303
-44.0,50,25.966003
-38.0,50,26.975476
-44.0,50,27.998369
-44.0,50,29.024843
-38.0,50,30.049923
-44.0,50,31.080595
-44.0,50,32.117805
-44.0,50,33.162055
-44.0,50,34.209669
-38.0,50,35.246756
-44.0,50,36.294149
-44.0,50,37.333633
-44.0,50,38.401763
-44.0,50,39.45921
-38.0,50,40.517546
-44.0,50,41.59306
8.0,50,42.653533
-44.0,50,43.732131
-44.0,50,44.81774
-44.0,50,45.009552
-44.0,50,45.190389
-44.0,50,45.376101
-38.0,50,45.558289
-44.0,50,45.745347
-44.0,50,45.934678
-44.0,50,46.115836
-44.0,50,46.28811
-44.0,50,46.474934
-44.0,50,46.64982
-38.0,50,47.744645
-38.0,50,48.8349
-38.0,50,49.929384
5.0,50,51.030261
-38.0,50,52.135436
-38.0,50,53.239896
-44.0,50,54.351753
-44.0,50,55.469343
-38.0,50,56.59056
-12.0,50,57.71323
-38.0,50,58.810644
-38.0,50,59.920511
-44.0,50,61.054952
-7.0,50,62.171272
-44.0,50,63.312721
-38.0,50,64.435521
-44.0,50,65.583854
-44.0,50,66.707244
-38.0,50,67.827282
-38.0,50,68.958005
-44.0,50,69.142141
