# {"t_start": 1585988456.5626607, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.170841
-50.0,50,3.085518
-50.0,50,3.918307
-50.0,50,4.748629
-50.0,50,5.577916
-44.0,50,6.366683
-50.0,50,7.162764
-50.0,50,7.959512
-44.0,50,8.760975
-44.0,50,9.58543
-50.0,50,10.444754
-50.0,50,11.304388
-38.0,50,12.174024
-50.0,50,13.025334
-44.0,50,13.903251
-38.0,50,14.764091
-50.0,50,15.630407
-50.0,50,16.494224
-50.0,50,17.384727
-50.0,50,18.263452
-38.0,50,19.140133
-50.0,50,20.017194
-15.0,50,20.898721
-44.0,50,21.792342
-6.0,50,22.702173
-38.0,50,23.610837
-44.0,50,24.526099
-38.0,50,25.43808
-44.0,50,26.35324
-38.0,50,27.273157
-38.0,50,28.20558
-44.0,50,29.132171
-38.0,50,30.056864
-38.0,50,30.990769
-38.0,50,31.928614
-38.0,50,32.875732
-44.0,50,33.828465
-38.0,50,34.780338
-38.0,50,35.728994
-38.0,50,36.688241
-38.0,50,37.651294
-38.0,50,38.611112
-38.0,50,39.586864
-38.0,50,40.562479
-8.0,50,41.540101
-8.0,50,42.521579
-38.0,50,43.507902
-38.0,50,44.50325
4.0,50,45.502773
-38.0,50,46.501604
-44.0,50,47.533644
-38.0,50,47.688592
-44.0,50,47.868067
-44.0,50,48.042078
-38.0,50,48.2197
-44.0,50,48.39959
25.0,50,48.577833
-38.0,50,48.760077
-38.0,50,48.92246
-44.0,50,49.103654
21.0,50,49.306357
-38.0,50,50.317409
-38.0,50,51.3513
-13.0,50,52.383471
-38.0,50,53.412108
-8.0,50,54.443882
-38.0,50,55.483361
-38.0,50,56.5184
-38.0,50,57.5262
-38.0,50,58.522737
-38.0,50,59.513786
-38.0,50,60.505289
-38.0,50,61.486695
-38.0,50,62.482463
-38.0,50,63.473694
-38.0,50,64.498504
-38.0,50,65.533327
-38.0,50,66.578711
-38.0,50,67.693983
-44.0,50,68.788547
-38.0,50,69.901526
-38.0,50,70.997668
-38.0,50,72.098495
-44.0,50,73.228705
-38.0,50,74.341419
-38.0,50,75.450129
-38.0,50,76.565808
-38.0,50,77.68153
-38.0,50,78.799848
-38.0,50,79.911735
-38.0,50,81.034008
-38.0,50,82.158219
-38.0,50,83.283488
-38.0,50,84.421148
-38.0,50,85.561723
-10.0,50,86.67959
-38.0,50,87.801951
-38.0,50,88.956582
-38.0,50,90.12979
-38.0,50,91.250759
-38.0,50,92.387017
-38.0,50,93.527389
21.0,50,94.663275
-38.0,50,95.807652
-38.0,50,96.956352
-38.0,50,98.110257
-38.0,50,99.257404
-38.0,50,100.409137
-38.0,50,101.585286
-38.0,50,102.748542
-44.0,50,103.917146
-38.0,50,104.092633
-44.0,50,104.268658
-44.0,50,104.441353
-38.0,50,104.615673
-44.0,50,104.796099
-44.0,50,104.965799
-44.0,50,105.139302
-44.0,50,105.323757
-38.0,50,105.515712
-38.0,50,105.686336
-38.0,50,106.844423
-38.0,50,108.021416
-38.0,50,109.216797
-38.0,50,110.394156
-38.0,50,111.566566
-38.0,50,112.770862
-38.0,50,113.975863
-38.0,50,115.165081
-38.0,50,116.388538
2.0,50,117.605799
-38.0,50,118.793059
-38.0,50,119.990882
-38.0,50,121.188849
-38.0,50,122.419329
