epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8392251,0.11131561,0.21814896,0.12572154,20.0,-1.0676258,0.65,100.0,0.09
1,0.83695906,0.11141205,0.23383284,0.13896939,40.0,-0.8763242,0.7,200.0,0.09
2,0.8364275,0.1143766,0.24094519,0.14590257,60.0,-2.8355212,0.3,300.0,0.04
3,0.83620405,0.12249434,0.24545519,0.15287456,80.0,-2.3291097,0.65,400.0,0.09
4,0.83786386,0.12629898,0.24812761,0.15755789,100.0,-2.962011,0.5,500.0,0.13
5,0.83705693,0.12585993,0.2481707,0.15806077,120.0,-1.1845767,0.9,600.0,0.2
6,0.8380161,0.12399563,0.24740934,0.15721203,140.0,-1.351977,0.75,700.0,0.21
7,0.8379011,0.12164867,0.24846373,0.15575024,160.0,-1.3248248,0.75,800.0,0.25
8,0.8374233,0.120339744,0.247682,0.15551196,180.0,-0.028108558,1.0,900.0,0.23
9,0.83707684,0.12213013,0.24743193,0.1570418,200.0,-0.08447442,1.0,1000.0,0.24
10,0.8378622,0.12205861,0.24777606,0.15640077,220.0,-0.065291725,1.0,1100.0,0.26
11,0.8380025,0.12278825,0.24815676,0.15636624,240.0,-0.14333048,1.0,1200.0,0.28
12,0.8385234,0.12340324,0.24856345,0.15788913,260.0,-1.4291345,0.9,1300.0,0.24
13,0.8379945,0.12325736,0.24862967,0.15712006,280.0,-0.11509006,1.0,1400.0,0.2
14,0.8386572,0.123976916,0.24890606,0.15749727,300.0,-2.9084368,0.75,1500.0,0.24
15,0.83874893,0.12383888,0.24885255,0.15801543,320.0,-0.032111116,1.0,1600.0,0.27
16,0.83897716,0.12353659,0.2487965,0.1580179,340.0,-0.040609434,1.0,1700.0,0.31
17,0.8388028,0.12433931,0.24882561,0.15798585,360.0,-0.09440087,1.0,1800.0,0.36
18,0.8388939,0.123953454,0.2489211,0.158193,380.0,-0.08233161,1.0,1900.0,0.36
19,0.83913016,0.12398442,0.24900243,0.15839511,400.0,-0.103263095,1.0,2000.0,0.28
20,0.83933973,0.12409911,0.24878961,0.15850614,420.0,-0.080532216,1.0,2100.0,0.35
21,0.8397849,0.12401292,0.24885203,0.15852809,440.0,-0.058648217,1.0,2200.0,0.33
22,0.8396421,0.12356002,0.24878094,0.15823738,460.0,-0.15900905,1.0,2300.0,0.37
23,0.8400345,0.12337091,0.24889813,0.1582664,480.0,-0.33330306,0.95,2400.0,0.29
24,0.84004945,0.12309518,0.24886979,0.15800188,500.0,-0.0713685,1.0,2500.0,0.42
25,0.8401014,0.12351333,0.24877661,0.15808994,520.0,-0.073706225,1.0,2600.0,0.29
26,0.84025687,0.12348032,0.24887279,0.15755083,540.0,-2.0047164,0.9,2700.0,0.42
27,0.84050685,0.12316706,0.24880919,0.15682358,560.0,-0.19018638,1.0,2800.0,0.57
28,0.84066623,0.122827925,0.24860856,0.15665714,580.0,-0.58546984,0.95,2900.0,0.4
29,0.8408633,0.12310183,0.2485967,0.15639928,600.0,-0.092077844,1.0,3000.0,0.46
30,0.84103364,0.12316582,0.24861248,0.15615667,620.0,-0.018214274,1.0,3100.0,0.37
31,0.84117556,0.122628205,0.24844183,0.15573432,640.0,-0.02840222,1.0,3200.0,0.43
32,0.8411703,0.122230105,0.24829738,0.1557436,660.0,-0.08426814,1.0,3300.0,0.37
33,0.84135675,0.12227502,0.2482679,0.15582982,680.0,-0.0386479,1.0,3400.0,0.34
34,0.84114915,0.122506,0.24832521,0.15611078,700.0,-0.05206921,1.0,3500.0,0.44
35,0.84138185,0.12240536,0.24826185,0.15598904,720.0,-0.06781215,1.0,3600.0,0.39
36,0.84142107,0.12272501,0.24826339,0.1558902,740.0,-0.071176395,1.0,3700.0,0.41
37,0.84142524,0.122449756,0.2483378,0.15586011,760.0,-0.046830878,1.0,3800.0,0.39
38,0.8413504,0.12220625,0.24843897,0.15611555,780.0,-0.22208264,1.0,3900.0,0.43
39,0.84135175,0.122345425,0.24848205,0.15606393,800.0,-0.20904246,0.95,4000.0,0.36
