# {"t_start": 1587534284.943869, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.612268
-50.0,50,4.209793
-50.0,50,5.749399
-248.0,50,7.306593
-50.0,50,8.882689
-149.0,50,10.505182
-248.0,50,12.166847
-149.0,50,13.827727
-149.0,50,15.503014
-248.0,50,17.146843
-248.0,50,18.802202
-50.0,50,20.469374
-149.0,50,22.179525
-149.0,50,23.902562
-50.0,50,25.625427
-149.0,50,27.371102
-149.0,50,29.137906
-149.0,50,30.904972
-50.0,50,32.733006
-248.0,50,34.514591
-248.0,50,36.333045
-248.0,50,36.517659
-248.0,50,36.693062
-149.0,50,36.880937
-50.0,50,37.0725
-149.0,50,37.248272
-248.0,50,37.416788
-248.0,50,37.595082
-248.0,50,37.769008
-248.0,50,37.955058
-149.0,50,38.168652
-149.0,50,39.971868
-248.0,50,41.789912
-248.0,50,43.612838
-149.0,50,45.443979
-149.0,50,47.369957
-149.0,50,49.290976
-50.0,50,51.532974
-248.0,50,53.633738
-50.0,50,55.678761
-248.0,50,57.642139
-149.0,50,59.665809
-248.0,50,61.634651
-248.0,50,63.709941
-149.0,50,65.777774
-149.0,50,67.842476
-50.0,50,69.787968
-50.0,50,71.96455
-248.0,50,74.034184
-50.0,50,76.153424
-248.0,50,78.294951
-248.0,50,78.484321
-248.0,50,78.66674
-248.0,50,78.863813
-248.0,50,79.043506
-149.0,50,79.229275
-223.0,50,79.422535
-220.0,50,79.66326
-248.0,50,79.869509
-248.0,50,80.04886
-149.0,50,80.267936
-248.0,50,82.485317
-149.0,50,84.624947
-248.0,50,86.803586
-248.0,50,88.896203
-149.0,50,91.002387
-149.0,50,93.089572
-248.0,50,95.109006
-248.0,50,97.222454
-149.0,50,99.351751
-248.0,50,101.516865
-149.0,50,103.64534
-149.0,50,105.828077
-149.0,50,108.001666
-240.0,50,110.154111
-149.0,50,112.310903
-50.0,50,114.525799
-248.0,50,116.787758
-149.0,50,119.022099
-149.0,50,121.289443
-248.0,50,123.49604
-248.0,50,123.674115
-248.0,50,123.857853
-149.0,50,124.029958
-248.0,50,124.206505
-248.0,50,124.384234
-149.0,50,124.575209
-248.0,50,124.746423
-149.0,50,124.933134
-149.0,50,125.119812
-149.0,50,125.290739
-149.0,50,127.498899
-149.0,50,129.718969
-50.0,50,132.033869
-50.0,50,134.319421
-248.0,50,136.596813
-248.0,50,138.942287
-248.0,50,141.394941
-248.0,50,143.84397
-149.0,50,146.310992
-149.0,50,148.762823
-248.0,50,151.149793
-248.0,50,153.551332
-149.0,50,155.975961
-248.0,50,158.353936
-149.0,50,160.803426
-248.0,50,163.242175
-228.0,50,165.678438
-248.0,50,168.257746
-235.0,50,170.777458
-248.0,50,173.18105
-149.0,50,173.358914
-248.0,50,173.547195
-248.0,50,173.73316
-248.0,50,173.927939
-149.0,50,174.120058
-248.0,50,174.307489
-248.0,50,174.505114
-149.0,50,174.701791
-248.0,50,174.877829
-248.0,50,175.067823
-149.0,50,177.445322
-149.0,50,179.873241
-248.0,50,182.34121
-248.0,50,184.764083
-224.0,50,187.280824
-149.0,50,189.849117
-149.0,50,192.198599
-248.0,50,194.551761
-248.0,50,196.912546
-248.0,50,199.287198
-248.0,50,201.677921
-248.0,50,204.095615
-248.0,50,206.544912
-248.0,50,209.154606
-221.0,50,211.861724
-240.0,50,214.527439
-248.0,50,217.176951
-149.0,50,219.916018
-248.0,50,222.79035
-218.0,50,225.337589
-248.0,50,225.529383
-215.0,50,225.716416
-248.0,50,225.890404
-248.0,50,226.076283
-149.0,50,226.253929
-149.0,50,226.42946
-248.0,50,226.618371
-149.0,50,226.800375
-248.0,50,226.998795
-149.0,50,227.182415
-248.0,50,229.771122
-248.0,50,232.71437
-248.0,50,235.718274
-248.0,50,238.480286
-248.0,50,241.12914
-248.0,50,243.702979
-248.0,50,246.283215
-149.0,50,249.065472
-149.0,50,251.769695
-248.0,50,254.487519
-248.0,50,257.142875
-248.0,50,259.76323
-149.0,50,262.543001
-149.0,50,265.372844
-248.0,50,268.212267
-248.0,50,270.930197
-50.0,50,273.593093
-248.0,50,276.310301
-248.0,50,278.983441
-248.0,50,281.698072
-220.0,50,281.903304
-235.0,50,282.089905
-216.0,50,282.287791
-248.0,50,282.466128
-248.0,50,282.657037
-214.0,50,282.843907
-217.0,50,283.039314
-248.0,50,283.220446
-233.0,50,283.419551
-149.0,50,283.609112
-248.0,50,286.323469
-248.0,50,289.034184
-248.0,50,291.723508
-248.0,50,294.429919
-248.0,50,297.148409
-248.0,50,299.905246
-248.0,50,302.597449
-248.0,50,305.346131
-248.0,50,308.056056
-149.0,50,310.749164
-248.0,50,313.550306
-248.0,50,316.413042
-248.0,50,319.09933
-248.0,50,321.833662
-248.0,50,324.54014
-248.0,50,327.359951
-248.0,50,330.301482
-248.0,50,333.042672
-238.0,50,335.793024
-248.0,50,338.583012
-248.0,50,338.760987
-220.0,50,338.940618
-248.0,50,339.111727
-248.0,50,339.282068
-245.0,50,339.463849
-219.0,50,339.663153
-248.0,50,339.834266
-248.0,50,340.009418
-215.0,50,340.183298
-248.0,50,340.361295
