# {"t_start": 1587535730.104419, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-500.0,50,2.677916
-500.0,50,4.482379
-490.0,50,6.169655
-500.0,50,7.834261
-500.0,50,9.506147
-490.0,50,11.157636
-490.0,50,12.944831
-490.0,50,14.748836
-500.0,50,16.478913
-480.0,50,18.207867
-500.0,50,19.959697
-500.0,50,21.726527
-480.0,50,23.478151
-490.0,50,25.248957
-480.0,50,27.034308
-500.0,50,28.836142
-500.0,50,30.655654
-500.0,50,32.532187
-410.0,50,34.372966
-480.0,50,36.222896
-480.0,50,38.177143
-490.0,50,38.392458
-480.0,50,38.6024
-460.0,50,38.801837
-490.0,50,38.989726
-490.0,50,39.176992
-480.0,50,39.360174
-490.0,50,39.559728
-490.0,50,39.75005
-490.0,50,39.934999
-480.0,50,40.188211
-490.0,50,42.13101
-500.0,50,44.142365
-480.0,50,46.269143
-500.0,50,48.417841
-480.0,50,50.386687
-490.0,50,52.275472
-480.0,50,54.243226
-500.0,50,56.18463
-490.0,50,58.091657
-490.0,50,60.095957
-490.0,50,62.108131
-480.0,50,64.127756
-500.0,50,66.153033
-490.0,50,68.163573
-410.0,50,70.192147
-500.0,50,72.280082
-480.0,50,74.326752
-490.0,50,76.408532
-500.0,50,78.470317
-490.0,50,80.563704
-90.0,50,80.742192
-480.0,50,80.935422
-490.0,50,81.140813
-430.0,50,81.338566
-490.0,50,81.541872
-480.0,50,81.733863
-490.0,50,81.925373
-500.0,50,82.102639
-480.0,50,82.290704
-490.0,50,82.483851
-490.0,50,84.5773
-480.0,50,86.667498
-490.0,50,88.793066
-490.0,50,90.909519
-480.0,50,93.020077
-470.0,50,95.148037
-480.0,50,97.320544
-500.0,50,99.47168
-490.0,50,101.670759
-490.0,50,103.858948
-480.0,50,106.040447
-480.0,50,108.226284
-500.0,50,110.429299
-480.0,50,112.64889
-490.0,50,114.87076
-490.0,50,117.066182
-490.0,50,119.279704
-490.0,50,121.502549
-480.0,50,123.764525
-480.0,50,126.020342
-480.0,50,126.217499
-490.0,50,126.404325
-490.0,50,126.586301
