epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8535492,0.10171846,0.20637129,0.09527466,20.0,-2.2078183,0.0,100.0,0.0
1,0.8515513,0.10463795,0.23063184,0.13143474,40.0,-2.7677603,0.0,200.0,0.0
2,0.84761214,0.10727141,0.24041227,0.14277735,60.0,-4.479035,0.05,300.0,0.02
3,0.8440885,0.11142775,0.24733885,0.15355425,80.0,-5.7976317,0.15,400.0,0.03
4,0.84185386,0.1130192,0.25223798,0.15759929,100.0,-4.6859126,0.8,500.0,0.06
5,0.8419742,0.114244215,0.25471625,0.15968068,120.0,-3.987901,0.85,600.0,0.08
6,0.84168386,0.11528047,0.2574569,0.16072702,140.0,-3.7878075,0.8,700.0,0.15
7,0.84160686,0.114185035,0.25941095,0.1611237,160.0,-2.9191282,0.95,800.0,0.13
8,0.84203166,0.11661559,0.2616651,0.16135249,180.0,-4.1086764,0.8,900.0,0.25
9,0.84177446,0.11663642,0.26321703,0.16110428,200.0,-3.4774108,0.75,1000.0,0.29
10,0.84151983,0.11698246,0.26415798,0.1618713,220.0,-2.166245,0.9,1100.0,0.35
11,0.84201366,0.117220946,0.26547444,0.16205685,240.0,-2.0405946,0.8,1200.0,0.28
12,0.84218794,0.11681632,0.26673323,0.16157357,260.0,-1.6564556,0.9,1300.0,0.3
13,0.8418854,0.117362194,0.26749757,0.16123758,280.0,-1.3653076,0.85,1400.0,0.36
14,0.8417738,0.117175214,0.26819608,0.16126944,300.0,-0.95294064,1.0,1500.0,0.26
15,0.8424821,0.11686614,0.26880053,0.16052602,320.0,-0.8425209,0.9,1600.0,0.37
16,0.84263945,0.11591413,0.2689426,0.15996687,340.0,-0.69681376,0.9,1700.0,0.36
17,0.8427374,0.116044216,0.26949036,0.16008854,360.0,-0.56260335,0.9,1800.0,0.32
18,0.84370035,0.115567885,0.27026737,0.1593851,380.0,-0.65637946,0.9,1900.0,0.43
19,0.8439192,0.11499836,0.27070394,0.15877625,400.0,-0.6632908,0.9,2000.0,0.4
20,0.84414786,0.11477997,0.27105168,0.15895067,420.0,-0.8033063,0.85,2100.0,0.39
21,0.8446419,0.11493809,0.2715441,0.15872289,440.0,-0.59918,0.95,2200.0,0.44
22,0.84477043,0.11458371,0.2718271,0.15854788,460.0,-0.58327556,0.95,2300.0,0.46
23,0.8450966,0.11444146,0.27224338,0.15840143,480.0,-0.60113585,0.9,2400.0,0.33
24,0.8452918,0.11394411,0.27259633,0.15797552,500.0,-0.60210127,0.95,2500.0,0.42
25,0.8452833,0.11391944,0.27298278,0.15811573,520.0,-0.5174699,0.95,2600.0,0.38
26,0.84531397,0.11391791,0.2731015,0.1582389,540.0,-0.47390953,0.75,2700.0,0.33
27,0.8451696,0.11375636,0.273178,0.15789026,560.0,-0.603405,0.85,2800.0,0.47
28,0.8450391,0.11381849,0.27348787,0.15762602,580.0,-0.50414693,0.95,2900.0,0.39
29,0.8452167,0.114003606,0.27368644,0.15755032,600.0,-0.4263889,1.0,3000.0,0.38
30,0.845108,0.113702714,0.27400127,0.15750283,620.0,-0.5209362,0.95,3100.0,0.39
31,0.8453261,0.11305058,0.27414235,0.1568965,640.0,-0.7453066,0.95,3200.0,0.42
32,0.8453606,0.11274641,0.2745196,0.15686789,660.0,-0.446729,0.95,3300.0,0.35
33,0.8454165,0.11242035,0.27455086,0.15689762,680.0,-0.59955084,0.95,3400.0,0.4
34,0.84545875,0.1121388,0.27485344,0.15639013,700.0,-0.5433551,0.95,3500.0,0.47
35,0.8456754,0.11206325,0.27501506,0.15630858,720.0,-0.6212218,0.95,3600.0,0.42
36,0.8456454,0.1117129,0.2750328,0.15597714,740.0,-0.70221364,0.9,3700.0,0.46
37,0.8457115,0.111424424,0.27530414,0.15566498,760.0,-0.7321181,0.95,3800.0,0.4
38,0.84587073,0.1112813,0.27545512,0.15562323,780.0,-0.5137228,1.0,3900.0,0.38
39,0.84611267,0.11134764,0.2755856,0.15568699,800.0,-0.61844045,1.0,4000.0,0.44
