# {"t_start": 1589955477.6733968, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,2.375923
-50.0,50,3.561895
-50.0,50,4.610365
-49.0,50,5.649737
-50.0,50,6.692964
-50.0,50,7.743578
-50.0,50,8.802357
-50.0,50,9.864946
-50.0,50,10.950412
-50.0,50,12.011603
-50.0,50,13.073827
-50.0,50,14.14617
-50.0,50,15.21533
-50.0,50,16.288451
-50.0,50,17.311054
-50.0,50,18.37447
-50.0,50,19.427913
-50.0,50,20.498919
-49.0,50,21.562594
-50.0,50,22.640882
-50.0,50,23.73274
-48.0,50,24.81182
-49.0,50,25.935247
-50.0,50,27.014546
-50.0,50,28.091847
-50.0,50,29.164192
-48.0,50,30.248472
-50.0,50,31.333323
-50.0,50,32.423886
-47.0,50,33.531839
-48.0,50,34.626781
-48.0,50,35.72862
-50.0,50,36.837769
-50.0,50,37.956415
-50.0,50,39.067656
-50.0,50,40.203867
-50.0,50,41.352104
-49.0,50,42.457413
-50.0,50,43.575822
-48.0,50,44.689475
-47.0,50,45.813991
-50.0,50,46.939113
-48.0,50,48.071037
-47.0,50,49.162068
-48.0,50,50.240311
-48.0,50,51.392979
-48.0,50,52.507551
-48.0,50,53.628577
-48.0,50,54.756108
-48.0,50,55.90596
-48.0,50,57.063719
-48.0,50,57.247531
-48.0,50,57.426631
-48.0,50,57.606938
-48.0,50,57.789566
-48.0,50,57.999037
-48.0,50,58.181377
-48.0,50,58.358398
-48.0,50,58.541738
-48.0,50,58.723243
-48.0,50,58.946077
-48.0,50,60.06418
-47.0,50,61.168414
-48.0,50,62.298133
-48.0,50,63.435932
-48.0,50,64.587026
-47.0,50,65.772537
-48.0,50,66.912696
-48.0,50,68.06555
-50.0,50,69.203475
-48.0,50,70.337773
-48.0,50,71.486543
-48.0,50,72.620652
-47.0,50,73.7728
-47.0,50,74.936383
-48.0,50,76.096513
-47.0,50,77.258038
-48.0,50,78.426744
-48.0,50,79.572936
-48.0,50,80.697447
-48.0,50,81.858896
-48.0,50,82.962125
-47.0,50,84.126647
-48.0,50,85.269101
-48.0,50,86.412091
-48.0,50,87.571519
-47.0,50,88.710696
-48.0,50,89.858133
-47.0,50,91.009367
-48.0,50,92.191192
-48.0,50,93.353531
-48.0,50,94.453706
-48.0,50,95.598432
-44.0,50,96.745864
-48.0,50,97.895411
-48.0,50,99.037796
-46.0,50,100.170913
-48.0,50,101.313398
-48.0,50,102.469425
-48.0,50,103.641057
-48.0,50,104.825228
-48.0,50,105.972373
-48.0,50,107.147716
-49.0,50,108.338423
-48.0,50,109.52757
-48.0,50,110.713882
-48.0,50,111.879295
-48.0,50,113.045514
-48.0,50,114.206304
-47.0,50,115.381808
-43.0,50,116.580333
-48.0,50,116.767951
-48.0,50,116.961601
-28.0,50,117.146585
-9.0,50,117.342718
-48.0,50,117.556185
-48.0,50,117.740852
-48.0,50,117.947088
-48.0,50,118.129401
-47.0,50,118.345708
-48.0,50,118.522417
-47.0,50,119.682852
-48.0,50,120.835778
-47.0,50,122.006412
-48.0,50,123.170809
-47.0,50,124.323364
-39.0,50,125.440045
-10.0,50,126.614591
-47.0,50,127.795614
-48.0,50,128.959682
-48.0,50,130.130648
-48.0,50,131.289146
-48.0,50,132.461958
-38.0,50,133.633261
-48.0,50,134.753389
-48.0,50,135.913496
-48.0,50,137.032681
-47.0,50,138.155041
-48.0,50,139.334018
-48.0,50,140.504913
-49.0,50,141.678012
-48.0,50,142.870517
-48.0,50,144.064286
-47.0,50,145.262226
-48.0,50,146.450347
-48.0,50,147.623245
-48.0,50,148.812402
-47.0,50,150.001652
-47.0,50,151.186844
-47.0,50,152.350964
-48.0,50,153.532241
-48.0,50,154.713735
-47.0,50,155.881738
-48.0,50,157.05385
-47.0,50,158.242168
-35.0,50,159.41893
-48.0,50,160.607768
-47.0,50,161.789109
-48.0,50,162.95358
-47.0,50,164.0572
-47.0,50,165.234392
-48.0,50,166.403558
-47.0,50,167.581244
-48.0,50,168.75179
-47.0,50,169.951609
-48.0,50,171.111287
-48.0,50,172.277889
-47.0,50,173.446339
-47.0,50,174.626743
-48.0,50,175.792835
-35.0,50,176.989761
-29.0,50,177.194242
-29.0,50,177.390248
-21.0,50,177.589285
-31.0,50,177.787189
-28.0,50,177.982108
-20.0,50,178.178198
-44.0,50,178.376257
-48.0,50,178.593106
-24.0,50,178.795139
-48.0,50,178.984711
-48.0,50,180.193596
-48.0,50,181.375993
-48.0,50,182.559278
-47.0,50,183.743665
-47.0,50,184.901725
-47.0,50,186.090737
-47.0,50,187.274927
-48.0,50,188.434928
-47.0,50,189.61774
-48.0,50,190.753458
-48.0,50,191.944734
-48.0,50,193.118914
-48.0,50,194.29336
-48.0,50,195.471025
-48.0,50,196.608486
-47.0,50,197.777683
-17.0,50,198.980191
-48.0,50,200.118368
-47.0,50,201.22191
-48.0,50,202.404746
-47.0,50,203.584455
-47.0,50,204.787214
-48.0,50,205.98516
-47.0,50,207.093349
-48.0,50,208.285951
-47.0,50,209.464186
-48.0,50,210.655632
-47.0,50,211.842841
-48.0,50,213.01956
-48.0,50,214.195908
-48.0,50,215.370821
-47.0,50,216.540392
-48.0,50,217.695384
-19.0,50,218.804194
-49.0,50,219.992857
-45.0,50,221.185451
-47.0,50,222.35143
-47.0,50,223.536659
-48.0,50,224.725077
-48.0,50,225.909289
-48.0,50,227.093469
-47.0,50,228.260943
-48.0,50,229.437756
-47.0,50,230.586604
-48.0,50,231.755554
-48.0,50,232.946251
-47.0,50,234.098594
-49.0,50,235.302044
-47.0,50,236.425327
-47.0,50,237.545959
-8.0,50,237.75981
-10.0,50,237.963375
-30.0,50,238.164193
-6.0,50,238.362068
-47.0,50,238.562081
-11.0,50,238.772449
-5.0,50,238.986419
-48.0,50,239.193958
-13.0,50,239.39409
-15.0,50,239.601104
-50.0,50,240.799084
-47.0,50,241.979682
-47.0,50,243.169391
-48.0,50,244.365964
-47.0,50,245.568141
-48.0,50,246.747546
-48.0,50,247.923403
-15.0,50,249.111821
-47.0,50,250.296252
-48.0,50,251.477004
-48.0,50,252.659159
-20.0,50,253.865115
-48.0,50,255.05962
-21.0,50,256.224686
