# {"t_start": 1587886970.5247314, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-7.67433,50,2.337905
-4.657357,50,3.554481
-10.917325,50,4.685616
-10.547828,50,5.808216
-8.566616,50,6.957524
-4.995488,50,8.112837
-8.604547,50,9.305256
-8.740285,50,10.507643
-7.766029,50,11.762098
-8.676303,50,12.971861
-5.82431,50,14.214317
-1.352826,50,15.527864
-10.184138,50,16.800728
-8.10776,50,18.081574
-4.562344,50,19.357462
-5.546991,50,20.646697
-6.951582,50,21.975498
-12.02833,50,23.33211
-5.100335,50,24.676289
-5.703834,50,26.0311
-5.02969,50,27.382011
0.012486,50,28.720873
-9.723632,50,30.04829
-5.938803,50,31.386039
-0.383928,50,32.750427
-5.030708,50,34.123794
-8.488938,50,35.49749
-5.330771,50,36.90256
0.015205,50,38.314913
-6.796641,50,39.709214
-7.821647,50,41.109462
-4.166148,50,42.545621
-5.767959,50,44.010474
-5.505716,50,45.481799
-8.076831,50,46.959998
2.841306,50,48.471683
-7.690173,50,49.966769
-9.068345,50,51.478354
-8.319615,50,53.006642
-7.301814,50,54.535214
-7.376149,50,56.07047
-2.056887,50,57.609223
-5.803382,50,59.17253
2.75062,50,60.767421
-3.682045,50,62.343892
-4.300311,50,63.950962
-9.390986,50,65.560212
-0.807444,50,67.162054
-5.018227,50,68.792831
-6.829824,50,70.444124
-3.81816,50,72.187437
-3.213197,50,72.369796
2.820365,50,72.549173
-1.082097,50,72.730261
-4.381798,50,72.916413
2.797762,50,73.091171
-0.393866,50,73.267897
-3.125686,50,73.453648
-4.283172,50,73.635625
-4.478262,50,73.81538
-0.589725,50,74.037015
-8.457049,50,75.783376
-3.246315,50,77.472891
-3.788547,50,79.171612
-5.1515,50,80.899695
-4.214648,50,82.634804
-4.819916,50,84.382294
-3.931459,50,86.127735
-4.443306,50,87.890269
-5.176923,50,89.682318
4.437681,50,91.479132
-4.38557,50,93.253199
3.924291,50,95.082438
-1.963322,50,96.938193
-1.840022,50,98.756546
0.887243,50,100.595055
-5.76097,50,102.457368
-0.170019,50,104.314397
3.00662,50,106.161548
-0.958802,50,108.030422
2.565719,50,109.974074
-4.862024,50,111.870533
-1.323918,50,113.781359
-3.519385,50,115.709027
-1.550371,50,117.639958
4.433636,50,119.601584
0.756524,50,121.546235
3.230755,50,123.519847
4.788392,50,125.510951
6.053658,50,127.498363
-0.565197,50,129.509468
-3.446278,50,131.555478
-3.454304,50,133.577234
0.074586,50,135.605565
-0.230285,50,137.669219
4.56861,50,139.723055
3.874238,50,141.811291
0.468146,50,143.892144
0.6305,50,145.982671
3.852758,50,148.062856
2.563895,50,150.189847
-2.166558,50,152.317514
6.690985,50,154.453189
4.512022,50,156.605412
3.523398,50,158.738469
1.488532,50,160.890725
-3.229123,50,163.051603
1.970876,50,165.248388
2.853803,50,167.443891
0.469248,50,169.648842
-2.35656,50,171.889887
-1.166817,50,172.084021
4.154669,50,172.274628
5.090398,50,172.457369
-0.471779,50,172.633795
5.036559,50,172.826621
1.771708,50,173.006219
6.030267,50,173.190217
2.031942,50,173.373011
4.373079,50,173.554781
4.368245,50,173.726713
-4.700194,50,175.928919
1.16022,50,178.149202
1.274932,50,180.387408
1.253089,50,182.638516
-4.862965,50,184.90156
0.036948,50,187.191024
3.660702,50,189.475091
5.144459,50,191.778028
-16.502109,50,194.065161
-0.600161,50,196.363729
2.355693,50,198.685446
-3.674972,50,201.01318
1.951988,50,203.336343
5.308354,50,205.666719
0.999494,50,208.014569
-2.037702,50,210.374212
2.700301,50,212.72701
6.223528,50,215.112657
-0.268805,50,217.491694
5.881471,50,219.882813
1.608517,50,222.284254
-0.699037,50,224.69785
-5.099391,50,227.124828
5.750863,50,229.569453
2.068579,50,232.006311
5.047757,50,234.486305
6.465245,50,236.930984
4.69288,50,239.397524
4.128177,50,241.873331
4.971674,50,244.384206
-0.262287,50,246.88091
-7.150581,50,249.380381
-4.239084,50,251.905018
0.869409,50,254.446586
-8.680226,50,256.988488
3.465878,50,259.526237
2.112658,50,262.075728
2.169068,50,264.658862
5.842772,50,267.226839
-3.807815,50,269.807328
5.181277,50,272.416799
0.284409,50,275.023769
-4.103362,50,277.62795
-0.770288,50,280.240104
2.979545,50,282.861811
2.789496,50,285.496956
-0.382763,50,288.131834
1.129488,50,290.777702
5.196589,50,293.449207
6.48347,50,296.148978
4.361993,50,296.35423
-0.900988,50,296.536684
-5.624817,50,296.740221
7.626384,50,296.934466
6.88135,50,297.11547
-1.448282,50,297.299863
1.744533,50,297.491237
8.379179,50,297.672529
4.915543,50,297.852717
5.256279,50,298.036283
3.32603,50,300.71512
-5.933945,50,303.415726
3.994448,50,306.110698
5.158629,50,308.811585
0.914041,50,311.514696
-1.89169,50,314.240329
1.161288,50,316.966118
-3.644487,50,319.72204
0.721028,50,322.472916
6.845553,50,325.268967
5.102971,50,328.049244
4.908733,50,330.831654
4.242168,50,333.617227
-2.170967,50,336.4289
0.781543,50,339.244468
4.597971,50,342.043728
1.621917,50,344.878493
1.787227,50,347.715733
2.501965,50,350.570103
4.241645,50,353.408031
1.455625,50,356.240568
1.402242,50,359.120019
1.015273,50,362.001091
2.099724,50,364.87894
3.417001,50,367.791247
3.476951,50,370.673604
-0.815177,50,373.5897
-4.117786,50,376.52123
5.843995,50,379.471305
2.374495,50,382.423117
1.527037,50,385.371735
5.531835,50,388.32508
5.3105,50,391.284229
3.268836,50,394.229592
-1.372567,50,397.237419
-3.494944,50,400.228472
3.598586,50,403.227351
2.717404,50,406.218923
2.635889,50,409.23946
0.671985,50,412.288345
3.93528,50,415.332058
0.532303,50,418.381979
2.031923,50,421.431461
-4.583235,50,424.489557
2.084416,50,427.549762
5.479834,50,430.634903
1.293047,50,433.711076
-0.646385,50,436.822849
-1.968083,50,439.941147
5.91256,50,443.052958
2.114773,50,443.264013
1.838952,50,443.456536
5.838559,50,443.657315
1.402398,50,443.846064
2.044269,50,444.031014
5.986248,50,444.21464
-0.961855,50,444.408173
4.671221,50,444.597215
4.827742,50,444.801421
3.170988,50,444.990315
5.981715,50,448.113391
3.417803,50,451.239197
1.652369,50,454.366392
4.838271,50,457.519762
1.729778,50,460.664722
-0.880292,50,463.811508
4.805643,50,466.973071
2.760185,50,470.148286
6.285685,50,473.323225
6.845955,50,476.526996
-4.100126,50,479.735067
-4.747272,50,482.929052
4.401014,50,486.160352
5.405974,50,489.363406
-3.853077,50,492.619756
1.286754,50,495.851226
-3.439132,50,499.072307
-2.70102,50,502.331262
-2.112137,50,505.61398
3.792612,50,508.895549
5.46803,50,512.176617
-4.124846,50,515.448328
-0.735381,50,518.742013
0.817523,50,522.056612
-0.181818,50,525.379481
1.872467,50,528.717403
2.816323,50,532.038226
5.134103,50,535.371991
3.828529,50,538.694048
1.685501,50,541.993274
6.283055,50,545.311452
-14.648997,50,548.667035
6.507366,50,552.046749
1.630201,50,555.451601
-2.313782,50,558.85253
0.527837,50,562.244926
4.437356,50,565.685608
5.681875,50,569.115903
3.990681,50,572.581791
1.159123,50,576.033294
3.804292,50,579.523362
-1.684604,50,582.973643
3.158644,50,586.426989
0.877151,50,589.90708
5.464701,50,593.414259
-0.214394,50,596.910392
1.68774,50,600.468618
0.883085,50,603.994753
1.202297,50,607.549182
6.523549,50,611.086065
5.009213,50,611.268542
2.358355,50,611.464396
2.81047,50,611.644083
8.728302,50,611.830598
-0.170303,50,612.005049
5.676956,50,612.187807
0.534275,50,612.377745
8.493038,50,612.564609
7.968347,50,612.754715
-1.055557,50,612.93285
3.047154,50,616.471592
0.11151,50,620.031672
3.543615,50,623.610835
3.060426,50,627.187469
7.701165,50,630.773248
3.641279,50,634.33162
-1.474592,50,637.960859
4.379352,50,641.54103
1.340913,50,645.146911
-4.868517,50,648.777345
3.77275,50,652.393881
3.048979,50,656.024569
-5.661266,50,659.677262
-2.332326,50,663.33408
-2.245558,50,666.974492
-1.112957,50,670.636438
-1.783413,50,674.31035
-1.306212,50,677.984628
4.076657,50,681.652457
1.166389,50,685.365797
5.886703,50,689.07304
1.311528,50,692.788699
2.103958,50,696.5147
1.60016,50,700.244373
5.419509,50,703.985804
2.127592,50,707.728378
2.445498,50,711.497747
-7.093801,50,715.267906
3.208432,50,719.04713
-6.255986,50,722.832384
-4.341963,50,726.632672
5.444948,50,730.424554
4.70482,50,734.227552
7.788576,50,738.029754
-2.581036,50,741.860363
2.202577,50,745.706195
7.891922,50,749.57021
5.1451,50,753.417529
7.726791,50,757.271329
-7.688027,50,761.110072
-3.799148,50,764.991573
-0.032873,50,768.86168
1.120218,50,772.756796
0.670194,50,776.675837
2.115827,50,780.606688
2.675383,50,784.555476
-3.418464,50,788.474376
-0.713905,50,792.391764
5.528807,50,796.302697
-2.768035,50,800.286388
6.550036,50,800.492134
3.326858,50,800.688702
-6.959534,50,800.874845
7.88632,50,801.071833
-1.847851,50,801.258079
7.060781,50,801.453003
6.715336,50,801.642605
5.553005,50,801.832302
8.474346,50,802.018832
0.980289,50,802.202231
2.397974,50,806.182229
-0.056437,50,810.147846
2.263808,50,814.099265
-0.342112,50,818.09447
-6.606016,50,822.074207
3.80366,50,826.086405
-3.704638,50,830.117871
3.845125,50,834.122799
2.946621,50,838.123214
-3.74377,50,842.17017
6.122251,50,846.221104
-0.783594,50,850.258662
-6.350126,50,854.299201
-1.321312,50,858.375455
2.608778,50,862.442567
-4.730972,50,866.504943
4.035311,50,870.575592
3.231286,50,874.666035
-0.855716,50,878.746351
-4.685972,50,882.870189
5.845059,50,887.011256
1.49773,50,891.124286
-0.452638,50,895.283341
-0.714251,50,899.452969
7.744594,50,903.602868
4.094141,50,907.764396
5.011398,50,911.930707
6.128851,50,916.125884
-4.565093,50,920.323787
-10.388318,50,924.550359
3.267552,50,928.763821
2.946246,50,932.985033
