epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85329956,0.0701398,0.19788533,0.07417125,20.0,-0.2789045,0.0,100.0,0.02
1,0.84987146,0.07389189,0.2046613,0.09579524,40.0,-0.5453267,0.2,200.0,0.04
2,0.8482314,0.08078058,0.21071258,0.114124455,60.0,-0.64918786,0.35,300.0,0.01
3,0.84803486,0.084017105,0.21561338,0.12069959,80.0,-0.6991935,0.4,400.0,0.04
4,0.84747607,0.08506113,0.21753968,0.1265154,100.0,-0.8222998,0.35,500.0,0.12
5,0.8474757,0.085000984,0.2198347,0.12923178,120.0,-0.8376056,0.3,600.0,0.06
6,0.84841734,0.08630162,0.22246678,0.13072015,140.0,-0.8892024,0.35,700.0,0.05
7,0.8484644,0.08684224,0.22316258,0.13183501,160.0,-1.0861238,0.15,800.0,0.03
8,0.848746,0.0874706,0.22323659,0.1335826,180.0,-1.4343915,0.35,900.0,0.04
9,0.84869164,0.088957995,0.22416231,0.13508537,200.0,-1.3899288,0.3,1000.0,0.07
10,0.84839505,0.089467786,0.22425705,0.1364698,220.0,-1.9029557,0.1,1100.0,0.05
11,0.8484419,0.09015139,0.22473875,0.13740446,240.0,-2.4548314,0.1,1200.0,0.1
12,0.84817725,0.09087209,0.22508179,0.13750719,260.0,-2.626527,0.1,1300.0,0.08
13,0.84751755,0.09157827,0.2252037,0.13834292,280.0,-2.5377827,0.3,1400.0,0.08
14,0.8474998,0.09242087,0.22564802,0.13923696,300.0,-2.4515681,0.35,1500.0,0.03
15,0.8475464,0.093129106,0.22596973,0.13980511,320.0,-3.0527759,0.15,1600.0,0.05
16,0.8472685,0.09364603,0.22635253,0.14007378,340.0,-1.9725765,0.4,1700.0,0.06
17,0.8472748,0.09376944,0.22624129,0.14127748,360.0,-2.3147748,0.4,1800.0,0.07
18,0.84720635,0.093964934,0.22632265,0.14099908,380.0,-2.8534522,0.4,1900.0,0.07
19,0.847233,0.09443277,0.22626352,0.14104794,400.0,-2.8679862,0.3,2000.0,0.1
20,0.8471406,0.09512923,0.22635467,0.14122915,420.0,-1.7487724,0.5,2100.0,0.12
21,0.84738094,0.095123865,0.22661288,0.14090076,440.0,-3.5985007,0.2,2200.0,0.07
22,0.84723276,0.09551975,0.22696385,0.14132856,460.0,-3.2758129,0.05,2300.0,0.04
23,0.84727734,0.09560046,0.22723068,0.14165324,480.0,-2.1523864,0.45,2400.0,0.07
24,0.8474648,0.09531114,0.22724383,0.14180464,500.0,-1.621928,0.5,2500.0,0.05
25,0.8472652,0.09566366,0.2271772,0.14236373,520.0,-3.157989,0.5,2600.0,0.02
26,0.8471098,0.09593827,0.22703356,0.14237621,540.0,-2.5287225,0.45,2700.0,0.04
27,0.84712124,0.09607947,0.22724067,0.14267792,560.0,-2.5335681,0.5,2800.0,0.07
28,0.84723777,0.096908115,0.22715189,0.14345172,580.0,-3.8717284,0.15,2900.0,0.06
29,0.847341,0.09728491,0.2271078,0.14388767,600.0,-2.9895694,0.4,3000.0,0.07
30,0.84733105,0.09773358,0.22723976,0.14394315,620.0,-2.3183465,0.5,3100.0,0.06
31,0.8472858,0.09755075,0.22704266,0.14367855,640.0,-2.565747,0.45,3200.0,0.04
32,0.8473534,0.09781764,0.22691199,0.14377591,660.0,-1.7225721,0.7,3300.0,0.01
33,0.8474245,0.09805426,0.22697832,0.14383791,680.0,-2.8723505,0.45,3400.0,0.09
34,0.8473358,0.09797587,0.22708696,0.14388217,700.0,-1.7870657,0.4,3500.0,0.02
35,0.8475418,0.09822179,0.22706658,0.14367951,720.0,-3.366464,0.25,3600.0,0.1
36,0.84749216,0.098370425,0.22714853,0.14363612,740.0,-1.9831203,0.35,3700.0,0.09
37,0.84727097,0.09865728,0.2270959,0.1434945,760.0,-2.1627297,0.3,3800.0,0.07
38,0.8472405,0.09875659,0.22715965,0.14369173,780.0,-2.2274923,0.1,3900.0,0.07
39,0.84721184,0.09863234,0.22718877,0.1438867,800.0,-1.6785625,0.3,4000.0,0.09
