# {"t_start": 1587910249.6504345, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
10.598314,50,2.424028
19.339257,50,3.686525
14.499782,50,4.856984
18.692927,50,6.034572
16.539526,50,7.128279
16.730087,50,8.256466
16.196245,50,9.437598
17.434218,50,10.667499
12.899372,50,11.903953
17.078421,50,13.126201
13.840527,50,14.434265
18.664581,50,15.739245
13.680051,50,17.159021
18.950238,50,18.540716
17.022168,50,19.94884
13.733674,50,21.362581
10.322843,50,22.749202
14.50413,50,24.166735
13.630303,50,25.556896
15.651978,50,26.950268
17.492647,50,28.348784
14.049379,50,29.79516
16.112492,50,31.162542
19.201135,50,32.58389
16.887114,50,34.010842
19.93363,50,35.442243
17.17768,50,36.953638
14.312415,50,38.489428
13.734517,50,39.855827
14.955795,50,41.262804
14.361118,50,42.688085
15.656134,50,44.376919
14.98996,50,46.018768
18.490225,50,47.557878
12.017813,50,49.07184
20.482593,50,50.614568
18.088636,50,52.172057
12.04939,50,53.674485
16.50934,50,55.271276
18.491435,50,56.871142
13.915054,50,58.499233
18.677808,50,60.118606
10.470722,50,61.770333
15.670028,50,63.452419
15.223905,50,65.125831
10.433877,50,66.896599
19.198263,50,68.663562
15.604344,50,70.391484
15.00871,50,72.122264
13.722111,50,73.77771
17.277963,50,75.498781
18.201015,50,75.670227
16.914305,50,75.84414
18.361501,50,76.01061
16.949245,50,76.180264
17.130096,50,76.349969
16.990575,50,76.517727
16.891182,50,76.685064
17.296182,50,76.853554
16.528103,50,77.020073
16.688295,50,77.229476
11.148456,50,78.877307
17.353778,50,80.621489
15.556232,50,82.331134
16.503586,50,84.039954
18.671725,50,85.787607
11.370243,50,87.52511
14.851728,50,89.253811
14.351668,50,91.009189
14.776675,50,92.830518
13.47237,50,94.809072
17.429064,50,96.899837
14.592424,50,98.881419
15.841474,50,100.975942
15.283534,50,103.119763
13.538945,50,105.255726
10.696899,50,107.260791
17.008244,50,109.188088
18.324837,50,111.384831
19.031744,50,113.290206
13.03425,50,115.371134
17.000457,50,117.241166
15.76499,50,119.146924
14.404416,50,121.17476
12.652179,50,123.254753
15.330465,50,125.359473
16.795501,50,127.405633
10.9591,50,129.797541
14.34455,50,131.753221
12.890254,50,133.938005
14.715454,50,135.931739
11.579278,50,137.915004
14.738172,50,139.931239
15.669363,50,142.178587
14.617943,50,144.53763
18.118476,50,146.882372
12.830005,50,149.151354
12.868492,50,151.569237
17.789819,50,153.877506
14.024541,50,156.076912
15.431295,50,158.422776
16.914986,50,160.74112
18.803517,50,163.02269
14.293593,50,165.134512
18.316746,50,167.273908
16.631034,50,169.383063
18.251899,50,171.527812
14.045633,50,173.694493
11.259907,50,175.851387
19.645289,50,177.99475
16.560819,50,180.252261
16.516318,50,180.420737
18.242398,50,180.635058
16.205261,50,180.841817
16.686456,50,181.037183
16.309393,50,181.219234
17.013114,50,181.435755
14.825877,50,181.63465
18.312303,50,181.801101
18.354356,50,181.969105
17.73553,50,182.141286
10.084236,50,184.325721
17.797509,50,186.602687
10.767107,50,189.084242
17.180461,50,191.410864
18.479539,50,193.728796
19.410828,50,196.002588
12.511087,50,198.327866
16.110901,50,200.615317
16.530563,50,202.908384
11.525721,50,205.162144
15.927385,50,207.395387
16.861106,50,209.654724
11.257867,50,211.918599
12.646713,50,214.219303
11.060174,50,216.516288
14.554557,50,218.85016
12.128659,50,221.279088
17.741813,50,223.646582
16.008541,50,226.021996
18.665574,50,228.464993
13.492311,50,230.934379
13.835706,50,233.332334
13.990828,50,235.755196
17.178717,50,238.167917
17.810504,50,240.630923
18.763308,50,243.081868
18.310479,50,245.534802
13.083459,50,247.975
16.279187,50,250.574555
12.554991,50,253.109489
14.234334,50,255.593013
14.322388,50,258.094514
14.850282,50,260.726799
16.622887,50,263.206989
17.181985,50,265.734436
19.861942,50,268.23582
15.598133,50,270.863648
16.44288,50,273.460105
20.090113,50,276.070351
11.184385,50,278.804434
17.201192,50,281.600061
14.465175,50,284.42613
17.187074,50,287.189301
15.703612,50,289.902272
11.388261,50,292.679763
13.78108,50,295.470856
14.266434,50,298.292984
18.370064,50,301.036903
14.08832,50,303.695002
16.95051,50,306.319767
15.854262,50,306.489279
18.499913,50,306.659209
16.436015,50,306.848054
16.117163,50,307.015732
17.02894,50,307.195786
17.441766,50,307.378523
18.300528,50,307.545193
17.223654,50,307.730356
16.724298,50,307.906268
17.944056,50,308.083019
14.245419,50,310.851694
14.213008,50,313.888684
9.148648,50,316.596225
16.197362,50,319.34689
18.131817,50,322.107875
16.148376,50,324.880597
13.699477,50,327.6956
15.841515,50,330.502653
17.349124,50,333.300671
15.351968,50,336.084622
15.336061,50,338.888484
11.0686,50,341.691796
15.623894,50,344.512093
15.289527,50,347.335057
18.188804,50,350.176713
14.654805,50,353.073976
17.47892,50,355.984629
13.078321,50,358.985377
20.66624,50,361.960067
18.503591,50,364.951992
15.747495,50,368.041662
11.553838,50,371.053511
19.769892,50,374.085681
11.237404,50,377.003824
14.972159,50,380.036066
15.644257,50,383.054455
14.898689,50,386.164592
17.39545,50,389.575461
13.737455,50,393.082338
16.037507,50,396.493349
11.969813,50,399.930812
14.443896,50,403.342165
16.871467,50,406.43687
20.164909,50,409.600218
17.122769,50,412.729909
13.317712,50,415.919967
18.754478,50,419.117926
17.376565,50,422.319006
15.768121,50,425.716572
16.940093,50,428.940815
13.858303,50,432.209426
24.807343,50,435.524166
14.497843,50,438.680029
19.988498,50,441.869841
16.386422,50,445.084066
19.749818,50,448.297547
15.441592,50,451.578902
14.206623,50,454.815261
15.255856,50,458.122474
14.473501,50,461.469837
16.780137,50,461.665624
14.53863,50,461.850969
17.63964,50,462.020305
17.049331,50,462.203628
17.29939,50,462.381137
16.751891,50,462.551788
17.361233,50,462.736064
18.305628,50,462.925329
17.352382,50,463.100684
18.301044,50,463.287464
17.230424,50,466.558389
15.524459,50,469.863095
13.267736,50,473.140871
12.832892,50,476.433982
16.189192,50,479.81427
18.2244,50,483.350534
13.855231,50,486.768521
13.645967,50,490.034792
17.365707,50,493.381241
18.580678,50,496.74202
15.015896,50,500.124406
19.894798,50,503.461712
15.812365,50,506.851125
16.711081,50,510.525493
16.230717,50,514.311615
17.855315,50,517.675292
16.463251,50,521.012494
14.084406,50,524.440743
15.348966,50,527.849292
18.363979,50,531.293693
17.881355,50,534.686982
19.629994,50,538.280571
16.131934,50,541.794883
20.131494,50,545.327146
19.324983,50,548.917108
14.008774,50,552.490085
16.684569,50,555.963903
17.217464,50,559.448806
16.280917,50,563.020839
13.977532,50,566.719501
14.426692,50,570.30795
15.539966,50,573.904613
17.399651,50,577.47185
17.009507,50,581.107967
15.024603,50,585.031526
14.294365,50,588.964459
15.157935,50,592.811598
15.835791,50,596.702935
17.935302,50,600.461272
12.863052,50,604.225662
19.954976,50,607.933886
13.992458,50,611.964602
13.490274,50,615.614767
16.438027,50,619.376664
15.875424,50,623.020953
10.43795,50,627.205175
15.165036,50,631.237104
12.798343,50,634.992789
16.498818,50,638.756732
16.551763,50,642.520288
16.222776,50,642.711898
18.080577,50,642.896628
15.596129,50,643.076463
15.067234,50,643.249839
17.161162,50,643.440455
14.787985,50,643.614342
16.287003,50,643.804099
17.723448,50,643.981194
16.779093,50,644.159966
16.879047,50,644.346692
15.608979,50,648.095944
13.906675,50,652.051616
17.677106,50,655.802534
18.093707,50,659.578269
14.185626,50,663.441159
15.824163,50,667.300324
16.66101,50,671.20301
14.771287,50,675.095408
15.196374,50,679.014218
16.414877,50,682.776895
