epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86029625,0.10295355,0.25028408,0.096548066,20.0,-1.5734626,0.0,40.0,0.0
1,0.85844064,0.11259209,0.25202376,0.114528894,40.0,-2.0364518,0.2,80.0,0.05
2,0.85394454,0.1127102,0.2519546,0.12173787,60.0,-2.2657008,0.3,120.0,0.025
3,0.8530441,0.1127556,0.25086153,0.12542261,80.0,-3.3236053,0.1,160.0,0.075
4,0.8520672,0.118073195,0.25160566,0.12852381,100.0,-3.499691,0.2,200.0,0.025
5,0.8489766,0.12308404,0.25193074,0.13453777,120.0,-4.4068418,0.0,240.0,0.075
6,0.84921306,0.12952213,0.25450665,0.14110067,140.0,-4.5764685,0.15,280.0,0.025
7,0.8466323,0.13556546,0.25500154,0.14377838,160.0,-5.1096916,0.1,320.0,0.0
8,0.84737587,0.13823107,0.25433993,0.1465273,180.0,-6.3304176,0.0,360.0,0.0
9,0.8472018,0.13760193,0.25485176,0.14741375,200.0,-6.26202,0.05,400.0,0.0
10,0.8463273,0.13682936,0.2556623,0.14823116,220.0,-7.1013308,0.0,440.0,0.025
11,0.84522676,0.13726787,0.25533503,0.1490903,240.0,-7.5748353,0.1,480.0,0.0
12,0.84532946,0.13587317,0.25603908,0.1492134,260.0,-8.150429,0.05,520.0,0.0
13,0.84404874,0.13698284,0.25596255,0.1505514,280.0,-8.82223,0.0,560.0,0.0
14,0.8435312,0.1357598,0.25569615,0.1513725,300.0,-8.690774,0.0,600.0,0.0
15,0.8432937,0.13877623,0.25624073,0.15384583,320.0,-8.412575,0.05,640.0,0.0
16,0.84327716,0.13850941,0.25630167,0.15536514,340.0,-8.586666,0.0,680.0,0.025
17,0.84347326,0.13825227,0.25624323,0.15540923,360.0,-9.398031,0.0,720.0,0.0
18,0.84424615,0.13701364,0.25609702,0.15566924,380.0,-10.092278,0.05,760.0,0.025
19,0.8444683,0.13847758,0.2560159,0.15793635,400.0,-10.798602,0.0,800.0,0.0
20,0.8444779,0.1389891,0.25654238,0.15899695,420.0,-8.665419,0.0,840.0,0.025
21,0.8442871,0.14000346,0.25633666,0.15925662,440.0,-10.966185,0.0,880.0,0.025
22,0.8445997,0.14028281,0.25652924,0.1595772,460.0,-10.9241085,0.05,920.0,0.025
23,0.84487486,0.13925152,0.25735003,0.16036966,480.0,-12.225006,0.0,960.0,0.05
24,0.84422356,0.14113629,0.2574849,0.16203617,500.0,-10.410726,0.0,1000.0,0.0
25,0.8446398,0.14186798,0.25791442,0.16230823,520.0,-10.57765,0.1,1040.0,0.025
26,0.8446954,0.1412772,0.2581372,0.16229226,540.0,-11.474456,0.05,1080.0,0.025
27,0.84434944,0.14129175,0.25782216,0.16313528,560.0,-12.505766,0.15,1120.0,0.1
28,0.84466887,0.14119793,0.25771043,0.16414969,580.0,-13.56265,0.0,1160.0,0.0
29,0.8442225,0.14083123,0.257714,0.16397783,600.0,-14.254602,0.0,1200.0,0.0
30,0.84424233,0.14103861,0.25782147,0.16449007,620.0,-14.837492,0.05,1240.0,0.0
31,0.8442376,0.14030632,0.25755236,0.16430901,640.0,-14.07682,0.0,1280.0,0.025
32,0.8440556,0.14021607,0.2575503,0.16403586,660.0,-15.741934,0.05,1320.0,0.05
33,0.84327096,0.14185677,0.25738046,0.16553713,680.0,-15.61942,0.0,1360.0,0.0
34,0.84349537,0.14170392,0.2574102,0.16574118,700.0,-16.61661,0.0,1400.0,0.05
35,0.8435872,0.14169066,0.2576812,0.16610852,720.0,-15.891864,0.05,1440.0,0.0
36,0.84346515,0.14083527,0.25790483,0.16581482,740.0,-17.318136,0.05,1480.0,0.025
37,0.8430197,0.14097609,0.2579083,0.16610408,760.0,-17.382542,0.0,1520.0,0.025
38,0.84273815,0.14116816,0.25800136,0.16645285,780.0,-17.788261,0.0,1560.0,0.025
39,0.84282833,0.1406904,0.258316,0.1663879,800.0,-15.543203,0.0,1600.0,0.025
40,0.84212357,0.14091831,0.25832525,0.16683324,820.0,-16.333141,0.0,1640.0,0.025
41,0.84197235,0.1410761,0.2579484,0.16728875,840.0,-17.72349,0.0,1680.0,0.0
42,0.84199065,0.14103508,0.25808328,0.16747577,860.0,-19.798475,0.0,1720.0,0.0
43,0.84201,0.14133678,0.25821668,0.16774656,880.0,-18.544682,0.0,1760.0,0.0
44,0.8419871,0.14206699,0.25851843,0.1680323,900.0,-17.595852,0.0,1800.0,0.0
45,0.8417039,0.14260079,0.2584425,0.16857354,920.0,-14.878052,0.05,1840.0,0.0
46,0.8411022,0.14393078,0.25858238,0.16898264,940.0,-19.312035,0.0,1880.0,0.0
47,0.84084255,0.1435883,0.2586726,0.16868092,960.0,-17.370953,0.0,1920.0,0.0
48,0.8407267,0.14393376,0.25873515,0.16859287,980.0,-18.69635,0.05,1960.0,0.025
49,0.840844,0.14431798,0.25897333,0.16846903,1000.0,-19.000372,0.0,2000.0,0.0
50,0.84055644,0.14582138,0.25926524,0.16925247,1020.0,-20.211763,0.0,2040.0,0.025
51,0.84026766,0.14609174,0.2591244,0.1695849,1040.0,-18.433022,0.0,2080.0,0.025
52,0.84006447,0.1466013,0.25912523,0.1698003,1060.0,-20.792437,0.0,2120.0,0.025
53,0.8399387,0.14696167,0.25908154,0.1707886,1080.0,-20.964474,0.0,2160.0,0.05
54,0.8397267,0.14746378,0.25943184,0.17192918,1100.0,-18.315807,0.05,2200.0,0.025
55,0.83981943,0.14783658,0.25982434,0.17290953,1120.0,-19.541983,0.05,2240.0,0.0
56,0.8397023,0.14801924,0.25980932,0.17301697,1140.0,-18.075016,0.0,2280.0,0.025
57,0.8393225,0.1490537,0.25991714,0.17379662,1160.0,-20.084766,0.05,2320.0,0.075
58,0.8390042,0.14959276,0.26004207,0.17432918,1180.0,-19.509645,0.05,2360.0,0.05
59,0.83896774,0.14993647,0.26011097,0.17465203,1200.0,-20.135492,0.0,2400.0,0.0
60,0.83885,0.15070628,0.2601512,0.175238,1220.0,-13.737909,0.1,2440.0,0.0
61,0.8379943,0.15147515,0.25999737,0.17578915,1240.0,-16.894375,0.05,2480.0,0.0
62,0.83795506,0.15155594,0.26025724,0.17616001,1260.0,-19.394253,0.05,2520.0,0.025
63,0.837729,0.15149476,0.26036498,0.17653696,1280.0,-15.939402,0.05,2560.0,0.025
64,0.83776826,0.15208483,0.26050615,0.17697309,1300.0,-17.845018,0.0,2600.0,0.0
65,0.8377273,0.15226848,0.26059836,0.17707942,1320.0,-14.966522,0.1,2640.0,0.025
66,0.83777076,0.15258294,0.26059574,0.17729059,1340.0,-19.955965,0.05,2680.0,0.025
67,0.83780885,0.15279168,0.26053426,0.17767277,1360.0,-14.56974,0.05,2720.0,0.05
68,0.838062,0.15347163,0.2605101,0.17798983,1380.0,-16.556202,0.05,2760.0,0.0
69,0.8381829,0.15366928,0.26054838,0.17837675,1400.0,-17.78304,0.0,2800.0,0.0
70,0.8381958,0.15368678,0.26074874,0.17856146,1420.0,-16.032417,0.0,2840.0,0.05
71,0.83821756,0.15379216,0.26057297,0.17861584,1440.0,-19.586102,0.05,2880.0,0.025
72,0.8381855,0.15418756,0.260543,0.17893897,1460.0,-13.999342,0.05,2920.0,0.05
73,0.83812934,0.15426533,0.2605825,0.17905529,1480.0,-15.632434,0.05,2960.0,0.025
74,0.8380013,0.15434068,0.26057035,0.17932,1500.0,-15.1341095,0.05,3000.0,0.05
75,0.83802575,0.15393686,0.26066467,0.17915106,1520.0,-18.562824,0.0,3040.0,0.1
76,0.8380285,0.15401088,0.26062763,0.1792515,1540.0,-20.166298,0.0,3080.0,0.05
77,0.83818346,0.15394045,0.26062214,0.17921723,1560.0,-19.995571,0.0,3120.0,0.0
78,0.8382182,0.15362948,0.26061434,0.17910245,1580.0,-18.551298,0.05,3160.0,0.05
79,0.83824295,0.15347187,0.26056796,0.17894687,1600.0,-14.176142,0.1,3200.0,0.025
80,0.8382593,0.15329112,0.26068485,0.17882146,1620.0,-17.048107,0.0,3240.0,0.0
81,0.8382385,0.15291736,0.26072925,0.1784793,1640.0,-16.173864,0.0,3280.0,0.025
82,0.83821845,0.15260522,0.2608375,0.17861356,1660.0,-20.149347,0.1,3320.0,0.05
83,0.8381007,0.15228741,0.26074746,0.17858171,1680.0,-16.306778,0.1,3360.0,0.025
84,0.8381478,0.15190034,0.2608225,0.17837225,1700.0,-18.178135,0.0,3400.0,0.025
85,0.83808786,0.15173863,0.26077682,0.1782352,1720.0,-15.976802,0.05,3440.0,0.025
86,0.83822817,0.15130788,0.26073787,0.17805012,1740.0,-20.857872,0.0,3480.0,0.075
