# {"t_start": 1585557789.2203743, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.073638
-46.0,50,5.255863
-50.0,50,6.346516
-48.0,50,7.495861
-50.0,50,8.579277
-50.0,50,9.682163
-46.0,50,10.782244
-46.0,50,11.886046
-48.0,50,12.986131
-46.0,50,14.099481
-46.0,50,15.219765
-46.0,50,16.354409
-48.0,50,17.476675
-46.0,50,18.612268
-46.0,50,19.751732
-40.0,50,20.882736
-9.0,50,22.028326
-46.0,50,23.187629
-48.0,50,24.340528
-46.0,50,25.503107
-46.0,50,26.692721
-46.0,50,26.871463
-46.0,50,27.048112
-46.0,50,27.230516
-46.0,50,27.399852
-46.0,50,27.5658
-46.0,50,27.742389
-46.0,50,27.914999
-46.0,50,28.088456
-46.0,50,28.267432
-46.0,50,28.48151
-46.0,50,29.653042
-46.0,50,30.818505
-32.0,50,31.967574
-46.0,50,33.133268
-46.0,50,34.302191
-46.0,50,35.485498
-34.0,50,36.650971
-46.0,50,37.827287
-46.0,50,39.011583
-46.0,50,40.261057
-46.0,50,41.472434
-46.0,50,42.639332
-10.0,50,43.829791
-46.0,50,45.004928
-46.0,50,46.216833
-46.0,50,47.39625
-46.0,50,48.567904
-24.0,50,49.68396
-46.0,50,50.797263
-46.0,50,51.911376
-46.0,50,52.088804
0.0,50,52.264672
-46.0,50,52.433342
-36.0,50,52.601286
-46.0,50,52.788937
-46.0,50,52.957412
-17.0,50,53.143034
-46.0,50,53.30819
-46.0,50,53.480076
-36.0,50,53.636604
-46.0,50,54.762018
-46.0,50,55.954795
-37.0,50,57.16896
-46.0,50,58.377457
-46.0,50,59.593031
-15.0,50,60.811877
-46.0,50,62.027399
-28.0,50,63.244278
-48.0,50,64.470994
-46.0,50,65.68662
-40.0,50,66.915854
-46.0,50,68.152546
-46.0,50,69.380311
-46.0,50,70.619343
-46.0,50,71.847768
-46.0,50,73.079452
-46.0,50,74.327075
-46.0,50,75.585765
-46.0,50,76.844707
-46.0,50,78.113276
-46.0,50,78.28814
-46.0,50,78.468834
-46.0,50,78.653926
-12.0,50,78.824527
-46.0,50,78.99206
-7.0,50,79.166324
-46.0,50,79.339036
-46.0,50,79.509162
-46.0,50,79.686022
-46.0,50,79.854394
-46.0,50,81.11791
-46.0,50,82.391709
-35.0,50,83.675945
-46.0,50,84.944298
-46.0,50,86.205768
-11.0,50,87.4731
-46.0,50,88.743613
-46.0,50,90.023802
-46.0,50,91.302303
-46.0,50,92.577952
-46.0,50,93.881604
-46.0,50,95.15026
-38.0,50,96.424828
-46.0,50,97.705994
-46.0,50,98.97511
-24.0,50,100.257279
-46.0,50,101.540449
-46.0,50,102.816616
-46.0,50,104.116642
-46.0,50,105.43184
-46.0,50,105.604329
-46.0,50,105.772861
-46.0,50,105.945105
-46.0,50,106.120451
-46.0,50,106.294575
-20.0,50,106.471909
-46.0,50,106.646121
-46.0,50,106.828584
-46.0,50,106.999035
-46.0,50,107.167953
-46.0,50,108.466879
-46.0,50,109.787869
-46.0,50,111.101812
-46.0,50,112.406879
-8.0,50,113.721534
-46.0,50,115.030185
-46.0,50,116.354209
-46.0,50,117.684205
-46.0,50,118.999072
-39.0,50,120.327804
-46.0,50,121.651942
-46.0,50,122.979032
-46.0,50,124.308231
-46.0,50,125.646032
-48.0,50,126.983235
-32.0,50,128.305867
-46.0,50,129.631373
-46.0,50,130.945941
-46.0,50,132.290401
-46.0,50,133.635398
-46.0,50,133.810562
-2.0,50,133.995551
-14.0,50,134.171462
-46.0,50,134.349402
-46.0,50,134.531931
-46.0,50,134.718201
-46.0,50,134.901551
-46.0,50,135.076614
-46.0,50,135.24934
-46.0,50,135.422577
-46.0,50,136.772646
-46.0,50,138.122564
-46.0,50,139.477963
-46.0,50,140.824531
-46.0,50,142.172426
-46.0,50,143.528527
-46.0,50,144.871309
-46.0,50,146.229665
-46.0,50,147.59084
-46.0,50,148.943186
-46.0,50,150.311298
