epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85855764,0.09942168,0.2495761,0.09662966,20.0,-1.4946922,0.05,40.0,0.025
1,0.85357124,0.105095215,0.25159502,0.105993114,40.0,-2.1581259,0.05,80.0,0.025
2,0.8529882,0.107908286,0.2525738,0.11682694,60.0,-2.5840805,0.2,120.0,0.1
3,0.8510325,0.10966157,0.25243688,0.11887893,80.0,-3.1423533,0.15,160.0,0.075
4,0.85143846,0.11811092,0.2531506,0.12816551,100.0,-2.8290465,0.5,200.0,0.025
5,0.8492086,0.12193617,0.25321686,0.13431582,120.0,-3.5058758,0.25,240.0,0.05
6,0.8495471,0.121548615,0.25314516,0.13594863,140.0,-4.110654,0.25,280.0,0.0
7,0.8493485,0.1225723,0.25415105,0.13641343,160.0,-4.5313115,0.15,320.0,0.05
8,0.84703034,0.12485076,0.2530087,0.14063059,180.0,-4.8993535,0.25,360.0,0.025
9,0.8443008,0.13025649,0.25326553,0.14369181,200.0,-4.9094534,0.35,400.0,0.025
10,0.84326553,0.1339273,0.25335348,0.14601192,220.0,-4.316646,0.3,440.0,0.0
11,0.8428125,0.13521196,0.25300217,0.14716402,240.0,-7.3787537,0.0,480.0,0.0
12,0.84255505,0.13629389,0.25333655,0.14829613,260.0,-6.4944983,0.0,520.0,0.0
13,0.8421573,0.13612203,0.25255987,0.14937006,280.0,-8.343351,0.0,560.0,0.025
14,0.84223956,0.14017574,0.25333935,0.15270254,300.0,-9.332949,0.0,600.0,0.0
15,0.8411742,0.1433648,0.25356907,0.15434265,320.0,-7.409363,0.0,640.0,0.0
16,0.84087086,0.1434214,0.25379124,0.15472399,340.0,-3.8169303,0.15,680.0,0.0
17,0.84001344,0.14427249,0.25358003,0.1551028,360.0,-9.928775,0.0,720.0,0.0
18,0.8397861,0.14524963,0.25363827,0.15597025,380.0,-7.9892135,0.0,760.0,0.0
19,0.84093016,0.14439146,0.25378233,0.1572286,400.0,-10.696833,0.0,800.0,0.075
20,0.84103894,0.14441468,0.2540317,0.1574394,420.0,-10.14781,0.05,840.0,0.0
21,0.84100485,0.1435775,0.25395548,0.15881123,440.0,-10.757875,0.0,880.0,0.025
22,0.84156185,0.14218189,0.25396237,0.1605894,460.0,-11.58867,0.0,920.0,0.05
23,0.84095734,0.14209181,0.2545233,0.16171685,480.0,-10.619222,0.0,960.0,0.025
24,0.8409202,0.14217407,0.2544588,0.16207317,500.0,-11.468809,0.05,1000.0,0.0
25,0.84079605,0.14110368,0.2546033,0.16202202,520.0,-10.041428,0.05,1040.0,0.05
26,0.84062964,0.14060697,0.25493324,0.16196173,540.0,-12.240097,0.05,1080.0,0.075
27,0.8404953,0.1413293,0.25504813,0.1623264,560.0,-12.744605,0.0,1120.0,0.05
28,0.8408944,0.14134811,0.25561902,0.16232927,580.0,-14.072411,0.05,1160.0,0.0
29,0.8404507,0.14111334,0.25604895,0.16232215,600.0,-14.00429,0.0,1200.0,0.025
