epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85853285,0.11330976,0.25010607,0.10600589,20.0,-1.2395098,0.4,40.0,0.0
1,0.8553283,0.11549061,0.25023764,0.1181879,40.0,-2.4181962,0.1,80.0,0.0
2,0.8508699,0.1199606,0.25070667,0.124364175,60.0,-3.0766587,0.05,120.0,0.025
3,0.8496301,0.11800054,0.25270122,0.1286501,80.0,-2.569556,0.45,160.0,0.1
4,0.8487489,0.11700227,0.25406247,0.13040358,100.0,-2.7319374,0.3,200.0,0.05
5,0.8506276,0.124817856,0.25507128,0.1377225,120.0,-3.1168752,0.2,240.0,0.025
6,0.85115415,0.12643456,0.2554826,0.13884732,140.0,-4.180717,0.1,280.0,0.025
7,0.85041237,0.1262069,0.25621492,0.142072,160.0,-4.9652033,0.05,320.0,0.075
8,0.85028297,0.1290496,0.25593826,0.14287977,180.0,-5.549842,0.1,360.0,0.025
9,0.84927934,0.12761323,0.2564932,0.1435119,200.0,-6.4024444,0.05,400.0,0.0
10,0.8487907,0.12690888,0.25529453,0.14651205,220.0,-5.672567,0.15,440.0,0.0
11,0.8479212,0.1274556,0.25549942,0.14871831,240.0,-6.8619637,0.05,480.0,0.05
12,0.8481571,0.12621133,0.25520056,0.15109824,260.0,-7.7476473,0.0,520.0,0.0
13,0.8475435,0.12537968,0.25519106,0.15262014,280.0,-7.4863205,0.05,560.0,0.1
14,0.84780115,0.12445823,0.2562267,0.15405138,300.0,-7.391783,0.1,600.0,0.05
15,0.84748286,0.12496811,0.25659645,0.15581816,320.0,-7.2917147,0.05,640.0,0.1
16,0.84674597,0.12408771,0.25705484,0.15680932,340.0,-8.008143,0.15,680.0,0.05
17,0.8462525,0.124665655,0.25697124,0.15781221,360.0,-6.8964415,0.3,720.0,0.025
18,0.84558916,0.12428588,0.25740242,0.1584399,380.0,-9.278673,0.1,760.0,0.025
19,0.84539014,0.12500529,0.25792095,0.16008359,400.0,-7.5553336,0.35,800.0,0.05
20,0.84471273,0.1250625,0.25883672,0.1617546,420.0,-11.107815,0.0,840.0,0.225
21,0.844645,0.12525183,0.2592799,0.16310945,440.0,-8.858182,0.25,880.0,0.0
22,0.8443928,0.124550335,0.25968513,0.16417715,460.0,-9.187948,0.2,920.0,0.05
23,0.8442676,0.123671405,0.2600923,0.16557977,480.0,-9.694446,0.1,960.0,0.05
24,0.8440306,0.12340852,0.2602895,0.16639122,500.0,-10.1094265,0.15,1000.0,0.075
25,0.8437224,0.12267733,0.2605682,0.16781308,520.0,-9.986097,0.1,1040.0,0.125
26,0.84320927,0.12244228,0.26043215,0.16856912,540.0,-13.004521,0.0,1080.0,0.05
27,0.8429413,0.12337462,0.26040938,0.16942184,560.0,-12.864157,0.05,1120.0,0.025
28,0.84290785,0.12353941,0.2604625,0.17021094,580.0,-14.278127,0.05,1160.0,0.075
29,0.843007,0.12597242,0.26063344,0.17128652,600.0,-13.231783,0.1,1200.0,0.05
30,0.8429441,0.12621342,0.26073396,0.17184742,620.0,-11.906256,0.15,1240.0,0.125
31,0.8424146,0.1268227,0.26092833,0.17290233,640.0,-14.579969,0.1,1280.0,0.1
32,0.84212404,0.12615947,0.26093575,0.17291905,660.0,-15.06284,0.05,1320.0,0.175
33,0.8418583,0.12715644,0.26130965,0.17379873,680.0,-11.428734,0.05,1360.0,0.1
34,0.84176064,0.12748493,0.26123327,0.1743328,700.0,-12.5993805,0.2,1400.0,0.1
35,0.84166455,0.12756516,0.26109424,0.1747647,720.0,-11.761406,0.2,1440.0,0.075
36,0.84178287,0.12954432,0.26127455,0.17563912,740.0,-13.568233,0.2,1480.0,0.05
37,0.8415496,0.13028169,0.2613427,0.17579664,760.0,-11.572183,0.2,1520.0,0.125
38,0.8412063,0.13028513,0.2613344,0.1756759,780.0,-13.653073,0.15,1560.0,0.15
39,0.84119105,0.1308219,0.26120704,0.1760663,800.0,-11.916611,0.25,1600.0,0.05
40,0.8407796,0.13162789,0.2609797,0.17633566,820.0,-10.155172,0.1,1640.0,0.075
41,0.84023356,0.13252671,0.26097137,0.17659265,840.0,-11.040739,0.25,1680.0,0.025
42,0.84004766,0.13285512,0.2606095,0.17693724,860.0,-11.97153,0.15,1720.0,0.025
43,0.84007865,0.13282633,0.26061913,0.17704362,880.0,-15.813146,0.05,1760.0,0.15
44,0.8402877,0.13256368,0.26059982,0.1771311,900.0,-12.531203,0.2,1800.0,0.175
45,0.8402703,0.13263316,0.2607792,0.17702805,920.0,-12.199526,0.05,1840.0,0.075
46,0.84036255,0.13262026,0.26093763,0.17731275,940.0,-15.27695,0.15,1880.0,0.1
47,0.8403215,0.13321644,0.2610994,0.17801516,960.0,-9.45883,0.2,1920.0,0.05
48,0.83996016,0.13400014,0.26118332,0.1784957,980.0,-11.382011,0.2,1960.0,0.15
49,0.839911,0.13552381,0.26111647,0.17916082,1000.0,-10.334591,0.35,2000.0,0.225
50,0.83997655,0.13594326,0.2611708,0.17961057,1020.0,-15.607999,0.25,2040.0,0.175
51,0.83989435,0.13700671,0.26115575,0.17989261,1040.0,-8.879604,0.5,2080.0,0.2
52,0.83992356,0.13814676,0.26109746,0.18021967,1060.0,-12.435208,0.25,2120.0,0.225
53,0.8397243,0.13910086,0.26118582,0.1807295,1080.0,-4.6224194,0.6,2160.0,0.2
54,0.83979654,0.14022376,0.26114208,0.18126231,1100.0,-11.675264,0.3,2200.0,0.175
55,0.83983564,0.14049093,0.2610554,0.18135597,1120.0,-8.497102,0.5,2240.0,0.225
56,0.84030724,0.14067219,0.2610137,0.1813004,1140.0,-4.1695795,0.75,2280.0,0.25
57,0.8405428,0.14115696,0.2610221,0.1811522,1160.0,-7.733487,0.35,2320.0,0.3
58,0.84055805,0.14220959,0.26102957,0.18147108,1180.0,-5.37778,0.5,2360.0,0.25
59,0.84079385,0.14263445,0.261061,0.18179138,1200.0,-10.416998,0.3,2400.0,0.275
60,0.8409869,0.1425731,0.26124516,0.18194747,1220.0,-4.7711477,0.6,2440.0,0.325
61,0.8410034,0.14269619,0.26135445,0.18200229,1240.0,-6.3164353,0.5,2480.0,0.225
62,0.8410167,0.14262366,0.26122576,0.18181752,1260.0,-7.0748305,0.3,2520.0,0.325
63,0.84125024,0.14276104,0.26128027,0.18174635,1280.0,-5.52712,0.5,2560.0,0.225
64,0.84143966,0.14297098,0.2611878,0.1816499,1300.0,-8.544851,0.4,2600.0,0.225
65,0.8414898,0.14281966,0.26114967,0.18152985,1320.0,-6.8622255,0.25,2640.0,0.3
66,0.8418172,0.142947,0.26120037,0.18165113,1340.0,-9.222216,0.3,2680.0,0.225
67,0.84185165,0.14343554,0.2611841,0.1816981,1360.0,-4.373385,0.6,2720.0,0.25
68,0.8420678,0.1433041,0.26110733,0.18137263,1380.0,-4.2715206,0.05,2760.0,0.275
69,0.8419607,0.14336388,0.26102903,0.18116392,1400.0,-4.527341,0.7,2800.0,0.4
70,0.84214944,0.14341247,0.26117545,0.18089841,1420.0,-4.380866,0.6,2840.0,0.4
71,0.84207374,0.14425202,0.26133302,0.18087298,1440.0,-11.43693,0.4,2880.0,0.35
72,0.84192914,0.14490192,0.26140416,0.18096614,1460.0,-5.2034974,0.45,2920.0,0.3
73,0.84202474,0.1451274,0.2615094,0.1810113,1480.0,-4.244218,0.8,2960.0,0.45
74,0.84201354,0.14538783,0.26159444,0.18103984,1500.0,-3.1939662,0.75,3000.0,0.325
75,0.8418949,0.14546664,0.26163048,0.18090335,1520.0,-2.1628764,0.8,3040.0,0.55
76,0.8420543,0.14523184,0.26167628,0.18086658,1540.0,-1.640534,0.9,3080.0,0.275
77,0.842256,0.14500175,0.26180363,0.18071786,1560.0,-1.8885266,0.85,3120.0,0.375
78,0.8421528,0.14478116,0.261754,0.18067867,1580.0,-3.134554,0.75,3160.0,0.475
79,0.84232765,0.1446117,0.2617962,0.18050343,1600.0,-1.759991,0.8,3200.0,0.4
80,0.8422599,0.1447879,0.26174778,0.1804213,1620.0,-4.734884,0.7,3240.0,0.275
81,0.8423941,0.14476281,0.2618067,0.18014702,1640.0,-6.19134,0.5,3280.0,0.35
82,0.8423462,0.1450814,0.26180556,0.18003811,1660.0,-2.3073235,0.9,3320.0,0.35
83,0.84224176,0.14535145,0.26179436,0.17984639,1680.0,-1.970145,0.75,3360.0,0.425
84,0.84216213,0.14579903,0.2616687,0.17980582,1700.0,-1.8353307,0.9,3400.0,0.325
85,0.84249234,0.14575064,0.26171568,0.17973958,1720.0,-3.0844657,0.7,3440.0,0.35
86,0.8424881,0.14561124,0.26170835,0.17955439,1740.0,-4.556908,0.7,3480.0,0.375
87,0.8425606,0.1453357,0.26177594,0.17924571,1760.0,-3.819498,0.8,3520.0,0.55
88,0.8425017,0.14520444,0.2618424,0.17893213,1780.0,-6.884094,0.6,3560.0,0.575
89,0.8425698,0.14511175,0.26180097,0.17860636,1800.0,-5.002764,0.65,3600.0,0.4
