# {"t_start": 1585643246.2123394, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.87419
-50.0,50,4.896173
-48.0,50,5.826483
-48.0,50,6.767271
-46.0,50,7.715394
-48.0,50,8.67444
-48.0,50,9.632943
-46.0,50,10.602401
-46.0,50,11.583095
-46.0,50,12.566609
-46.0,50,13.534782
-46.0,50,14.512724
-48.0,50,15.49321
-46.0,50,16.483076
-23.0,50,17.466154
-46.0,50,18.456736
-46.0,50,19.449758
-48.0,50,20.444111
-46.0,50,21.446486
-46.0,50,22.454845
-46.0,50,23.499744
-46.0,50,23.66505
-48.0,50,23.842042
-46.0,50,24.023782
-46.0,50,24.209638
-46.0,50,24.380751
-46.0,50,24.555836
-46.0,50,24.72969
-46.0,50,24.894579
-40.0,50,25.069837
-46.0,50,25.281235
-46.0,50,26.310195
-46.0,50,27.359012
-46.0,50,28.411242
-46.0,50,29.47366
-46.0,50,30.515331
-50.0,50,31.577418
-46.0,50,32.641401
-46.0,50,33.706006
-46.0,50,34.7845
-46.0,50,35.860297
-48.0,50,36.961299
-46.0,50,38.032562
-46.0,50,39.12453
-46.0,50,40.214216
-46.0,50,41.301142
-46.0,50,42.405062
-48.0,50,43.5014
-38.0,50,44.597524
-46.0,50,45.69153
-46.0,50,46.8171
-23.0,50,46.999034
-46.0,50,47.167999
-46.0,50,47.346108
-46.0,50,47.514549
-46.0,50,47.694292
-46.0,50,47.869496
-46.0,50,48.039682
-46.0,50,48.212601
-46.0,50,48.396497
-46.0,50,48.570924
-46.0,50,49.669653
-46.0,50,50.782656
-46.0,50,51.890263
-46.0,50,53.015418
-46.0,50,54.149325
-46.0,50,55.281697
1.0,50,56.427868
-46.0,50,57.562821
-46.0,50,58.713271
-46.0,50,59.861842
-46.0,50,61.006763
-46.0,50,62.156877
-46.0,50,63.285317
-46.0,50,64.421845
-46.0,50,65.579866
-46.0,50,66.732732
-46.0,50,67.896152
-46.0,50,69.052956
-48.0,50,70.207611
-46.0,50,71.405626
-46.0,50,71.577726
-46.0,50,71.764326
-46.0,50,71.930768
-46.0,50,72.111128
-46.0,50,72.289708
-46.0,50,72.468445
-46.0,50,72.639114
-4.0,50,72.805187
-46.0,50,72.972102
-46.0,50,73.142349
-27.0,50,74.331908
-46.0,50,75.53741
-48.0,50,76.71127
-24.0,50,77.927845
-46.0,50,79.088602
-46.0,50,80.270708
-46.0,50,81.428362
-46.0,50,82.59445
-37.0,50,83.891702
-46.0,50,85.126208
-46.0,50,86.307908
-46.0,50,87.516723
-46.0,50,88.705985
-46.0,50,89.898587
-46.0,50,91.123044
-46.0,50,92.347766
-48.0,50,93.541871
-46.0,50,94.754236
-40.0,50,95.969074
-46.0,50,97.199324
-22.0,50,97.378613
-46.0,50,97.559506
-12.0,50,97.726347
-46.0,50,97.901278
-46.0,50,98.072698
-46.0,50,98.245314
-46.0,50,98.416225
-46.0,50,98.589663
-46.0,50,98.781472
-46.0,50,98.959063
-46.0,50,100.193742
-46.0,50,101.374541
-46.0,50,102.533487
-46.0,50,103.6687
-12.0,50,104.817374
-46.0,50,105.976632
-46.0,50,107.117433
-46.0,50,108.289668
-46.0,50,109.483677
-48.0,50,110.644345
-46.0,50,111.882393
-46.0,50,113.137621
-21.0,50,114.428863
-8.0,50,115.685703
-46.0,50,116.963479
-46.0,50,118.23213
-46.0,50,119.534349
-46.0,50,120.790587
-46.0,50,122.058474
-46.0,50,123.350909
-46.0,50,123.523519
-46.0,50,123.699188
-46.0,50,123.858634
-46.0,50,124.040067
-30.0,50,124.217777
-46.0,50,124.384969
-46.0,50,124.558645
-46.0,50,124.718972
-27.0,50,124.884671
-46.0,50,125.061373
-12.0,50,126.334147
-46.0,50,127.615027
-46.0,50,128.893005
-46.0,50,130.185213
-46.0,50,131.483304
-46.0,50,132.779296
-46.0,50,134.083202
-46.0,50,135.395082
-46.0,50,136.712237
-46.0,50,137.989091
-48.0,50,139.271957
-46.0,50,140.562387
-46.0,50,141.870932
-46.0,50,143.160828
-46.0,50,144.478147
-46.0,50,145.780132
-2.0,50,147.074435
-46.0,50,148.369367
-48.0,50,149.660504
-46.0,50,150.9704
-33.0,50,151.154395
-46.0,50,151.332079
-46.0,50,151.518713
-46.0,50,151.70499
-46.0,50,151.874107
-46.0,50,152.061917
-46.0,50,152.243183
-50.0,50,152.423807
-46.0,50,152.589522
-46.0,50,152.764458
-46.0,50,154.065215
-46.0,50,155.384304
-46.0,50,156.694521
-46.0,50,158.004511
-46.0,50,159.344333
-46.0,50,160.659202
-46.0,50,161.985423
-46.0,50,163.318245
-46.0,50,164.643722
