# {"t_start": 1585604454.614908, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.708448
-48.0,50,4.71141
-50.0,50,5.601692
-50.0,50,6.469316
-48.0,50,7.354248
-50.0,50,8.266294
-50.0,50,9.179474
-48.0,50,10.065566
-48.0,50,10.954531
-50.0,50,11.839199
-46.0,50,12.762588
-50.0,50,13.686017
-48.0,50,14.602569
-46.0,50,15.54298
-46.0,50,16.450983
-50.0,50,17.381945
-50.0,50,18.29622
-46.0,50,19.20732
-48.0,50,20.129022
-46.0,50,21.047562
-50.0,50,21.961843
-46.0,50,22.8876
-46.0,50,23.838645
-46.0,50,24.781796
-46.0,50,25.732939
-46.0,50,26.698169
-46.0,50,27.61328
-46.0,50,28.537518
-46.0,50,29.500852
-46.0,50,30.479661
-46.0,50,31.421341
-34.0,50,32.382585
-46.0,50,33.299992
-46.0,50,34.25124
-46.0,50,35.216424
-46.0,50,36.23642
-34.0,50,37.248117
-46.0,50,38.29137
-46.0,50,39.361058
-46.0,50,40.392483
-46.0,50,41.501257
-46.0,50,42.516173
-46.0,50,43.570874
-46.0,50,44.571475
-46.0,50,45.58542
-46.0,50,46.640601
-46.0,50,47.659596
-46.0,50,48.663508
-46.0,50,51.457286
-46.0,50,52.538695
-46.0,50,53.561911
-46.0,50,53.724241
-13.0,50,53.909051
-46.0,50,54.089377
5.0,50,54.266321
-46.0,50,54.437426
-46.0,50,54.610954
-46.0,50,54.788211
-46.0,50,54.97822
-46.0,50,55.163891
-5.0,50,55.375818
-40.0,50,56.404502
-46.0,50,57.449526
-46.0,50,58.497555
-46.0,50,59.549679
-46.0,50,60.599441
-46.0,50,61.659281
-46.0,50,62.714822
-46.0,50,63.773282
-46.0,50,64.843344
-46.0,50,65.918305
-46.0,50,66.975343
-46.0,50,68.078465
-46.0,50,69.161663
-46.0,50,70.243699
-46.0,50,71.30616
-5.0,50,72.369771
-46.0,50,73.449257
-46.0,50,74.533213
-46.0,50,75.643179
-46.0,50,76.739084
-46.0,50,77.82737
-46.0,50,78.922249
-46.0,50,80.025005
-46.0,50,81.119556
-46.0,50,82.221501
-46.0,50,83.32226
-46.0,50,84.46284
-46.0,50,85.685005
-46.0,50,86.825103
-46.0,50,87.967771
-46.0,50,89.127883
-46.0,50,90.203925
-46.0,50,91.278986
-46.0,50,92.389989
-46.0,50,93.563276
-46.0,50,94.727337
-46.0,50,95.896733
3.0,50,97.047048
-46.0,50,98.216574
-46.0,50,99.408138
