epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85828066,0.14246656,0.23448943,0.14451888,20.0,-1.1891065,0.15,100.0,0.02
1,0.8521025,0.12740995,0.24819241,0.15686353,40.0,-2.678723,0.1,200.0,0.04
2,0.846062,0.13409464,0.25162104,0.16443697,60.0,-4.0886874,0.0,300.0,0.04
3,0.84689003,0.12967625,0.25287864,0.16138695,80.0,-4.836851,0.05,400.0,0.06
4,0.8434445,0.12906171,0.25377038,0.16272005,100.0,-6.2415037,0.15,500.0,0.02
5,0.8430386,0.13097984,0.25553533,0.16408199,120.0,-7.312603,0.1,600.0,0.09
6,0.8425483,0.13185273,0.25557306,0.16529201,140.0,-9.275634,0.05,700.0,0.07
7,0.8423353,0.13257001,0.25621116,0.16454738,160.0,-10.406595,0.1,800.0,0.08
8,0.8413207,0.13441186,0.25674126,0.16620836,180.0,-8.311433,0.15,900.0,0.06
9,0.8413945,0.13657178,0.2573023,0.16682202,200.0,-7.8973107,0.15,1000.0,0.08
10,0.84096223,0.13723437,0.2580121,0.16736175,220.0,-9.939743,0.15,1100.0,0.13
11,0.8411472,0.13725449,0.25781125,0.16712223,240.0,-12.169948,0.05,1200.0,0.14
12,0.84009176,0.13711153,0.2575888,0.16770318,260.0,-9.657419,0.0,1300.0,0.12
13,0.83952427,0.13878222,0.25756472,0.16874793,280.0,-10.798274,0.15,1400.0,0.07
14,0.8394273,0.13955766,0.2571026,0.1686941,300.0,-11.601793,0.05,1500.0,0.08
15,0.83872294,0.14022696,0.25691566,0.16980895,320.0,-13.223384,0.05,1600.0,0.08
16,0.83869004,0.13969198,0.2573108,0.17002419,340.0,-13.101234,0.1,1700.0,0.09
17,0.83821326,0.13940176,0.25741884,0.17044933,360.0,-12.967428,0.2,1800.0,0.15
18,0.83867097,0.13862301,0.25777552,0.17086223,380.0,-11.460165,0.15,1900.0,0.14
19,0.8384386,0.1382849,0.25765476,0.17095941,400.0,-14.3123455,0.15,2000.0,0.08
20,0.8387812,0.13790183,0.2581249,0.17104755,420.0,-7.2083726,0.3,2100.0,0.12
21,0.8385977,0.13851519,0.25805038,0.17096004,440.0,-11.589917,0.3,2200.0,0.12
22,0.8382714,0.1387812,0.25813276,0.17179224,460.0,-8.62999,0.35,2300.0,0.09
23,0.837904,0.13927275,0.25797608,0.17191786,480.0,-9.566027,0.3,2400.0,0.15
24,0.83782744,0.1393627,0.25779942,0.17250003,500.0,-9.641978,0.25,2500.0,0.18
25,0.8376629,0.1385578,0.25774238,0.1724932,520.0,-9.324651,0.3,2600.0,0.25
26,0.8373274,0.13893165,0.25762272,0.17223236,540.0,-6.708453,0.25,2700.0,0.13
27,0.83745843,0.13914178,0.25760427,0.17239156,560.0,-8.562299,0.15,2800.0,0.09
28,0.8373632,0.13957913,0.2577891,0.17231812,580.0,-3.9667459,0.7,2900.0,0.14
29,0.8374383,0.13940237,0.25805002,0.1727065,600.0,-4.8475075,0.55,3000.0,0.2
30,0.83712554,0.14003223,0.25788957,0.17300513,620.0,-6.331336,0.2,3100.0,0.15
31,0.83715624,0.1397544,0.25793546,0.17297275,640.0,-10.496435,0.35,3200.0,0.12
32,0.83686036,0.1399535,0.25769216,0.1726932,660.0,-5.944372,0.3,3300.0,0.14
33,0.83682317,0.14026614,0.2579075,0.1729354,680.0,-4.795068,0.6,3400.0,0.2
34,0.8366461,0.13998377,0.25794786,0.17284153,700.0,-4.429227,0.5,3500.0,0.18
35,0.8367335,0.1397187,0.25827205,0.17249876,720.0,-5.414903,0.5,3600.0,0.16
36,0.83675694,0.13963707,0.25842637,0.17239691,740.0,-6.1507263,0.6,3700.0,0.19
37,0.83673924,0.1401189,0.25846216,0.17234251,760.0,-4.7826295,0.35,3800.0,0.2
38,0.83688647,0.14030387,0.25867084,0.17231527,780.0,-6.267628,0.55,3900.0,0.2
39,0.83697814,0.14001477,0.25873065,0.17210172,800.0,-2.7020817,0.75,4000.0,0.25
