epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86604875,0.12648208,0.22970878,0.1277782,20.0,-1.6787828,0.1,100.0,0.01
1,0.85624146,0.12488606,0.2482393,0.14362434,40.0,-2.7918563,0.05,200.0,0.01
2,0.8493769,0.12155447,0.25313103,0.15667985,60.0,-3.85992,0.0,300.0,0.04
3,0.8478863,0.12779875,0.25529253,0.16043974,80.0,-5.1681514,0.0,400.0,0.03
4,0.84585434,0.12687345,0.25605717,0.16437525,100.0,-6.654866,0.05,500.0,0.07
5,0.84464616,0.12532961,0.25628823,0.16223647,120.0,-9.076651,0.0,600.0,0.06
6,0.84306604,0.124306,0.25638378,0.16236061,140.0,-7.9322767,0.1,700.0,0.03
7,0.8420701,0.12432295,0.25776038,0.1637227,160.0,-8.472835,0.2,800.0,0.04
8,0.84174794,0.12359794,0.2584957,0.16354172,180.0,-8.39202,0.2,900.0,0.06
9,0.8413252,0.12478196,0.25853288,0.16403733,200.0,-9.911598,0.15,1000.0,0.16
10,0.8402025,0.1267456,0.25914717,0.16479614,220.0,-9.498014,0.25,1100.0,0.05
11,0.8391335,0.12813886,0.2592029,0.16496783,240.0,-10.055016,0.1,1200.0,0.1
12,0.8393124,0.12874751,0.25920683,0.16527598,260.0,-11.858139,0.05,1300.0,0.16
13,0.8384697,0.13207878,0.25960514,0.16633238,280.0,-12.384486,0.15,1400.0,0.15
14,0.83893317,0.13185976,0.25935295,0.16735467,300.0,-10.068265,0.1,1500.0,0.12
15,0.83901685,0.1319957,0.25923705,0.1674583,320.0,-7.7125826,0.45,1600.0,0.13
16,0.8388838,0.13303383,0.25899702,0.16859795,340.0,-10.167635,0.2,1700.0,0.11
17,0.8388357,0.13247526,0.25884297,0.1682062,360.0,-12.982925,0.2,1800.0,0.11
18,0.8387782,0.13257682,0.25891775,0.16822259,380.0,-8.343557,0.5,1900.0,0.14
19,0.8387582,0.13277446,0.25901788,0.16899443,400.0,-14.810034,0.25,2000.0,0.15
20,0.83851,0.13229549,0.25875106,0.16906461,420.0,-9.172583,0.45,2100.0,0.16
21,0.8380716,0.13299567,0.25860235,0.16952798,440.0,-12.717418,0.3,2200.0,0.18
22,0.8380906,0.13260418,0.2587527,0.16970825,460.0,-20.65684,0.1,2300.0,0.18
23,0.83803225,0.13248272,0.25885126,0.17001091,480.0,-17.622051,0.2,2400.0,0.15
24,0.83818895,0.13337718,0.25904918,0.17072748,500.0,-11.451398,0.25,2500.0,0.12
25,0.83782905,0.13342631,0.25910518,0.17084973,520.0,-11.8147135,0.35,2600.0,0.17
26,0.8378648,0.13384669,0.25931445,0.17089525,540.0,-11.822802,0.3,2700.0,0.22
27,0.83797365,0.13413288,0.25943536,0.17102624,560.0,-12.673156,0.35,2800.0,0.23
28,0.8380289,0.13431431,0.25957033,0.17120165,580.0,-14.913086,0.3,2900.0,0.18
29,0.8381489,0.13406678,0.2595344,0.17153934,600.0,-10.437387,0.35,3000.0,0.14
30,0.8381939,0.1342916,0.2597025,0.17168981,620.0,-11.68082,0.3,3100.0,0.2
31,0.83819705,0.13491015,0.25969538,0.1723222,640.0,-14.158394,0.25,3200.0,0.19
32,0.8379817,0.13591625,0.25984403,0.17276987,660.0,-15.810759,0.15,3300.0,0.15
33,0.8381569,0.13618405,0.25990367,0.17312804,680.0,-5.2814975,0.45,3400.0,0.14
34,0.8384164,0.13624366,0.25982648,0.17326583,700.0,-11.413182,0.15,3500.0,0.18
35,0.8380608,0.13635522,0.25978082,0.17334263,720.0,-12.224071,0.2,3600.0,0.2
36,0.83824176,0.13708925,0.26005808,0.17364298,740.0,-6.7277083,0.5,3700.0,0.14
37,0.8382413,0.13730215,0.26013875,0.17350475,760.0,-12.3875675,0.25,3800.0,0.15
38,0.838016,0.13740668,0.26026013,0.17358826,780.0,-5.991738,0.45,3900.0,0.16
39,0.8378234,0.13733347,0.2601615,0.17368141,800.0,-9.104165,0.4,4000.0,0.19
