# {"t_start": 1585716848.8373692, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.810409
-50.0,50,4.837254
-48.0,50,5.783324
-49.0,50,6.731777
-50.0,50,7.672977
-48.0,50,8.61814
-48.0,50,9.577623
-48.0,50,10.52027
-50.0,50,11.481473
-50.0,50,12.448265
-49.0,50,13.412421
-49.0,50,14.382895
-48.0,50,15.342912
-48.0,50,16.317621
-50.0,50,17.28592
-49.0,50,18.257301
-49.0,50,19.244516
-48.0,50,20.236996
-48.0,50,21.234365
-50.0,50,22.240871
-48.0,50,23.272794
-48.0,50,23.451582
-50.0,50,23.609517
-48.0,50,23.789459
-48.0,50,23.96614
-48.0,50,24.146256
-48.0,50,24.328242
-50.0,50,24.500024
-48.0,50,24.676554
-46.0,50,24.852193
-48.0,50,25.062688
-48.0,50,26.066586
-48.0,50,27.070806
-48.0,50,28.087608
-48.0,50,29.101528
-49.0,50,30.103309
-49.0,50,31.121206
-48.0,50,32.151365
-49.0,50,33.190299
-48.0,50,34.2293
-48.0,50,35.280626
-48.0,50,36.326453
-48.0,50,37.375133
-48.0,50,38.43168
-48.0,50,39.476045
-48.0,50,40.547789
-49.0,50,41.61772
-49.0,50,42.687536
-48.0,50,43.75191
-48.0,50,44.818737
-48.0,50,45.903909
-48.0,50,46.073593
-48.0,50,46.245108
-48.0,50,46.418097
-48.0,50,46.591344
-48.0,50,46.760666
-48.0,50,46.932419
-48.0,50,47.117953
-48.0,50,47.296408
-48.0,50,47.477489
-48.0,50,47.649214
-48.0,50,48.729317
-48.0,50,49.813644
-48.0,50,50.925598
-48.0,50,52.039374
-49.0,50,53.136435
-50.0,50,54.239055
-49.0,50,55.342005
-49.0,50,56.454888
-48.0,50,57.564053
-48.0,50,58.67854
-48.0,50,59.788129
-48.0,50,60.901622
-48.0,50,61.95215
-47.0,50,62.99587
-48.0,50,64.040269
-48.0,50,65.091367
-43.0,50,66.139935
-48.0,50,67.201716
-48.0,50,68.257683
-43.0,50,69.315266
-48.0,50,69.492636
