epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84489256,0.107027836,0.23376903,0.117787674,20.0,-1.3827515,0.1,40.0,0.1
1,0.8456025,0.108974315,0.24298191,0.12798324,40.0,-2.315319,0.0,80.0,0.0
2,0.84914964,0.10793122,0.24613346,0.13263743,60.0,-2.2009215,0.15,120.0,0.025
3,0.8498084,0.112431884,0.24995777,0.1367324,80.0,-2.5488896,0.25,160.0,0.025
4,0.84712005,0.119286545,0.25243267,0.1429978,100.0,-3.430758,0.05,200.0,0.0
5,0.8476686,0.122909866,0.25316492,0.14660807,120.0,-3.8993506,0.1,240.0,0.025
6,0.84691954,0.12135852,0.25307184,0.14943822,140.0,-4.602808,0.0,280.0,0.0
7,0.8473506,0.12377363,0.25433972,0.15212667,160.0,-4.3120713,0.05,320.0,0.0
8,0.84581333,0.12843744,0.2536052,0.15550062,180.0,-5.9464116,0.05,360.0,0.0
9,0.8437996,0.12777396,0.2540705,0.15581916,200.0,-6.140484,0.0,400.0,0.025
10,0.84215736,0.12817566,0.25493312,0.15808688,220.0,-6.751464,0.0,440.0,0.025
11,0.84128577,0.1284452,0.25552484,0.15848096,240.0,-6.7118406,0.0,480.0,0.0
12,0.84068316,0.12934601,0.25559133,0.15916076,260.0,-7.532215,0.0,520.0,0.075
13,0.8400009,0.1308287,0.25674814,0.16186081,280.0,-6.935376,0.1,560.0,0.05
14,0.839385,0.13159029,0.25675967,0.16299413,300.0,-8.600833,0.05,600.0,0.025
15,0.84089905,0.13163514,0.25707415,0.1635905,320.0,-9.966429,0.0,640.0,0.025
16,0.8408594,0.13055708,0.2567269,0.16509436,340.0,-9.922725,0.0,680.0,0.0
17,0.8417613,0.1308824,0.25706333,0.16494417,360.0,-9.267156,0.0,720.0,0.0
18,0.84145784,0.13140684,0.2575385,0.16646847,380.0,-9.9049015,0.0,760.0,0.05
19,0.84146166,0.1306423,0.25748366,0.1669346,400.0,-11.096425,0.0,800.0,0.075
