# {"t_start": 1585672027.6284513, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.558771
-50.0,50,5.667415
-48.0,50,6.562288
-50.0,50,7.612602
-50.0,50,8.792632
-50.0,50,9.905249
-50.0,50,10.998198
-50.0,50,12.0285
-50.0,50,13.047855
-50.0,50,14.07188
-50.0,50,15.119918
-50.0,50,16.157006
-49.0,50,17.186753
-48.0,50,18.285684
-48.0,50,19.404249
-48.0,50,20.526484
-50.0,50,21.645791
-48.0,50,22.750646
-48.0,50,23.91176
-48.0,50,25.008061
-48.0,50,26.145607
-50.0,50,27.225091
-48.0,50,28.301652
-48.0,50,29.389318
-50.0,50,30.473022
-48.0,50,31.559764
-30.0,50,32.658788
-33.0,50,33.798802
-48.0,50,34.952565
-48.0,50,36.082898
-36.0,50,37.200629
-48.0,50,38.320029
-50.0,50,39.436328
-50.0,50,40.565838
-48.0,50,41.715157
-50.0,50,42.866941
-48.0,50,44.030464
-48.0,50,45.182692
-48.0,50,46.334059
-48.0,50,47.578277
-27.0,50,48.815177
-48.0,50,50.028743
-48.0,50,51.056968
-48.0,50,52.073902
-48.0,50,53.167039
-48.0,50,54.178981
-48.0,50,55.202751
-48.0,50,56.228437
-48.0,50,57.251227
-48.0,50,58.278237
-48.0,50,59.612643
-48.0,50,59.837958
-48.0,50,60.071633
-48.0,50,60.311628
-48.0,50,60.543893
-48.0,50,60.766743
-48.0,50,61.02156
-48.0,50,61.255463
-48.0,50,61.480804
-48.0,50,61.687685
-48.0,50,61.94328
-48.0,50,63.167036
-48.0,50,64.389534
-48.0,50,65.626518
-48.0,50,66.872571
-48.0,50,68.12229
-48.0,50,69.379059
-48.0,50,70.629839
-48.0,50,71.901926
-48.0,50,73.167475
-42.0,50,74.450992
-48.0,50,75.719413
-48.0,50,76.997748
-23.0,50,78.28928
-48.0,50,79.568373
-4.0,50,80.851037
-48.0,50,82.124457
-44.0,50,83.419607
-48.0,50,84.735017
-48.0,50,86.016038
-48.0,50,87.320638
-38.0,50,88.646812
-48.0,50,89.956735
-48.0,50,91.275199
-48.0,50,92.614003
-48.0,50,93.939877
-8.0,50,95.292574
-48.0,50,96.605934
-48.0,50,97.917747
-48.0,50,99.254784
-47.0,50,100.573653
-48.0,50,101.99872
-48.0,50,103.363277
-48.0,50,104.727925
-48.0,50,106.088425
-48.0,50,107.44332
-8.0,50,108.790113
-48.0,50,110.133185
-48.0,50,111.538772
-48.0,50,112.905267
-48.0,50,114.300014
-48.0,50,115.666068
-48.0,50,117.026685
-48.0,50,118.438661
-48.0,50,119.8405
-48.0,50,121.222809
-48.0,50,122.682038
-47.0,50,124.135891
-48.0,50,125.546641
-48.0,50,126.891433
-48.0,50,128.119431
-39.0,50,128.315827
-48.0,50,128.506212
-48.0,50,128.692974
-48.0,50,128.886959
-48.0,50,129.07308
-18.0,50,129.256775
-48.0,50,129.438175
-13.0,50,129.632579
-48.0,50,129.818656
-48.0,50,129.992271
-48.0,50,131.188733
-48.0,50,132.427636
-48.0,50,133.634254
-48.0,50,134.8691
-48.0,50,136.075406
-42.0,50,137.312411
-48.0,50,138.638057
-48.0,50,140.184683
-48.0,50,141.678229
-48.0,50,143.14863
-48.0,50,144.601716
-48.0,50,146.048503
-48.0,50,147.523559
-48.0,50,148.983609
-48.0,50,150.453102
-16.0,50,151.929525
-48.0,50,153.392817
-48.0,50,154.865588
-48.0,50,156.341317
-48.0,50,157.839664
-43.0,50,159.336757
-48.0,50,160.816414
-48.0,50,162.314275
-48.0,50,163.828595
-12.0,50,165.352804
-48.0,50,166.857163
-48.0,50,168.370098
-45.0,50,169.880622
