epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8693874,0.12559912,0.22539188,0.14229882,20.0,-1.8344179,0.05,100.0,0.0
1,0.8589433,0.13363284,0.24847716,0.15436347,40.0,-2.8973012,0.0,200.0,0.01
2,0.8490792,0.136218,0.2523408,0.16330282,60.0,-4.29105,0.15,300.0,0.04
3,0.8488714,0.12933262,0.2552292,0.16085005,80.0,-5.0188074,0.2,400.0,0.1
4,0.8473987,0.1259141,0.25696528,0.16009213,100.0,-5.8765063,0.15,500.0,0.07
5,0.8471429,0.12654074,0.2576467,0.16320041,120.0,-6.7154794,0.25,600.0,0.15
6,0.8463168,0.12931687,0.25906307,0.16515167,140.0,-8.069738,0.25,700.0,0.11
7,0.8447128,0.13219826,0.25870225,0.16533804,160.0,-8.466303,0.15,800.0,0.1
8,0.8456451,0.13005981,0.2604345,0.16471615,180.0,-7.045189,0.45,900.0,0.16
9,0.8445745,0.13023457,0.26045316,0.16565834,200.0,-9.429851,0.25,1000.0,0.14
10,0.8447022,0.13023953,0.26095602,0.1652856,220.0,-10.179096,0.35,1100.0,0.18
11,0.84432775,0.13120966,0.26058787,0.16579914,240.0,-6.4216027,0.45,1200.0,0.13
12,0.8446744,0.13185723,0.26140228,0.16583154,260.0,-6.3187103,0.65,1300.0,0.28
13,0.8450811,0.13204247,0.26183718,0.16514823,280.0,-6.4574966,0.6,1400.0,0.2
14,0.844687,0.13206647,0.2613228,0.16580579,300.0,-9.122591,0.55,1500.0,0.18
15,0.84428596,0.1318834,0.26109952,0.16562317,320.0,-7.416173,0.5,1600.0,0.22
16,0.8439781,0.13176502,0.26105645,0.1653807,340.0,-5.0277166,0.45,1700.0,0.26
17,0.84389836,0.13122106,0.26114693,0.16538945,360.0,-4.058105,0.7,1800.0,0.24
18,0.843786,0.13009988,0.260977,0.16502373,380.0,-4.8989816,0.7,1900.0,0.33
19,0.8439124,0.12989573,0.26090914,0.16462909,400.0,-6.3713264,0.65,2000.0,0.3
20,0.8437192,0.1306941,0.2606377,0.16463007,420.0,-1.8189611,0.7,2100.0,0.29
21,0.84366864,0.13121164,0.26047653,0.1645435,440.0,-0.89419013,0.85,2200.0,0.29
22,0.843754,0.13152197,0.26065907,0.16455351,460.0,-0.49815017,0.9,2300.0,0.3
23,0.84400004,0.13129787,0.2607982,0.16437688,480.0,-1.040385,0.95,2400.0,0.41
24,0.84407705,0.13179609,0.2609793,0.16412084,500.0,-0.37939277,0.85,2500.0,0.42
25,0.844353,0.1315814,0.26108888,0.16352978,520.0,-0.8906585,1.0,2600.0,0.38
26,0.84500027,0.13140598,0.26148126,0.1629602,540.0,-0.97993267,0.9,2700.0,0.4
27,0.84518856,0.13118833,0.26148173,0.16274437,560.0,-0.6577803,0.9,2800.0,0.41
28,0.84527165,0.13095896,0.26158363,0.16243297,580.0,-0.6604426,0.95,2900.0,0.4
29,0.84524673,0.13110358,0.261636,0.16216466,600.0,-0.8361499,0.95,3000.0,0.37
30,0.84578854,0.13073282,0.26178998,0.1619305,620.0,-1.2750477,0.95,3100.0,0.42
31,0.84635997,0.13027053,0.2619836,0.16180263,640.0,-0.93984795,1.0,3200.0,0.39
32,0.84651995,0.13024865,0.26188117,0.16127554,660.0,-0.62726927,1.0,3300.0,0.42
33,0.8466055,0.13028793,0.26193568,0.16122502,680.0,-1.0805837,0.95,3400.0,0.48
34,0.8467651,0.13004808,0.26220268,0.16093808,700.0,-1.0699413,1.0,3500.0,0.43
35,0.8468295,0.12984091,0.26225907,0.1606259,720.0,-1.0463235,1.0,3600.0,0.44
36,0.84665865,0.12945332,0.26225105,0.16032894,740.0,-0.9089473,1.0,3700.0,0.49
37,0.8468656,0.12916727,0.26225072,0.1599482,760.0,-0.32344592,0.95,3800.0,0.48
38,0.84665745,0.12896727,0.2623049,0.15948413,780.0,-0.71319425,1.0,3900.0,0.43
39,0.8466778,0.12869461,0.26234967,0.15913469,800.0,-0.37736207,0.95,4000.0,0.45
