# {"t_start": 1585351622.108205, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.136087
-44.0,50,5.3608
-44.0,50,6.511141
-44.0,50,7.626861
-38.0,50,8.766323
-38.0,50,9.898489
-38.0,50,11.063621
-38.0,50,12.224726
-38.0,50,13.357247
-38.0,50,14.496708
-38.0,50,15.629729
-38.0,50,16.821022
-15.0,50,18.019596
-38.0,50,19.118442
-38.0,50,20.302713
-38.0,50,21.490171
-38.0,50,22.686292
-38.0,50,23.912937
-38.0,50,25.137938
-38.0,50,26.355639
-38.0,50,27.612564
-38.0,50,27.803252
-38.0,50,28.002778
-38.0,50,28.195775
-38.0,50,28.395607
-38.0,50,28.602314
-38.0,50,28.79079
-38.0,50,28.977354
-38.0,50,29.165082
-38.0,50,29.364306
-38.0,50,29.584175
13.0,50,30.742767
-38.0,50,31.971411
-44.0,50,33.171147
-38.0,50,34.358094
-38.0,50,35.573357
-38.0,50,36.911623
-38.0,50,38.146542
-38.0,50,39.388832
-8.0,50,40.664227
-44.0,50,41.932898
-44.0,50,43.228555
-38.0,50,44.512036
-44.0,50,45.778783
-38.0,50,47.009629
-38.0,50,48.302971
-38.0,50,49.558342
-38.0,50,50.807966
-38.0,50,52.117891
-38.0,50,53.436098
-13.0,50,54.740366
-38.0,50,54.95259
-38.0,50,55.141274
-38.0,50,55.329508
-38.0,50,55.536583
-38.0,50,55.720347
-38.0,50,55.903847
-38.0,50,56.097295
-38.0,50,56.280156
-38.0,50,56.481256
-38.0,50,56.675073
-38.0,50,58.029769
-38.0,50,59.336361
-38.0,50,60.703396
-38.0,50,62.048396
-38.0,50,63.461758
-38.0,50,64.816567
-38.0,50,66.133999
-38.0,50,67.462275
-38.0,50,68.763767
-38.0,50,70.337495
-38.0,50,71.670716
-38.0,50,73.193097
-38.0,50,74.586964
-38.0,50,75.905098
-38.0,50,77.266491
6.0,50,78.850234
-38.0,50,80.330163
-38.0,50,81.777174
-38.0,50,83.303119
-38.0,50,84.886
-38.0,50,85.086994
-38.0,50,85.285245
-38.0,50,85.465676
-15.0,50,85.660545
-38.0,50,85.842483
-38.0,50,86.028682
-3.0,50,86.256711
-38.0,50,86.444189
-38.0,50,86.64915
-38.0,50,86.84005
-38.0,50,88.1674
-38.0,50,89.472218
-38.0,50,90.754934
-38.0,50,92.093209
-13.0,50,93.436292
-38.0,50,94.824942
-38.0,50,96.173844
-38.0,50,97.524485
-38.0,50,98.931758
-38.0,50,100.301412
-44.0,50,101.676507
-38.0,50,103.068975
-38.0,50,104.498171
8.0,50,105.911014
-38.0,50,107.380868
-44.0,50,108.740087
-38.0,50,110.106616
-38.0,50,111.541776
-38.0,50,112.89077
-13.0,50,114.289856
-38.0,50,114.4857
10.0,50,114.686867
-38.0,50,114.85904
-38.0,50,115.034182
17.0,50,115.226823
-38.0,50,115.408126
-38.0,50,115.570678
-38.0,50,115.743023
-38.0,50,115.924608
15.0,50,116.107297
-38.0,50,117.433048
-38.0,50,118.981525
-38.0,50,120.34901
-38.0,50,121.70425
-38.0,50,123.045895
-38.0,50,124.395234
-38.0,50,125.72663
-38.0,50,127.065533
-38.0,50,128.413221
16.0,50,129.742851
-38.0,50,131.101739
-38.0,50,132.465474
-38.0,50,133.852877
-38.0,50,135.210824
-12.0,50,136.590456
-38.0,50,137.968099
-38.0,50,139.282389
-38.0,50,140.644258
3.0,50,142.012407
8.0,50,143.384324
-38.0,50,143.567511
-38.0,50,143.745746
13.0,50,143.944413
11.0,50,144.124904
-38.0,50,144.312679
22.0,50,144.516901
6.0,50,144.701166
-38.0,50,144.883959
-1.0,50,145.074026
-38.0,50,145.260312
-38.0,50,146.630812
-15.0,50,148.034188
-38.0,50,149.433718
10.0,50,150.836663
-38.0,50,152.246057
-38.0,50,153.647002
8.0,50,155.06842
-38.0,50,156.502586
-38.0,50,157.921134
-38.0,50,159.337815
-38.0,50,160.740777
-38.0,50,162.192438
-38.0,50,163.664522
25.0,50,165.128226
-38.0,50,166.6026
-38.0,50,168.027224
-4.0,50,169.468709
-38.0,50,170.918237
-38.0,50,172.477926
7.0,50,174.196486
-1.0,50,174.424009
11.0,50,174.654058
13.0,50,174.893713
4.0,50,175.126011
13.0,50,175.357689
-38.0,50,175.532966
-13.0,50,175.714424
14.0,50,175.904831
-38.0,50,176.093569
-38.0,50,176.319401
-38.0,50,177.744445
10.0,50,179.175954
-38.0,50,180.616479
-38.0,50,182.077357
-7.0,50,183.550865
-38.0,50,185.034772
-38.0,50,186.675508
-38.0,50,188.384104
-38.0,50,190.072219
-38.0,50,191.665746
-38.0,50,193.304276
-38.0,50,194.83719
-38.0,50,196.458691
-38.0,50,197.963476
-38.0,50,199.466809
-38.0,50,200.96297
-38.0,50,202.478871
-38.0,50,204.018434
-38.0,50,205.496261
-38.0,50,206.997927
17.0,50,207.187743
-38.0,50,207.396625
14.0,50,207.592746
-38.0,50,207.801709
10.0,50,208.007673
11.0,50,208.195685
2.0,50,208.397994
6.0,50,208.604535
-38.0,50,208.789026
-6.0,50,208.975185
-38.0,50,210.504507
-38.0,50,212.073021
-38.0,50,213.660652
-38.0,50,215.325802
-15.0,50,217.125926
4.0,50,218.855375
3.0,50,220.588092
-15.0,50,222.399295
-38.0,50,224.166233
-38.0,50,225.917615
-38.0,50,227.677255
-38.0,50,229.447567
-38.0,50,231.21792
22.0,50,232.960661
-38.0,50,234.79473
-38.0,50,236.614626
