epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8591625,0.10930977,0.25354326,0.093632765,20.0,-1.7225012,0.0,40.0,0.05
1,0.8539019,0.11465647,0.25116214,0.11381237,40.0,-2.038351,0.1,80.0,0.05
2,0.85293037,0.117964216,0.25044432,0.12337892,60.0,-2.638702,0.2,120.0,0.025
3,0.8523929,0.121001296,0.25208125,0.12928863,80.0,-2.7102969,0.25,160.0,0.025
4,0.8525507,0.11964392,0.25290447,0.13117884,100.0,-2.0780149,0.55,200.0,0.05
5,0.8528643,0.119639754,0.2543553,0.13468626,120.0,-1.9459031,0.65,240.0,0.075
6,0.85330963,0.120942794,0.25448796,0.13763793,140.0,-2.7348244,0.45,280.0,0.05
7,0.8522387,0.120800175,0.25483096,0.13992004,160.0,-3.6741989,0.45,320.0,0.05
8,0.850738,0.12002211,0.25499946,0.14210261,180.0,-3.8314896,0.45,360.0,0.05
9,0.85101247,0.12029305,0.2564884,0.14324684,200.0,-7.1599855,0.0,400.0,0.0
10,0.8490865,0.12139925,0.25657,0.14734635,220.0,-5.5926247,0.25,440.0,0.0
11,0.8488552,0.12142841,0.25625324,0.14948024,240.0,-6.9738526,0.0,480.0,0.0
12,0.84733224,0.12421044,0.25563014,0.15181692,260.0,-3.8833466,0.6,520.0,0.025
13,0.8473621,0.12419454,0.25557888,0.1533977,280.0,-6.4800873,0.25,560.0,0.125
14,0.8467441,0.12484617,0.25687772,0.15610585,300.0,-7.8268104,0.05,600.0,0.0
15,0.8466503,0.123979665,0.25718853,0.15665478,320.0,-7.607363,0.05,640.0,0.05
16,0.8472,0.1231998,0.25708356,0.15884224,340.0,-7.968343,0.15,680.0,0.125
17,0.84672284,0.12293792,0.256555,0.16020599,360.0,-7.7620287,0.2,720.0,0.075
18,0.84642667,0.12140265,0.25690973,0.16161908,380.0,-5.7602053,0.4,760.0,0.05
19,0.84670705,0.120355465,0.25661153,0.16223647,400.0,-9.283296,0.15,800.0,0.2
20,0.8468937,0.120937325,0.25654432,0.16492264,420.0,-7.1304717,0.25,840.0,0.075
21,0.84678286,0.120242916,0.25687134,0.16559042,440.0,-10.749056,0.0,880.0,0.125
22,0.8466833,0.1192758,0.25700948,0.16627648,460.0,-9.330942,0.15,920.0,0.1
23,0.8465352,0.11877949,0.2575972,0.16677342,480.0,-9.911091,0.0,960.0,0.1
24,0.8464312,0.11885625,0.25781813,0.1675237,500.0,-11.091035,0.15,1000.0,0.075
25,0.8459068,0.11853608,0.257902,0.16846988,520.0,-10.7304945,0.1,1040.0,0.1
26,0.8460763,0.11782124,0.25829488,0.16895255,540.0,-10.087983,0.2,1080.0,0.1
