# {"t_start": 1585402578.180895, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,3.780541
-44.0,50,4.792882
-50.0,50,5.715854
-50.0,50,6.637166
-50.0,50,7.551398
-44.0,50,8.47369
-44.0,50,9.398871
-38.0,50,10.326445
6.0,50,11.255495
-50.0,50,12.179837
-44.0,50,13.099361
-38.0,50,14.052615
-38.0,50,14.984635
-44.0,50,15.91292
-38.0,50,16.858032
-38.0,50,17.793128
-44.0,50,18.743471
-38.0,50,19.718462
-38.0,50,20.700703
-17.0,50,21.685508
-38.0,50,22.704291
-38.0,50,22.871859
-38.0,50,23.048377
-38.0,50,23.215911
-38.0,50,23.396941
-38.0,50,23.56301
-38.0,50,23.732079
-38.0,50,23.903194
-44.0,50,24.074735
-38.0,50,24.238196
-38.0,50,24.447889
-38.0,50,25.447193
-16.0,50,26.444764
-38.0,50,27.452923
-38.0,50,28.459146
-38.0,50,29.465741
-38.0,50,30.467788
-38.0,50,31.469185
-38.0,50,32.445721
-38.0,50,33.412186
-44.0,50,34.380941
-38.0,50,35.357441
-38.0,50,36.331491
-38.0,50,37.312332
-38.0,50,38.297145
-38.0,50,39.286103
-38.0,50,40.271452
-38.0,50,41.266368
-38.0,50,42.279021
-38.0,50,43.335423
-38.0,50,44.395069
-38.0,50,44.560619
-38.0,50,44.759925
-38.0,50,44.938253
-38.0,50,45.110455
14.0,50,45.284652
-38.0,50,45.456958
-38.0,50,45.636175
-38.0,50,45.809271
-38.0,50,45.976363
-38.0,50,46.150391
-38.0,50,47.207307
-38.0,50,48.251088
-38.0,50,49.319817
-38.0,50,50.405451
-38.0,50,51.484027
-38.0,50,52.593572
-38.0,50,53.688674
-38.0,50,54.779308
-38.0,50,55.879442
8.0,50,57.009949
-38.0,50,58.10911
-38.0,50,59.215905
-38.0,50,60.321196
-38.0,50,61.41183
-38.0,50,62.507331
-38.0,50,63.600564
-38.0,50,64.674534
-38.0,50,65.774161
-38.0,50,66.884195
-38.0,50,68.012284
-38.0,50,68.184079
-38.0,50,68.37341
-38.0,50,68.562299
-38.0,50,68.742547
-38.0,50,68.916017
-38.0,50,69.082444
-38.0,50,69.260147
-38.0,50,69.444208
-38.0,50,69.618161
-38.0,50,69.803035
-38.0,50,70.964698
-38.0,50,72.109571
-38.0,50,73.230442
-38.0,50,74.364287
-38.0,50,75.517794
8.0,50,76.660292
-38.0,50,77.827666
-38.0,50,78.994044
-38.0,50,80.135178
-38.0,50,81.271542
