# {"t_start": 1585418280.3464282, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.096384
-50.0,50,5.18024
-50.0,50,6.131288
-50.0,50,7.094519
-50.0,50,8.032703
-50.0,50,8.970501
-50.0,50,9.926862
-38.0,50,10.873086
-38.0,50,11.834346
-50.0,50,12.798403
-38.0,50,13.755304
-50.0,50,14.705478
-50.0,50,15.659319
-50.0,50,16.641096
-50.0,50,17.614708
-50.0,50,18.581423
-50.0,50,19.610343
-38.0,50,20.595287
-38.0,50,21.589145
-50.0,50,22.601628
-50.0,50,23.638025
-50.0,50,23.828148
-50.0,50,24.020992
-44.0,50,24.198226
-38.0,50,24.400037
-50.0,50,24.579843
-50.0,50,24.77453
-50.0,50,24.963807
-50.0,50,25.149604
-50.0,50,25.340566
-44.0,50,25.563519
-50.0,50,26.602865
-50.0,50,27.617066
-50.0,50,28.642704
-44.0,50,29.664659
-50.0,50,30.676132
-50.0,50,31.704484
-50.0,50,32.73392
-38.0,50,33.749491
-44.0,50,34.783139
-50.0,50,35.829757
-44.0,50,36.900223
-50.0,50,37.97878
-44.0,50,39.045283
-38.0,50,40.128274
-38.0,50,41.201406
-50.0,50,42.271645
-38.0,50,43.345811
-50.0,50,44.421318
-44.0,50,45.493044
-50.0,50,46.586733
-50.0,50,46.782917
-44.0,50,46.972718
-44.0,50,47.189124
-50.0,50,47.372098
-44.0,50,47.564467
-44.0,50,47.746526
-38.0,50,47.93667
-38.0,50,48.127812
-44.0,50,48.316548
-38.0,50,48.502584
-44.0,50,49.835167
-44.0,50,51.029174
-44.0,50,52.076411
-50.0,50,53.296986
-44.0,50,54.473167
-50.0,50,55.492143
-44.0,50,56.510358
-38.0,50,57.53675
-38.0,50,58.5828
-44.0,50,59.6239
-50.0,50,60.667466
-38.0,50,61.732141
-38.0,50,62.794402
-50.0,50,63.834924
-38.0,50,65.049246
-38.0,50,66.257632
-38.0,50,67.456436
-38.0,50,68.693208
-38.0,50,69.91753
-38.0,50,71.200134
-38.0,50,71.388906
-38.0,50,71.572512
-38.0,50,71.792475
-38.0,50,72.000671
-38.0,50,72.194568
-38.0,50,72.373309
-38.0,50,72.552074
-44.0,50,72.753633
-44.0,50,72.937116
-38.0,50,73.118592
-38.0,50,74.3363
-38.0,50,75.657233
-38.0,50,76.953934
-38.0,50,78.241461
-38.0,50,79.485188
-38.0,50,80.803284
-38.0,50,82.038154
-44.0,50,83.322676
-38.0,50,84.610405
-38.0,50,85.855934
-38.0,50,87.16577
-38.0,50,88.490762
-38.0,50,89.830605
-44.0,50,91.112512
-38.0,50,92.458432
-38.0,50,93.866453
-38.0,50,95.163684
-38.0,50,96.531673
-38.0,50,97.839742
