epoch,p0/stats_g/mean,p0/stats_g/std,p0/stats_o/mean,p0/stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8250378,0.14132906,0.2060411,0.09536863,20.0,-1.003465,0.0,40.0,0.0
1,0.8267724,0.14087577,0.20983046,0.103016265,40.0,-1.6275418,0.0,80.0,0.0
2,0.8264255,0.13844888,0.21234536,0.12183452,60.0,-2.048896,0.0,120.0,0.0
3,0.8276288,0.14189027,0.22507367,0.13630274,80.0,-1.8630283,0.1,160.0,0.0
4,0.83001226,0.13621892,0.2297771,0.14577024,100.0,-3.0032353,0.1,200.0,0.0
5,0.8309488,0.13413201,0.23508024,0.14811336,120.0,-2.6492307,0.0,240.0,0.025
6,0.83040863,0.1317855,0.23765868,0.1499284,140.0,-3.158052,0.05,280.0,0.025
7,0.8318298,0.12841444,0.23820351,0.15230553,160.0,-3.9757297,0.0,320.0,0.0
8,0.8351383,0.12730195,0.24290492,0.15535402,180.0,-4.6959057,0.05,360.0,0.0
9,0.83668035,0.1259606,0.24562839,0.15562327,200.0,-5.110375,0.1,400.0,0.025
10,0.83719116,0.1274223,0.24637835,0.15806077,220.0,-5.253419,0.05,440.0,0.025
11,0.83693767,0.12538064,0.24821585,0.1587502,240.0,-5.0665045,0.0,480.0,0.025
12,0.83655643,0.12567814,0.2487169,0.15963618,260.0,-6.108138,0.05,520.0,0.025
13,0.8365969,0.12388376,0.24961743,0.16090849,280.0,-6.641552,0.0,560.0,0.025
14,0.8376181,0.12347155,0.25047368,0.16124322,300.0,-7.231523,0.05,600.0,0.025
15,0.8385145,0.12396041,0.25110203,0.16222487,320.0,-6.766436,0.2,640.0,0.025
16,0.8385784,0.12380248,0.25152457,0.16244186,340.0,-8.352419,0.05,680.0,0.05
17,0.8384157,0.124141805,0.25248423,0.1632362,360.0,-8.417307,0.0,720.0,0.025
18,0.83899647,0.12462551,0.2533008,0.16533953,380.0,-8.956439,0.0,760.0,0.125
19,0.83875805,0.12447896,0.25310358,0.16679952,400.0,-7.1249747,0.25,800.0,0.025
20,0.83875734,0.12317274,0.25304255,0.16751966,420.0,-6.9425216,0.15,840.0,0.025
21,0.8387963,0.12251387,0.2540981,0.1681063,440.0,-9.261614,0.1,880.0,0.0
22,0.83908087,0.12139603,0.25409955,0.1679806,460.0,-10.403499,0.05,920.0,0.075
23,0.8391749,0.12016938,0.2545956,0.16817771,480.0,-10.186037,0.15,960.0,0.075
24,0.8393964,0.11977766,0.25514996,0.16831568,500.0,-9.163476,0.15,1000.0,0.125
25,0.8399511,0.120227985,0.2554619,0.16825892,520.0,-11.598164,0.0,1040.0,0.05
26,0.84029007,0.12045958,0.25551555,0.16868304,540.0,-10.30746,0.0,1080.0,0.1
27,0.84117883,0.12100792,0.25553104,0.16854204,560.0,-10.133003,0.05,1120.0,0.0
28,0.8408721,0.122305594,0.25517386,0.16926399,580.0,-12.583046,0.0,1160.0,0.0
29,0.8408759,0.12149451,0.2554436,0.16914259,600.0,-11.68893,0.05,1200.0,0.175
30,0.8412277,0.12133177,0.25551522,0.16957077,620.0,-11.535378,0.0,1240.0,0.05
31,0.84173435,0.12146438,0.25614887,0.16952945,640.0,-12.962324,0.0,1280.0,0.1
32,0.8417787,0.12147529,0.25621933,0.16965066,660.0,-9.914663,0.25,1320.0,0.1
33,0.84165424,0.12332821,0.25588346,0.16991848,680.0,-9.76021,0.2,1360.0,0.025
34,0.84167504,0.12394456,0.25596336,0.16950074,700.0,-11.619995,0.15,1400.0,0.2
35,0.84200644,0.12435448,0.25615937,0.1702807,720.0,-12.195743,0.1,1440.0,0.05
36,0.842283,0.12486637,0.25650927,0.1700793,740.0,-12.026189,0.2,1480.0,0.1
37,0.84227055,0.12594467,0.25690037,0.17052601,760.0,-11.962469,0.1,1520.0,0.125
38,0.84180355,0.12577589,0.25695938,0.17019285,780.0,-16.694351,0.05,1560.0,0.125
39,0.8418067,0.12583126,0.257296,0.1703522,800.0,-15.664784,0.05,1600.0,0.1
40,0.84157664,0.1264114,0.25690746,0.17069364,820.0,-14.298757,0.15,1640.0,0.1
41,0.84189606,0.12744339,0.25719446,0.17068878,840.0,-11.298317,0.2,1680.0,0.2
42,0.8415103,0.12780763,0.2571769,0.17066011,860.0,-12.149948,0.2,1720.0,0.025
43,0.8413041,0.12828974,0.25702664,0.17095645,880.0,-14.891092,0.1,1760.0,0.125
44,0.84135723,0.12842435,0.25713032,0.17058507,900.0,-14.14945,0.0,1800.0,0.125
45,0.84157497,0.12805586,0.25746113,0.17027412,920.0,-12.986359,0.05,1840.0,0.25
46,0.8414398,0.1283855,0.2574646,0.17025934,940.0,-11.785308,0.2,1880.0,0.175
47,0.8415659,0.128939,0.25778344,0.17053229,960.0,-12.776698,0.2,1920.0,0.125
48,0.84168357,0.12933068,0.25789598,0.17063564,980.0,-13.200945,0.25,1960.0,0.1
49,0.8419493,0.12923609,0.2580792,0.1707979,1000.0,-11.482176,0.35,2000.0,0.125
50,0.84210396,0.12930982,0.25803348,0.17076118,1020.0,-11.337125,0.2,2040.0,0.075
51,0.84253377,0.12930386,0.25834095,0.17056023,1040.0,-8.493156,0.45,2080.0,0.1
52,0.84249306,0.1293367,0.25836506,0.17038505,1060.0,-10.757258,0.25,2120.0,0.2
53,0.8427251,0.12908153,0.25828925,0.17034687,1080.0,-15.456096,0.2,2160.0,0.125
54,0.84277564,0.12899591,0.2585805,0.17003283,1100.0,-10.997249,0.25,2200.0,0.25
55,0.8426408,0.12929365,0.2586796,0.17017204,1120.0,-14.176294,0.3,2240.0,0.175
56,0.84237504,0.12918493,0.25886962,0.17004457,1140.0,-9.59948,0.4,2280.0,0.15
57,0.8421429,0.12955917,0.2590593,0.16979423,1160.0,-12.537886,0.25,2320.0,0.075
58,0.84233165,0.12945016,0.25902677,0.17016767,1180.0,-9.005895,0.4,2360.0,0.125
59,0.8422567,0.13035913,0.25906733,0.17031142,1200.0,-14.047458,0.3,2400.0,0.15
60,0.8422268,0.13095891,0.25934792,0.17071173,1220.0,-14.362544,0.15,2440.0,0.125
61,0.84213406,0.13060471,0.25937217,0.1708708,1240.0,-11.366847,0.3,2480.0,0.3
62,0.8419878,0.13044448,0.25933373,0.1709742,1260.0,-15.208841,0.2,2520.0,0.175
63,0.84199184,0.1308076,0.25944534,0.17116378,1280.0,-10.8901615,0.15,2560.0,0.175
64,0.8425433,0.1311434,0.25936252,0.1714534,1300.0,-14.247386,0.15,2600.0,0.15
65,0.8427442,0.13140519,0.2593308,0.17156824,1320.0,-12.618363,0.15,2640.0,0.225
66,0.8429527,0.13106711,0.25934955,0.17156744,1340.0,-6.574453,0.3,2680.0,0.15
67,0.84313554,0.13080956,0.25955632,0.17176026,1360.0,-12.388095,0.4,2720.0,0.1
68,0.84326404,0.13047071,0.25969654,0.17170209,1380.0,-14.258566,0.1,2760.0,0.15
69,0.8432495,0.13040978,0.25926036,0.17180769,1400.0,-9.459883,0.35,2800.0,0.25
70,0.8435049,0.1304604,0.25930822,0.17174175,1420.0,-12.014186,0.25,2840.0,0.25
71,0.84338474,0.13062981,0.25934616,0.171648,1440.0,-9.761366,0.35,2880.0,0.3
72,0.8435722,0.1302942,0.25932333,0.17114767,1460.0,-9.1194515,0.4,2920.0,0.5
73,0.8438447,0.13034247,0.2593997,0.17079653,1480.0,-12.723553,0.25,2960.0,0.2
74,0.84392124,0.13008006,0.25959873,0.17068712,1500.0,-6.638995,0.5,3000.0,0.25
75,0.84403545,0.12986208,0.25973547,0.17060891,1520.0,-7.2385225,0.3,3040.0,0.4
76,0.8440741,0.12985298,0.25972012,0.17069009,1540.0,-11.6219425,0.35,3080.0,0.275
77,0.8442204,0.13005199,0.2598339,0.1706613,1560.0,-5.6989202,0.55,3120.0,0.225
78,0.8442881,0.13002919,0.2598531,0.17068669,1580.0,-5.0754,0.55,3160.0,0.225
79,0.84404135,0.13098633,0.25972492,0.17102431,1600.0,-5.721154,0.55,3200.0,0.175
80,0.84405917,0.13106336,0.2598211,0.17106192,1620.0,-8.59053,0.55,3240.0,0.25
81,0.84430426,0.13108407,0.25985578,0.17086165,1640.0,-8.142304,0.4,3280.0,0.35
82,0.8445771,0.1311618,0.25995973,0.17060345,1660.0,-8.065939,0.45,3320.0,0.35
83,0.84457445,0.1317855,0.25991017,0.17057802,1680.0,-5.6069365,0.65,3360.0,0.375
84,0.8446784,0.13210236,0.2598666,0.17078339,1700.0,-8.545123,0.5,3400.0,0.35
