# {"t_start": 1585340840.3693786, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,4.317765
-50.0,50,5.514096
-50.0,50,6.559778
-50.0,50,7.58366
-50.0,50,8.619214
-44.0,50,9.675786
-44.0,50,10.736778
-38.0,50,11.813285
-38.0,50,12.873146
-50.0,50,13.94338
-38.0,50,15.019387
-44.0,50,16.091089
-38.0,50,17.182597
-12.0,50,18.295209
5.0,50,19.391356
-50.0,50,20.465472
-50.0,50,21.578756
-38.0,50,22.712507
-50.0,50,23.853526
-38.0,50,24.970893
-38.0,50,26.101682
-38.0,50,27.216472
-38.0,50,28.368691
-38.0,50,29.520598
-38.0,50,30.655603
-38.0,50,31.815224
-3.0,50,32.965318
-12.0,50,34.151601
-38.0,50,35.332306
-50.0,50,36.50647
-38.0,50,37.686318
-38.0,50,38.898872
13.0,50,40.101074
-38.0,50,41.291476
-38.0,50,42.486615
-38.0,50,43.702509
-38.0,50,44.923331
-38.0,50,46.139887
-38.0,50,47.371819
-38.0,50,48.597986
-38.0,50,49.866759
-38.0,50,51.104712
-38.0,50,52.341957
-38.0,50,53.61036
21.0,50,54.890551
-38.0,50,56.179984
-38.0,50,57.438996
-38.0,50,58.718309
-38.0,50,60.007872
-38.0,50,61.298105
-38.0,50,62.576001
-38.0,50,62.788972
-38.0,50,63.004964
-38.0,50,63.216871
-38.0,50,63.449974
-38.0,50,63.678087
-38.0,50,63.898069
-38.0,50,64.102601
-38.0,50,64.331537
-38.0,50,64.55014
-13.0,50,64.793036
-38.0,50,66.085369
-38.0,50,67.383041
-38.0,50,68.716479
-38.0,50,70.04801
-38.0,50,71.34772
-38.0,50,72.677688
-38.0,50,74.003674
-38.0,50,75.32264
-38.0,50,76.666836
-38.0,50,78.007635
-38.0,50,79.339
-38.0,50,80.686332
-38.0,50,82.029667
-38.0,50,83.37768
-38.0,50,84.702894
-38.0,50,86.057338
-38.0,50,87.430589
-38.0,50,88.830459
-38.0,50,90.220652
-7.0,50,91.61442
-38.0,50,92.994974
-38.0,50,94.351655
-38.0,50,95.718414
-38.0,50,97.103677
-13.0,50,98.487267
-38.0,50,99.902877
-38.0,50,101.298916
-2.0,50,102.69104
-38.0,50,104.086898
-38.0,50,105.477834
-38.0,50,106.884763
-38.0,50,108.299535
-38.0,50,109.687509
-38.0,50,111.093211
1.0,50,112.505547
-38.0,50,113.915192
-38.0,50,115.329529
-38.0,50,116.780854
-38.0,50,118.203477
-38.0,50,119.637082
-38.0,50,121.068857
-38.0,50,122.512912
-38.0,50,123.952096
-38.0,50,125.412547
-38.0,50,126.86107
-38.0,50,128.311122
-38.0,50,129.777203
22.0,50,131.279161
-17.0,50,132.833889
-38.0,50,134.338064
-38.0,50,134.564962
-38.0,50,134.782655
-38.0,50,135.03697
20.0,50,135.255038
-38.0,50,135.484916
-38.0,50,135.693612
-38.0,50,135.924764
-38.0,50,136.144065
27.0,50,136.362599
-38.0,50,136.592728
-38.0,50,138.075993
-38.0,50,139.565285
-38.0,50,141.065363
-38.0,50,142.553772
-38.0,50,144.037835
-38.0,50,145.551074
-38.0,50,147.034754
-38.0,50,148.540152
-38.0,50,150.088562
-38.0,50,151.665184
-38.0,50,153.273266
-38.0,50,154.773115
-38.0,50,156.319871
-38.0,50,157.85819
-38.0,50,159.353329
-38.0,50,160.911931
-38.0,50,162.453824
-38.0,50,164.007634
-38.0,50,165.543344
-38.0,50,167.08628
-38.0,50,168.607462
-38.0,50,170.17189
-38.0,50,171.738655
-38.0,50,173.28038
-38.0,50,174.838037
-38.0,50,176.444967
-38.0,50,178.004938
-38.0,50,179.562021
-38.0,50,181.128089
-38.0,50,182.679064
-38.0,50,184.265897
-38.0,50,185.851886
20.0,50,187.429191
-38.0,50,188.996162
-38.0,50,190.596476
-38.0,50,192.194518
-38.0,50,193.798081
-38.0,50,195.385072
22.0,50,196.999542
-14.0,50,198.588139
-38.0,50,200.198396
-38.0,50,201.830551
-38.0,50,203.459224
-38.0,50,205.090505
-38.0,50,206.719912
-38.0,50,208.296461
-38.0,50,209.948073
-38.0,50,211.580609
-38.0,50,213.226555
-38.0,50,214.878475
-38.0,50,215.098298
-38.0,50,215.303845
-38.0,50,215.512393
-38.0,50,215.74345
-38.0,50,215.948084
-38.0,50,216.174121
-38.0,50,216.384992
-38.0,50,216.590612
-17.0,50,216.829988
-38.0,50,217.04521
19.0,50,218.67162
-17.0,50,220.294562
-38.0,50,221.952053
-38.0,50,223.579964
-38.0,50,225.226002
-38.0,50,226.922831
-38.0,50,228.591615
-38.0,50,230.277456
-38.0,50,231.960778
-38.0,50,233.612439
21.0,50,235.324849
-38.0,50,237.035848
-38.0,50,238.730049
-38.0,50,240.408517
-38.0,50,242.103211
-38.0,50,243.779241
-38.0,50,245.490341
-13.0,50,247.208719
-38.0,50,248.920353
-38.0,50,250.600831
-16.0,50,252.313616
-38.0,50,254.033359
-38.0,50,255.754981
-38.0,50,257.492093
-38.0,50,259.201927
-38.0,50,260.914001
-38.0,50,262.656049
-38.0,50,264.38254
-38.0,50,266.114188
26.0,50,267.868776
-38.0,50,269.618912
-44.0,50,271.376146
-38.0,50,273.164243
-38.0,50,274.945356
-38.0,50,276.704717
-16.0,50,278.43272
-38.0,50,280.205411
-38.0,50,281.938663
-38.0,50,283.717005
-38.0,50,285.515425
-38.0,50,287.302251
-38.0,50,289.065913
-38.0,50,290.824237
-38.0,50,292.586251
-38.0,50,294.369122
-38.0,50,296.169439
-38.0,50,297.987927
-38.0,50,299.762203
-38.0,50,301.563247
-38.0,50,303.366079
-38.0,50,303.593545
-38.0,50,303.829347
-38.0,50,304.043765
-38.0,50,304.27161
-38.0,50,304.488517
21.0,50,304.711511
-38.0,50,304.930869
-16.0,50,305.132999
-38.0,50,305.347714
-38.0,50,305.557313
-38.0,50,307.343781
-9.0,50,309.187075
-38.0,50,311.066178
-38.0,50,312.953732
-38.0,50,314.776474
-38.0,50,316.590022
-38.0,50,318.434986
-38.0,50,320.269814
8.0,50,322.100925
-38.0,50,323.90864
-38.0,50,325.754906
-38.0,50,327.645598
21.0,50,329.49544
-38.0,50,331.345021
-38.0,50,333.172518
-38.0,50,335.029534
-38.0,50,336.876566
-38.0,50,338.722551
-38.0,50,340.596017
-38.0,50,342.445915
-38.0,50,344.324067
-38.0,50,346.201869
-38.0,50,348.099069
-38.0,50,349.976434
-38.0,50,351.8606
-38.0,50,353.721164
-38.0,50,355.61007
-38.0,50,357.471652
-38.0,50,359.377874
-44.0,50,361.278379
-15.0,50,363.164904
-38.0,50,365.066755
-38.0,50,366.970556
-38.0,50,368.872267
-38.0,50,370.765031
-13.0,50,372.655324
-38.0,50,374.564143
-38.0,50,376.464122
-38.0,50,378.532863
-38.0,50,380.614866
-38.0,50,382.344925
-38.0,50,383.927268
-38.0,50,385.503099
18.0,50,387.22856
-38.0,50,389.172812
-38.0,50,391.211287
21.0,50,392.952493
-38.0,50,394.55412
-38.0,50,396.135541
-38.0,50,397.721138
-38.0,50,397.914971
-38.0,50,398.101532
-38.0,50,398.301147
-38.0,50,398.48455
-38.0,50,398.658985
-38.0,50,398.859511
-38.0,50,399.096805
-38.0,50,399.310932
-38.0,50,399.509747
-38.0,50,399.695194
-38.0,50,401.431052
-38.0,50,403.007652
-38.0,50,404.623493
-38.0,50,406.256739
-38.0,50,407.910793
-38.0,50,409.600472
-38.0,50,411.270609
-38.0,50,412.957675
-38.0,50,414.716122
-38.0,50,416.515697
-38.0,50,418.225456
-38.0,50,419.908476
-38.0,50,421.615394
-38.0,50,423.314511
-38.0,50,424.97527
-38.0,50,426.630751
-38.0,50,428.264947
-38.0,50,429.875364
-38.0,50,431.541729
-38.0,50,433.14332
-38.0,50,434.770468
-38.0,50,436.365125
-38.0,50,437.995497
-38.0,50,439.586402
-38.0,50,441.182472
-14.0,50,442.826319
-38.0,50,444.497813
-38.0,50,446.211133
-38.0,50,447.899981
-13.0,50,449.538265
-38.0,50,451.203713
-38.0,50,452.903831
-38.0,50,454.700203
-38.0,50,456.370143
-38.0,50,458.334417
-38.0,50,460.00504
-38.0,50,461.680426
-38.0,50,463.415958
-38.0,50,465.091398
-38.0,50,466.819093
-38.0,50,468.616405
-38.0,50,470.635131
-38.0,50,472.480897
-38.0,50,474.350307
-38.0,50,476.188632
-38.0,50,477.97385
-38.0,50,479.808733
-38.0,50,481.552669
-38.0,50,483.299389
-38.0,50,485.116694
-38.0,50,485.319176
-38.0,50,485.504987
-38.0,50,485.706521
-38.0,50,485.915622
-38.0,50,486.104356
-38.0,50,486.329743
-38.0,50,486.516911
-38.0,50,486.692969
23.0,50,486.883127
-38.0,50,487.051691
-38.0,50,488.863533
-38.0,50,490.593159
25.0,50,492.280014
-38.0,50,494.013779
-38.0,50,495.820036
-38.0,50,497.782836
-38.0,50,499.63368
-38.0,50,501.550781
-38.0,50,503.287902
-38.0,50,505.061017
-38.0,50,506.929553
-38.0,50,508.886741
-38.0,50,510.835835
-38.0,50,512.617159
-38.0,50,514.583543
-38.0,50,516.621927
-38.0,50,518.646424
-44.0,50,520.666959
-38.0,50,522.868298
-38.0,50,524.95246
-38.0,50,526.763132
-7.0,50,528.467388
-38.0,50,530.202005
-38.0,50,532.004418
-38.0,50,533.86281
-38.0,50,535.697905
-38.0,50,537.479199
-8.0,50,539.254349
-38.0,50,541.023114
-38.0,50,542.789111
-38.0,50,544.78016
-38.0,50,546.595204
-38.0,50,548.409348
-38.0,50,550.445934
-38.0,50,552.321759
-38.0,50,554.142124
-38.0,50,555.972462
-38.0,50,558.056619
-38.0,50,560.037555
-38.0,50,561.838737
-38.0,50,563.777286
-38.0,50,565.920001
-38.0,50,568.171381
-38.0,50,570.602422
-38.0,50,572.559792
-38.0,50,574.620782
-38.0,50,576.543909
25.0,50,578.478605
-38.0,50,580.347995
-38.0,50,582.32426
23.0,50,582.535243
-38.0,50,582.767326
-38.0,50,582.981719
-38.0,50,583.161285
-38.0,50,583.336416
-38.0,50,583.527962
21.0,50,583.69973
28.0,50,583.874086
-38.0,50,584.052673
26.0,50,584.225626
-38.0,50,586.04109
-38.0,50,587.887495
-38.0,50,589.847718
-38.0,50,591.816671
-38.0,50,593.805913
-38.0,50,595.69728
-38.0,50,597.575777
-38.0,50,599.459935
-38.0,50,601.455683
-38.0,50,603.329416
-38.0,50,605.235564
-38.0,50,607.201601
-38.0,50,609.181731
-38.0,50,611.381159
-38.0,50,613.481974
-38.0,50,615.389018
24.0,50,617.320027
-38.0,50,619.234847
-9.0,50,621.131882
-38.0,50,623.080714
-38.0,50,625.053692
-38.0,50,626.967277
-38.0,50,629.044026
-38.0,50,630.997629
-38.0,50,632.986675
-38.0,50,634.939491
-38.0,50,636.998419
-38.0,50,638.887758
-38.0,50,640.76845
-38.0,50,642.689139
-38.0,50,644.649472
-38.0,50,646.551366
-38.0,50,648.447428
-38.0,50,650.358397
-38.0,50,652.262799
-38.0,50,654.179222
-38.0,50,656.126384
-38.0,50,658.081024
-5.0,50,660.040781
24.0,50,662.279639
-38.0,50,664.343381
-38.0,50,666.316927
-38.0,50,668.261924
